tensor,group,layer,expert,packed_expert_count,shape,dtype,numel,bytes,shard
model.embed_tokens.weight,embedding,,,,151936x896,bfloat16,136134656,272269312,model.safetensors
model.layers.0.input_layernorm.weight,norm,0.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.0.mlp.down_proj.weight,dense_mlp,0.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.0.mlp.gate_proj.weight,dense_mlp,0.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.0.mlp.up_proj.weight,dense_mlp,0.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.0.post_attention_layernorm.weight,norm,0.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.0.self_attn.k_proj.bias,attention,0.0,,,128,bfloat16,128,256,model.safetensors
model.layers.0.self_attn.k_proj.weight,attention,0.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.0.self_attn.o_proj.weight,attention,0.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.0.self_attn.q_proj.bias,attention,0.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.0.self_attn.q_proj.weight,attention,0.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.0.self_attn.v_proj.bias,attention,0.0,,,128,bfloat16,128,256,model.safetensors
model.layers.0.self_attn.v_proj.weight,attention,0.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.1.input_layernorm.weight,norm,1.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.1.mlp.down_proj.weight,dense_mlp,1.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.1.mlp.gate_proj.weight,dense_mlp,1.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.1.mlp.up_proj.weight,dense_mlp,1.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.1.post_attention_layernorm.weight,norm,1.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.1.self_attn.k_proj.bias,attention,1.0,,,128,bfloat16,128,256,model.safetensors
model.layers.1.self_attn.k_proj.weight,attention,1.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.1.self_attn.o_proj.weight,attention,1.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.1.self_attn.q_proj.bias,attention,1.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.1.self_attn.q_proj.weight,attention,1.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.1.self_attn.v_proj.bias,attention,1.0,,,128,bfloat16,128,256,model.safetensors
model.layers.1.self_attn.v_proj.weight,attention,1.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.10.input_layernorm.weight,norm,10.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.10.mlp.down_proj.weight,dense_mlp,10.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.10.mlp.gate_proj.weight,dense_mlp,10.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.10.mlp.up_proj.weight,dense_mlp,10.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.10.post_attention_layernorm.weight,norm,10.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.10.self_attn.k_proj.bias,attention,10.0,,,128,bfloat16,128,256,model.safetensors
model.layers.10.self_attn.k_proj.weight,attention,10.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.10.self_attn.o_proj.weight,attention,10.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.10.self_attn.q_proj.bias,attention,10.0,,,896,bfloat16,896,1792,model.safetensors
