tensor,group,layer,expert,shape,dtype,numel,bytes,shard
lm_head.weight,lm_head,,,151936x1024,bfloat16,155582464,311164928,model.safetensors
model.embed_tokens.weight,embedding,,,151936x1024,bfloat16,155582464,311164928,model.safetensors
model.layers.0.input_layernorm.weight,norm,0.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.0.mlp.down_proj.weight,dense_mlp,0.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.0.mlp.gate_proj.weight,dense_mlp,0.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.0.mlp.up_proj.weight,dense_mlp,0.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.0.post_attention_layernorm.weight,attention,0.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.0.self_attn.k_norm.weight,attention,0.0,,128,bfloat16,128,256,model.safetensors
model.layers.0.self_attn.k_proj.weight,attention,0.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.0.self_attn.o_proj.weight,attention,0.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.0.self_attn.q_norm.weight,attention,0.0,,128,bfloat16,128,256,model.safetensors
model.layers.0.self_attn.q_proj.weight,attention,0.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.0.self_attn.v_proj.weight,attention,0.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.1.input_layernorm.weight,norm,1.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.1.mlp.down_proj.weight,dense_mlp,1.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.1.mlp.gate_proj.weight,dense_mlp,1.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.1.mlp.up_proj.weight,dense_mlp,1.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.1.post_attention_layernorm.weight,attention,1.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.1.self_attn.k_norm.weight,attention,1.0,,128,bfloat16,128,256,model.safetensors
model.layers.1.self_attn.k_proj.weight,attention,1.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.1.self_attn.o_proj.weight,attention,1.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.1.self_attn.q_norm.weight,attention,1.0,,128,bfloat16,128,256,model.safetensors
model.layers.1.self_attn.q_proj.weight,attention,1.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.1.self_attn.v_proj.weight,attention,1.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.10.input_layernorm.weight,norm,10.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.10.mlp.down_proj.weight,dense_mlp,10.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.10.mlp.gate_proj.weight,dense_mlp,10.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.10.mlp.up_proj.weight,dense_mlp,10.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.10.post_attention_layernorm.weight,attention,10.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.10.self_attn.k_norm.weight,attention,10.0,,128,bfloat16,128,256,model.safetensors
model.layers.10.self_attn.k_proj.weight,attention,10.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.10.self_attn.o_proj.weight,attention,10.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.10.self_attn.q_norm.weight,attention,10.0,,128,bfloat16,128,256,model.safetensors
model.layers.10.self_attn.q_proj.weight,attention,10.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.10.self_attn.v_proj.weight,attention,10.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.11.input_layernorm.weight,norm,11.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.11.mlp.down_proj.weight,dense_mlp,11.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.11.mlp.gate_proj.weight,dense_mlp,11.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.11.mlp.up_proj.weight,dense_mlp,11.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.11.post_attention_layernorm.weight,attention,11.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.11.self_attn.k_norm.weight,attention,11.0,,128,bfloat16,128,256,model.safetensors
model.layers.11.self_attn.k_proj.weight,attention,11.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.11.self_attn.o_proj.weight,attention,11.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.11.self_attn.q_norm.weight,attention,11.0,,128,bfloat16,128,256,model.safetensors
model.layers.11.self_attn.q_proj.weight,attention,11.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.11.self_attn.v_proj.weight,attention,11.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.12.input_layernorm.weight,norm,12.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.12.mlp.down_proj.weight,dense_mlp,12.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.12.mlp.gate_proj.weight,dense_mlp,12.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.12.mlp.up_proj.weight,dense_mlp,12.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.12.post_attention_layernorm.weight,attention,12.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.12.self_attn.k_norm.weight,attention,12.0,,128,bfloat16,128,256,model.safetensors
model.layers.12.self_attn.k_proj.weight,attention,12.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.12.self_attn.o_proj.weight,attention,12.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.12.self_attn.q_norm.weight,attention,12.0,,128,bfloat16,128,256,model.safetensors
model.layers.12.self_attn.q_proj.weight,attention,12.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.12.self_attn.v_proj.weight,attention,12.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.13.input_layernorm.weight,norm,13.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.13.mlp.down_proj.weight,dense_mlp,13.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.13.mlp.gate_proj.weight,dense_mlp,13.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.13.mlp.up_proj.weight,dense_mlp,13.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
