layer,expert,packed_expert_count,tensors,numel,bytes
0.0,packed,256.0,4,1610612736,3221225472
1.0,packed,256.0,2,805306368,1610612736
2.0,packed,256.0,2,805306368,1610612736
3.0,packed,256.0,2,805306368,1610612736
4.0,packed,256.0,2,805306368,1610612736
5.0,packed,256.0,2,805306368,1610612736
6.0,packed,256.0,2,805306368,1610612736
7.0,packed,256.0,2,805306368,1610612736
8.0,packed,256.0,2,805306368,1610612736
9.0,packed,256.0,2,805306368,1610612736
10.0,packed,256.0,2,805306368,1610612736
11.0,packed,256.0,2,805306368,1610612736
12.0,packed,256.0,2,805306368,1610612736
13.0,packed,256.0,2,805306368,1610612736
14.0,packed,256.0,2,805306368,1610612736
15.0,packed,256.0,2,805306368,1610612736
16.0,packed,256.0,2,805306368,1610612736
17.0,packed,256.0,2,805306368,1610612736
18.0,packed,256.0,2,805306368,1610612736
19.0,packed,256.0,2,805306368,1610612736
20.0,packed,256.0,2,805306368,1610612736
21.0,packed,256.0,2,805306368,1610612736
22.0,packed,256.0,2,805306368,1610612736
23.0,packed,256.0,2,805306368,1610612736
24.0,packed,256.0,2,805306368,1610612736
25.0,packed,256.0,2,805306368,1610612736
26.0,packed,256.0,2,805306368,1610612736
27.0,packed,256.0,2,805306368,1610612736
28.0,packed,256.0,2,805306368,1610612736
29.0,packed,256.0,2,805306368,1610612736
30.0,packed,256.0,2,805306368,1610612736
31.0,packed,256.0,2,805306368,1610612736
32.0,packed,256.0,2,805306368,1610612736
33.0,packed,256.0,2,805306368,1610612736
34.0,packed,256.0,2,805306368,1610612736
35.0,packed,256.0,2,805306368,1610612736
36.0,packed,256.0,2,805306368,1610612736
37.0,packed,256.0,2,805306368,1610612736
38.0,packed,256.0,2,805306368,1610612736
39.0,packed,256.0,2,805306368,1610612736
