tensor,group,layer,expert,packed_expert_count,shape,dtype,numel,bytes,shard
model.language_model.embed_tokens.weight,embedding,,,,248320x2048,bfloat16,508559360,1017118720,model-00001-of-00026.safetensors
model.language_model.layers.0.linear_attn.in_proj_qkv.weight,attention,0.0,,,8192x2048,bfloat16,16777216,33554432,model-00001-of-00026.safetensors
model.language_model.layers.0.linear_attn.in_proj_z.weight,attention,0.0,,,4096x2048,bfloat16,8388608,16777216,model-00001-of-00026.safetensors
model.language_model.layers.0.linear_attn.out_proj.weight,attention,0.0,,,2048x4096,bfloat16,8388608,16777216,model-00001-of-00026.safetensors
model.language_model.layers.0.mlp.experts.gate_up_proj,routed_expert,0.0,,256.0,256x1024x2048,bfloat16,536870912,1073741824,model-00001-of-00026.safetensors
model.language_model.layers.1.linear_attn.in_proj_qkv.weight,attention,1.0,,,8192x2048,bfloat16,16777216,33554432,model-00001-of-00026.safetensors
model.language_model.layers.1.linear_attn.in_proj_z.weight,attention,1.0,,,4096x2048,bfloat16,8388608,16777216,model-00001-of-00026.safetensors
model.language_model.layers.1.linear_attn.out_proj.weight,attention,1.0,,,2048x4096,bfloat16,8388608,16777216,model-00001-of-00026.safetensors
model.language_model.layers.1.mlp.experts.down_proj,routed_expert,1.0,,256.0,256x2048x512,bfloat16,268435456,536870912,model-00001-of-00026.safetensors
model.language_model.layers.1.mlp.experts.gate_up_proj,routed_expert,1.0,,256.0,256x1024x2048,bfloat16,536870912,1073741824,model-00001-of-00026.safetensors
model.visual.blocks.0.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00001-of-00026.safetensors
model.visual.blocks.0.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00001-of-00026.safetensors
model.visual.blocks.1.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00001-of-00026.safetensors
model.visual.blocks.1.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00001-of-00026.safetensors
model.visual.blocks.10.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00001-of-00026.safetensors
model.visual.blocks.10.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00001-of-00026.safetensors
model.visual.blocks.11.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00001-of-00026.safetensors
model.visual.blocks.11.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00001-of-00026.safetensors
model.visual.blocks.12.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00001-of-00026.safetensors
model.visual.blocks.12.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00001-of-00026.safetensors
model.visual.merger.linear_fc1.weight,other,,,,4608x4608,bfloat16,21233664,42467328,model-00001-of-00026.safetensors
model.visual.merger.linear_fc2.weight,other,,,,2048x4608,bfloat16,9437184,18874368,model-00001-of-00026.safetensors
model.language_model.layers.0.input_layernorm.weight,norm,0.0,,,2048,bfloat16,2048,4096,model-00002-of-00026.safetensors
model.language_model.layers.0.linear_attn.A_log,attention,0.0,,,32,bfloat16,32,64,model-00002-of-00026.safetensors
model.language_model.layers.0.linear_attn.conv1d.weight,attention,0.0,,,8192x1x4,bfloat16,32768,65536,model-00002-of-00026.safetensors
model.language_model.layers.0.linear_attn.dt_bias,attention,0.0,,,32,bfloat16,32,64,model-00002-of-00026.safetensors
model.language_model.layers.0.linear_attn.in_proj_a.weight,attention,0.0,,,32x2048,bfloat16,65536,131072,model-00002-of-00026.safetensors
model.language_model.layers.0.linear_attn.in_proj_b.weight,attention,0.0,,,32x2048,bfloat16,65536,131072,model-00002-of-00026.safetensors
model.language_model.layers.0.linear_attn.norm.weight,norm,0.0,,,128,bfloat16,128,256,model-00002-of-00026.safetensors
model.language_model.layers.0.mlp.experts.down_proj,routed_expert,0.0,,256.0,256x2048x512,bfloat16,268435456,536870912,model-00002-of-00026.safetensors
model.language_model.layers.0.mlp.gate.weight,router,0.0,,,256x2048,bfloat16,524288,1048576,model-00002-of-00026.safetensors
model.language_model.layers.0.mlp.shared_expert.down_proj.weight,shared_expert,0.0,,,2048x512,bfloat16,1048576,2097152,model-00002-of-00026.safetensors
model.language_model.layers.0.mlp.shared_expert.gate_proj.weight,shared_expert,0.0,,,512x2048,bfloat16,1048576,2097152,model-00002-of-00026.safetensors
model.language_model.layers.0.mlp.shared_expert.up_proj.weight,shared_expert,0.0,,,512x2048,bfloat16,1048576,2097152,model-00002-of-00026.safetensors
model.language_model.layers.0.mlp.shared_expert_gate.weight,shared_expert,0.0,,,1x2048,bfloat16,2048,4096,model-00002-of-00026.safetensors
model.language_model.layers.0.post_attention_layernorm.weight,norm,0.0,,,2048,bfloat16,2048,4096,model-00002-of-00026.safetensors
model.language_model.layers.1.input_layernorm.weight,norm,1.0,,,2048,bfloat16,2048,4096,model-00002-of-00026.safetensors
model.language_model.layers.1.linear_attn.A_log,attention,1.0,,,32,bfloat16,32,64,model-00002-of-00026.safetensors
model.language_model.layers.1.linear_attn.conv1d.weight,attention,1.0,,,8192x1x4,bfloat16,32768,65536,model-00002-of-00026.safetensors
model.language_model.layers.1.linear_attn.dt_bias,attention,1.0,,,32,bfloat16,32,64,model-00002-of-00026.safetensors
model.language_model.layers.1.linear_attn.in_proj_a.weight,attention,1.0,,,32x2048,bfloat16,65536,131072,model-00002-of-00026.safetensors
model.language_model.layers.1.linear_attn.in_proj_b.weight,attention,1.0,,,32x2048,bfloat16,65536,131072,model-00002-of-00026.safetensors
model.language_model.layers.1.linear_attn.norm.weight,norm,1.0,,,128,bfloat16,128,256,model-00002-of-00026.safetensors
model.language_model.layers.1.mlp.gate.weight,router,1.0,,,256x2048,bfloat16,524288,1048576,model-00002-of-00026.safetensors
model.language_model.layers.1.mlp.shared_expert.down_proj.weight,shared_expert,1.0,,,2048x512,bfloat16,1048576,2097152,model-00002-of-00026.safetensors
model.language_model.layers.1.mlp.shared_expert.gate_proj.weight,shared_expert,1.0,,,512x2048,bfloat16,1048576,2097152,model-00002-of-00026.safetensors
model.language_model.layers.1.mlp.shared_expert.up_proj.weight,shared_expert,1.0,,,512x2048,bfloat16,1048576,2097152,model-00002-of-00026.safetensors
model.language_model.layers.1.mlp.shared_expert_gate.weight,shared_expert,1.0,,,1x2048,bfloat16,2048,4096,model-00002-of-00026.safetensors
model.language_model.layers.1.post_attention_layernorm.weight,norm,1.0,,,2048,bfloat16,2048,4096,model-00002-of-00026.safetensors
model.visual.blocks.0.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.0.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.0.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.0.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.0.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.0.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.0.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.0.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.0.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
