alpha,beta,living_loss,object_loss,living_acc,object_acc,avg_loss,worst_loss,avg_acc,worst_acc
-0.25,-0.25,2.6279322624206545,2.7636794567108156,0.184375,0.1421875,2.695805859565735,2.7636794567108156,0.16328125,0.1421875
-0.25,-0.15625,2.6580597559611,2.6301215648651124,0.14375,0.2125,2.6440906604131063,2.6580597559611,0.17812499999999998,0.14375
-0.25,-0.0625,2.73234125773112,2.4837377071380615,0.09375,0.26875,2.6080394824345907,2.73234125773112,0.18125,0.09375
-0.25,0.03125,2.8549875895182293,2.3386688232421875,0.04375,0.3078125,2.5968282063802084,2.8549875895182293,0.17578125,0.04375
-0.25,0.125,3.0252564748128257,2.205152416229248,0.01875,0.31875,2.615204445521037,3.0252564748128257,0.16874999999999998,0.01875
-0.25,0.21875,3.2369513193766277,2.0893377304077148,0.00625,0.3296875,2.6631445248921715,3.2369513193766277,0.16796875,0.00625
-0.25,0.3125,3.480145327250163,1.993370246887207,0.003125,0.334375,2.7367577870686848,3.480145327250163,0.16874999999999998,0.003125
-0.25,0.40625,3.7438910802205405,1.9165266513824464,0.0,0.3421875,2.8302088658014934,3.7438910802205405,0.17109375,0.0
-0.25,0.5,4.018602434794108,1.8563581705093384,0.0,0.3484375,2.937480302651723,4.018602434794108,0.17421875,0.0
-0.25,0.59375,4.297419675191244,1.809829878807068,0.0,0.353125,3.053624776999156,4.297419675191244,0.1765625,0.0
-0.25,0.6875,4.575816345214844,1.77421395778656,0.0,0.3578125,3.175015151500702,4.575816345214844,0.17890625,0.0
-0.25,0.78125,4.851638412475586,1.7472360610961915,0.0,0.3625,3.2994372367858884,4.851638412475586,0.18125,0.0
-0.25,0.875,5.123768107096354,1.7271968126296997,0.0,0.365625,3.425482459863027,5.123768107096354,0.1828125,0.0
-0.25,0.96875,5.391616948445638,1.7131277799606324,0.0,0.3671875,3.5523723642031353,5.391616948445638,0.18359375,0.0
-0.25,1.0625,5.655326207478841,1.7048279523849488,0.0,0.3703125,3.6800770799318947,5.655326207478841,0.18515625,0.0
-0.25,1.15625,5.915002822875977,1.702256941795349,0.0,0.3703125,3.808629882335663,5.915002822875977,0.18515625,0.0
-0.25,1.25,6.170829391479492,1.7051983594894409,0.0,0.3703125,3.9380138754844665,6.170829391479492,0.18515625,0.0
-0.15625,-0.25,2.5471671422322593,2.894635629653931,0.20625,0.0890625,2.720901385943095,2.894635629653931,0.14765625,0.0890625
-0.15625,-0.15625,2.5687410036722818,2.7449370861053466,0.203125,0.1640625,2.656839044888814,2.7449370861053466,0.18359375,0.1640625
-0.15625,-0.0625,2.6350322723388673,2.575649070739746,0.146875,0.2375,2.605340671539307,2.6350322723388673,0.1921875,0.146875
-0.15625,0.03125,2.753587849934896,2.4052581787109375,0.0875,0.278125,2.5794230143229164,2.753587849934896,0.1828125,0.0875
-0.15625,0.125,2.9265353520711264,2.2480602741241453,0.03958333333333333,0.315625,2.587297813097636,2.9265353520711264,0.17760416666666667,0.03958333333333333
-0.15625,0.21875,3.1494133631388346,2.1128159046173094,0.011458333333333333,0.3234375,2.631114633878072,3.1494133631388346,0.16744791666666667,0.011458333333333333
-0.15625,0.3125,3.4115269343058268,2.0028051853179933,0.004166666666666667,0.3328125,2.70716605981191,3.4115269343058268,0.16848958333333333,0.004166666666666667
-0.15625,0.40625,3.699512545267741,1.9167439222335816,0.0010416666666666667,0.353125,2.8081282337506615,3.699512545267741,0.17708333333333334,0.0010416666666666667
-0.15625,0.5,4.0005854288736975,1.851159119606018,0.0,0.3515625,2.9258722742398575,4.0005854288736975,0.17578125,0.0
-0.15625,0.59375,4.305324236551921,1.8018089294433595,0.0,0.3578125,3.0535665829976404,4.305324236551921,0.17890625,0.0
-0.15625,0.6875,4.607827695210775,1.7649621725082398,0.0,0.3640625,3.186394933859507,4.607827695210775,0.18203125,0.0
-0.15625,0.78125,4.904895464579265,1.737584662437439,0.0,0.3640625,3.321240063508352,4.904895464579265,0.18203125,0.0
-0.15625,0.875,5.195486195882162,1.7175302982330323,0.0,0.365625,3.456508247057597,5.195486195882162,0.1828125,0.0
-0.15625,0.96875,5.479372787475586,1.7035571813583374,0.0,0.36875,3.5914649844169615,5.479372787475586,0.184375,0.0
-0.15625,1.0625,5.756650797526041,1.6952038764953614,0.0,0.3703125,3.7259273370107016,5.756650797526041,0.18515625,0.0
-0.15625,1.15625,6.027926381429037,1.6924986362457275,0.0,0.3765625,3.860212508837382,6.027926381429037,0.18828125,0.0
-0.15625,1.25,6.293770217895508,1.6953545570373536,0.0,0.375,3.9945623874664307,6.293770217895508,0.1875,0.0
-0.0625,-0.25,2.4683523495992024,3.0569530010223387,0.23125,0.053125,2.7626526753107705,3.0569530010223387,0.1421875,0.053125
-0.0625,-0.15625,2.479210631052653,2.8940449237823485,0.23333333333333334,0.096875,2.6866277774175007,2.8940449237823485,0.16510416666666666,0.096875
-0.0625,-0.0625,2.5332420031229654,2.701797676086426,0.2125,0.178125,2.6175198396046957,2.701797676086426,0.1953125,0.178125
-0.0625,0.03125,2.641580581665039,2.50272536277771,0.134375,0.2515625,2.5721529722213745,2.641580581665039,0.19296875000000002,0.134375
-0.0625,0.125,2.8105082829793293,2.316335153579712,0.06979166666666667,0.2953125,2.5634217182795207,2.8105082829793293,0.18255208333333334,0.06979166666666667
-0.0625,0.21875,3.0384382883707683,2.1555805683135985,0.027083333333333334,0.325,2.5970094283421834,3.0384382883707683,0.17604166666666668,0.027083333333333334
-0.0625,0.3125,3.3156748453776044,2.0260104656219484,0.009375,0.334375,2.6708426554997766,3.3156748453776044,0.171875,0.009375
-0.0625,0.40625,3.626539611816406,1.926655125617981,0.003125,0.3484375,2.7765973687171934,3.626539611816406,0.17578125,0.003125
-0.0625,0.5,3.9548568725585938,1.8528181552886962,0.0010416666666666667,0.3546875,2.903837513923645,3.9548568725585938,0.17786458333333333,0.0010416666666666667
-0.0625,0.59375,4.2876381556193035,1.7988252639770508,0.0,0.3703125,3.043231709798177,4.2876381556193035,0.18515625,0.0
-0.0625,0.6875,4.616551907857259,1.7595919132232667,0.0,0.3703125,3.1880719105402626,4.616551907857259,0.18515625,0.0
-0.0625,0.78125,4.937467765808106,1.7311361312866211,0.0,0.36875,3.3343019485473633,4.937467765808106,0.184375,0.0
-0.0625,0.875,5.248866844177246,1.7106539249420165,0.0,0.3671875,3.479760384559631,5.248866844177246,0.18359375,0.0
-0.0625,0.96875,5.550474166870117,1.6965682983398438,0.0,0.375,3.6235212326049804,5.550474166870117,0.1875,0.0
-0.0625,1.0625,5.843038050333659,1.6881398916244508,0.0,0.3796875,3.7655889709790547,5.843038050333659,0.18984375,0.0
-0.0625,1.15625,6.127223714192708,1.6852652549743652,0.0,0.375,3.906244484583537,6.127223714192708,0.1875,0.0
-0.0625,1.25,6.404024759928386,1.687931752204895,0.0,0.375,4.045978256066641,6.404024759928386,0.1875,0.0
