layer,numel,cosine,sign_conflict,weighted_conflict,living_norm,object_norm
cls,96,-0.16821613328881227,0.6354166865348816,0.6267553896913792,0.058898456394672394,0.06763871759176254
pos,6240,0.0002947135551102741,0.504647433757782,0.4997761236850503,0.8369076251983643,0.6559708714485168
patch.weight,4608,-0.09312800538392818,0.5260416865348816,0.5727707430844379,0.35131052136421204,0.28915128111839294
patch.bias,96,-0.44418264620649167,0.7604166865348816,0.8072444177818211,0.04238484054803848,0.057518910616636276
encoder.layers.0.self_attn.in_proj_weight,27648,-0.1395093155261117,0.5659360289573669,0.608188774425128,1.1009440422058105,1.14579439163208
encoder.layers.0.self_attn.in_proj_bias,288,0.11190559967166239,0.53125,0.4199929243126625,0.07261257618665695,0.0841766819357872
encoder.layers.0.self_attn.out_proj.weight,9216,-0.14153657870951306,0.5648871660232544,0.6135402887479583,0.6830549240112305,0.6964788436889648
encoder.layers.0.self_attn.out_proj.bias,96,-0.3221083694172767,0.6666666865348816,0.7191513866014955,0.04055037349462509,0.05946456268429756
encoder.layers.0.linear1.weight,18432,-0.13286041233182155,0.5587868094444275,0.6050254670113093,1.1768378019332886,1.0777819156646729
encoder.layers.0.linear1.bias,192,-0.2124439115306449,0.625,0.6502739798551004,0.08086951076984406,0.0849105715751648
encoder.layers.0.linear2.weight,18432,-0.1953587122136476,0.59375,0.6506136580018653,1.1870081424713135,1.1310194730758667
encoder.layers.0.linear2.bias,96,-0.776463178367649,0.8229166865348816,0.9413429934239074,0.04633919522166252,0.07102987915277481
encoder.layers.0.norm1.weight,96,0.10920251444823563,0.4479166567325592,0.4004183672617852,0.050100356340408325,0.048487890511751175
encoder.layers.0.norm1.bias,96,0.06660788740571821,0.46875,0.45299919063257005,0.03662555664777756,0.04898678511381149
encoder.layers.0.norm2.weight,96,-0.06443082138621335,0.6354166865348816,0.5487434356553391,0.07404719293117523,0.05605698749423027
encoder.layers.0.norm2.bias,96,-0.08907805634578683,0.5729166865348816,0.5674166270971536,0.049778494983911514,0.03779120370745659
encoder.layers.1.self_attn.in_proj_weight,27648,-0.25239018298650867,0.6193576455116272,0.6906596360131091,1.494588851928711,1.4098094701766968
encoder.layers.1.self_attn.in_proj_bias,288,-0.35507452358768354,0.6354166865348816,0.7219142570303915,0.09457232803106308,0.11253205686807632
encoder.layers.1.self_attn.out_proj.weight,9216,-0.27964029166782073,0.6196831464767456,0.7102579404043629,0.8553227186203003,0.8469690084457397
encoder.layers.1.self_attn.out_proj.bias,96,-0.7870898660227209,0.8541666865348816,0.9682193644148646,0.06638908386230469,0.08463314175605774
encoder.layers.1.linear1.weight,18432,-0.1205820980060832,0.5632595419883728,0.5922566102579857,1.4291080236434937,1.2564327716827393
encoder.layers.1.linear1.bias,192,-0.4185304853500572,0.7135416865348816,0.8050969884240806,0.11191679537296295,0.12195964902639389
encoder.layers.1.linear2.weight,18432,-0.32404808396625817,0.6393771767616272,0.7321197050476771,1.5449639558792114,1.340279459953308
encoder.layers.1.linear2.bias,96,-0.8223173254227132,0.8854166865348816,0.9820072400788574,0.08426183462142944,0.09810084104537964
encoder.layers.1.norm1.weight,96,-0.24534462921232036,0.6145833134651184,0.6819736912345902,0.074132040143013,0.08425228297710419
encoder.layers.1.norm1.bias,96,-0.7738087618496953,0.8854166865348816,0.9659523929724034,0.052895303815603256,0.06788739562034607
encoder.layers.1.norm2.weight,96,0.2791979457745336,0.40625,0.2882662565586095,0.11009669303894043,0.07975251972675323
encoder.layers.1.norm2.bias,96,-0.2996236852512434,0.6145833134651184,0.719731685915579,0.054068922996520996,0.04795285686850548
norm.weight,96,0.8399786336644673,0.0416666679084301,0.008667202150152079,0.3203155994415283,0.22996912896633148
norm.bias,96,-0.8200577962522723,0.8958333134651184,0.9706261832662701,0.2337387502193451,0.20349550247192383
head.weight,1920,0.13578783691915985,0.4609375,0.4025719225609077,0.8902620673179626,0.7720221281051636
head.bias,20,-0.890188219573152,1.0,1.0,0.09667650610208511,0.09395898133516312
