point,kind,pc1,pc2
base,reference,0.0,0.0
task_vector_living,direction,-2.9232802344735074,0.002012570995065909
task_vector_object,direction,2.5382738458672,0.0020125709949754865
base,reference,0.0,0.0
expert_living,reference,-2.9232802344735074,0.002012570995065909
expert_object,reference,2.5382738458672,0.0020125709949754865
linear_average,merge,-0.1925031943531983,0.0020125709947851986
slerp_experts,merge,-0.19492766192438996,0.0020255927249415487
task_arithmetic_best_lambda,merge,-0.019250319794425992,0.00020125709306614283
ties_density_0.5,merge,-0.4668168323747564,0.003185327284205861
dare_drop_0.5,merge,-0.19030152987394336,0.0020224142722639195
validation_grid_best,oracle,-0.012031456197707636,0.000125785679938009
