layer,numel,cosine,sign_conflict,weighted_conflict,vehicle_norm,animal_norm
features.0.weight,1296,0.23548917590661494,0.4297839403152466,0.3267488220598883,0.17160408198833466,0.26162752509117126
features.0.bias,48,0.4682917046623455,0.3958333432674408,0.14305021148350855,0.0238959863781929,0.02267354726791382
features.1.weight,48,0.3065844452342656,0.375,0.294632156263415,0.03369735926389694,0.05186951532959938
features.1.bias,48,0.19319830653602602,0.5625,0.3517659083091565,0.018542082980275154,0.02062799036502838
features.3.weight,20736,0.011985779047937357,0.48032405972480774,0.49001160748969885,0.9931433200836182,1.4901087284088135
features.3.bias,48,0.04175986490813019,0.5,0.46163412011768734,0.014465326443314552,0.02489803358912468
features.4.weight,48,0.5968679854010364,0.4166666567325592,0.13509181161314784,0.031544286757707596,0.04336461052298546
features.4.bias,48,0.5357520405185386,0.2708333432674408,0.11610823393550916,0.0178055539727211,0.03609594330191612
features.7.weight,41472,0.07428537193443255,0.4826871156692505,0.43549453593694426,1.3619197607040405,1.8991121053695679
features.7.bias,96,0.3472543363376878,0.4791666567325592,0.23507791507806453,0.026210935786366463,0.04721736162900925
features.8.weight,96,0.46229046369133864,0.2708333432674408,0.1452538971878322,0.05704724043607712,0.09185347706079483
features.8.bias,96,0.5092579942261939,0.21875,0.11550158943909425,0.028039295226335526,0.04688766598701477
features.10.weight,82944,0.047616023099300256,0.4904031753540039,0.4576758685365205,2.268779993057251,2.8484551906585693
features.10.bias,96,-0.003466166921949195,0.5,0.5029993843588887,0.02853723056614399,0.026559701189398766
features.11.weight,96,0.40074484080274314,0.4375,0.15687491110962098,0.05384111776947975,0.07956940680742264
features.11.bias,96,0.6556896135491107,0.2395833283662796,0.04438725208448903,0.036373380571603775,0.07054609060287476
features.14.weight,165888,-0.025849214780962863,0.5241850018501282,0.5234810748939999,3.71195125579834,4.519439697265625
features.14.bias,192,-0.30066854896250633,0.5677083134651184,0.7190380226304757,0.058283235877752304,0.05276048928499222
features.15.weight,192,0.5509035736458625,0.296875,0.10340265149699603,0.20685426890850067,0.3281416893005371
features.15.bias,192,-0.5284820680476269,0.6927083134651184,0.8764367446928423,0.11976169049739838,0.1467479169368744
classifier.weight,1920,-0.04375346282842157,0.5567708611488342,0.5519432086836011,0.8244312405586243,1.173526644706726
classifier.bias,10,-0.4061382446692256,0.8999999761581421,0.9868419515640624,0.041364382952451706,0.06547421216964722
