layer,scale,task_a_loss,task_b_loss,task_a_acc,task_b_acc,avg_loss,worst_loss,avg_acc,worst_acc
net.0.weight,0.6,0.23015669186909993,0.27081209321261784,0.9611111111111111,0.9608938547486033,0.25048439254085886,0.27081209321261784,0.9610024829298572,0.9608938547486033
net.0.bias,0.0,0.23015669186909993,0.27081209321261784,0.9611111111111111,0.9608938547486033,0.25048439254085886,0.27081209321261784,0.9610024829298572,0.9608938547486033
net.1.weight,0.0,0.23015669186909993,0.27081209321261784,0.9611111111111111,0.9608938547486033,0.25048439254085886,0.27081209321261784,0.9610024829298572,0.9608938547486033
net.1.bias,1.0,0.22918833626641166,0.26995529409227426,0.9611111111111111,0.9608938547486033,0.24957181517934296,0.26995529409227426,0.9610024829298572,0.9608938547486033
net.3.weight,0.0,0.22918833626641166,0.26995529409227426,0.9611111111111111,0.9608938547486033,0.24957181517934296,0.26995529409227426,0.9610024829298572,0.9608938547486033
net.3.bias,1.0,0.22903274959988065,0.2690683077167532,0.9611111111111111,0.9608938547486033,0.24905052865831695,0.2690683077167532,0.9610024829298572,0.9608938547486033
net.4.weight,0.2,0.2128068897459242,0.24816440603586548,0.9611111111111111,0.9608938547486033,0.23048564789089485,0.24816440603586548,0.9610024829298572,0.9608938547486033
net.4.bias,0.0,0.2128068897459242,0.24816440603586548,0.9611111111111111,0.9608938547486033,0.23048564789089485,0.24816440603586548,0.9610024829298572,0.9608938547486033
net.6.weight,0.6,0.14428785641988118,0.15929200262996737,0.9611111111111111,0.9608938547486033,0.15178992952492426,0.15929200262996737,0.9610024829298572,0.9608938547486033
net.6.bias,0.0,0.14428785641988118,0.15929200262996737,0.9611111111111111,0.9608938547486033,0.15178992952492426,0.15929200262996737,0.9610024829298572,0.9608938547486033
