model,score,score_kind,value,n,lower,upper,half_width
base,mmlu,task_accuracy,0.7666666666666667,120,0.6834438839010675,0.8333453048691035,0.07495071048401802
base,gsm8k,task_accuracy,0.725,40,0.5716474916687543,0.8389214656685692,0.13363698699990745
base,humaneval,task_accuracy,0.825,40,0.6804970794560755,0.9125469700311694,0.11602494528754692
base,avg,macro_average_of_task_intervals,0.7722222222222221,200,0.6451961516752991,0.861604580189614,0.10820421425715748
base,worst,minimum_of_task_intervals,0.725,200,0.5716474916687543,0.8333453048691035,0.13084890660017462
instruct,mmlu,task_accuracy,0.8416666666666667,120,0.7659051081885379,0.8962310399232437,0.06516296586735293
instruct,gsm8k,task_accuracy,0.9,40,0.7694792561952611,0.9604211124044252,0.09547092810458202
instruct,humaneval,task_accuracy,0.95,40,0.834958291820748,0.9861796228538989,0.07561066551657547
instruct,avg,macro_average_of_task_intervals,0.8972222222222221,200,0.790114218734849,0.9476105917271892,0.0787481864961701
instruct,worst,minimum_of_task_intervals,0.8416666666666667,200,0.7659051081885379,0.8962310399232437,0.06516296586735293
coder,mmlu,task_accuracy,0.7666666666666667,120,0.6834438839010675,0.8333453048691035,0.07495071048401802
coder,gsm8k,task_accuracy,0.9,40,0.7694792561952611,0.9604211124044252,0.09547092810458202
coder,humaneval,task_accuracy,0.95,40,0.834958291820748,0.9861796228538989,0.07561066551657547
coder,avg,macro_average_of_task_intervals,0.8722222222222222,200,0.762627143972359,0.9266486800424758,0.08201076803505841
coder,worst,minimum_of_task_intervals,0.7666666666666667,200,0.6834438839010675,0.8333453048691035,0.07495071048401802
thinking,mmlu,task_accuracy,0.7916666666666666,120,0.7105215895553653,0.8547165856620093,0.072097498053322
thinking,gsm8k,task_accuracy,0.75,40,0.598057409330299,0.8581303210445048,0.13003645585710288
thinking,humaneval,task_accuracy,0.9,40,0.7694792561952611,0.9604211124044252,0.09547092810458202
thinking,avg,macro_average_of_task_intervals,0.8138888888888888,200,0.6926860850269753,0.8910893397036465,0.0992016273383356
thinking,worst,minimum_of_task_intervals,0.75,200,0.598057409330299,0.8547165856620093,0.1283295881658551
merge_instruct+coder,mmlu,task_accuracy,0.7583333333333333,120,0.6744968590361364,0.8261426675849666,0.07582290427441507
merge_instruct+coder,gsm8k,task_accuracy,0.825,40,0.6804970794560755,0.9125469700311694,0.11602494528754692
merge_instruct+coder,humaneval,task_accuracy,0.8,40,0.6524239261814333,0.8950013502683314,0.12128871204344904
merge_instruct+coder,avg,macro_average_of_task_intervals,0.7944444444444444,200,0.6691392882245485,0.8778969959614891,0.10437885386847029
merge_instruct+coder,worst,minimum_of_task_intervals,0.7583333333333333,200,0.6524239261814333,0.8261426675849666,0.08685937070176664
merge_instruct+coder_routercal,mmlu,task_accuracy,0.7583333333333333,120,0.6744968590361364,0.8261426675849666,0.07582290427441507
merge_instruct+coder_routercal,gsm8k,task_accuracy,0.85,40,0.7092737396097997,0.9293890829149256,0.11005767165256297
merge_instruct+coder_routercal,humaneval,task_accuracy,0.875,40,0.7388757932976187,0.9454058022645873,0.1032650044834843
merge_instruct+coder_routercal,avg,macro_average_of_task_intervals,0.8277777777777778,200,0.7075487973145181,0.9003125175881598,0.09638186013682082
merge_instruct+coder_routercal,worst,minimum_of_task_intervals,0.7583333333333333,200,0.6744968590361364,0.8261426675849666,0.07582290427441507
merge_instruct+coder+thinking,mmlu,task_accuracy,0.75,120,0.6655869783172575,0.8189028861547777,0.07665795391876007
merge_instruct+coder+thinking,gsm8k,task_accuracy,0.9,40,0.7694792561952611,0.9604211124044252,0.09547092810458202
merge_instruct+coder+thinking,humaneval,task_accuracy,0.85,40,0.7092737396097997,0.9293890829149256,0.11005767165256297
merge_instruct+coder+thinking,avg,macro_average_of_task_intervals,0.8333333333333334,200,0.7147799913741061,0.9029043604913761,0.09406218455863502
merge_instruct+coder+thinking,worst,minimum_of_task_intervals,0.75,200,0.6655869783172575,0.8189028861547777,0.07665795391876007
