density,lam,sign_resolve,importance,router,ho_worst,ho_avg
1.0,0.0,True,uniform,average,5.452541559392755,4.498831733790311
1.0,0.0,True,mag,average,5.452541559392755,4.498831733790311
1.0,0.0,False,uniform,average,5.452541559392755,4.498831733790311
1.0,0.0,False,mag,average,5.452541559392755,4.498831733790311
1.0,0.25,False,uniform,average,5.762036965110085,4.550848256457936
1.0,1.0,True,mag,average,5.766849587180397,4.5200706590305675
1.0,1.0,False,mag,average,5.803842440518466,4.483708830313249
1.0,0.25,True,uniform,average,6.040932672674006,4.435853585329923
1.0,1.25,True,uniform,average,6.320195146040483,4.413236568190834
1.0,0.25,True,mag,average,6.57334511496804,4.825362599979748
1.0,0.25,False,mag,average,6.586525379527699,4.849828737432307
1.0,0.5,False,uniform,average,6.813200517134233,4.922777865149758
1.0,0.5,True,uniform,average,7.020343572443182,4.661592760953036
1.0,1.25,False,mag,average,7.6161265980113635,4.968374759500676
1.0,1.25,True,mag,average,7.800373701615767,5.160172500393607
1.0,0.5,False,mag,average,7.931029718572443,5.369788798418912
1.0,0.5,True,mag,average,7.935041947798296,5.395954916693948
1.0,0.75,False,mag,average,7.966796320134943,5.438619717684659
1.0,1.0,False,uniform,average,8.03221074884588,5.384348448840054
1.0,1.25,False,uniform,average,8.065679654208097,5.513464264436202
1.0,0.75,True,mag,average,8.15616288618608,5.544785048744895
1.0,0.75,True,uniform,average,8.312512761896306,5.630808392438022
1.0,1.0,True,uniform,average,8.765836958451704,5.4669323108413
1.0,0.75,False,uniform,average,8.834704034978694,5.6405119625004865
