model,category,prompt_idx,router,expert_id,top1_count,top1_fraction,topk_count,topk_fraction
tiny_moe_right,general,0,layers.0.mlp.gate,0,0,0.0,0,0.0
tiny_moe_right,general,0,layers.0.mlp.gate,1,0,0.0,9,0.2647058823529412
tiny_moe_right,general,0,layers.0.mlp.gate,2,13,0.7647058823529411,17,0.5
tiny_moe_right,general,0,layers.0.mlp.gate,3,4,0.23529411764705882,8,0.23529411764705882
tiny_moe_right,general,0,layers.1.mlp.gate,0,13,0.7647058823529411,17,0.5
tiny_moe_right,general,0,layers.1.mlp.gate,1,0,0.0,5,0.14705882352941177
tiny_moe_right,general,0,layers.1.mlp.gate,2,0,0.0,8,0.23529411764705882
tiny_moe_right,general,0,layers.1.mlp.gate,3,4,0.23529411764705882,4,0.11764705882352941
tiny_moe_right,code,1,layers.0.mlp.gate,0,0,0.0,0,0.0
tiny_moe_right,code,1,layers.0.mlp.gate,1,0,0.0,3,0.15
tiny_moe_right,code,1,layers.0.mlp.gate,2,6,0.6,10,0.5
tiny_moe_right,code,1,layers.0.mlp.gate,3,4,0.4,7,0.35
tiny_moe_right,code,1,layers.1.mlp.gate,0,6,0.6,10,0.5
tiny_moe_right,code,1,layers.1.mlp.gate,1,0,0.0,2,0.1
tiny_moe_right,code,1,layers.1.mlp.gate,2,0,0.0,2,0.1
tiny_moe_right,code,1,layers.1.mlp.gate,3,4,0.4,6,0.3
tiny_moe_right,math,2,layers.0.mlp.gate,0,0,0.0,0,0.0
tiny_moe_right,math,2,layers.0.mlp.gate,1,0,0.0,3,0.16666666666666666
tiny_moe_right,math,2,layers.0.mlp.gate,2,4,0.4444444444444444,9,0.5
tiny_moe_right,math,2,layers.0.mlp.gate,3,5,0.5555555555555556,6,0.3333333333333333
tiny_moe_right,math,2,layers.1.mlp.gate,0,4,0.4444444444444444,9,0.5
tiny_moe_right,math,2,layers.1.mlp.gate,1,0,0.0,0,0.0
tiny_moe_right,math,2,layers.1.mlp.gate,2,0,0.0,3,0.16666666666666666
tiny_moe_right,math,2,layers.1.mlp.gate,3,5,0.5555555555555556,6,0.3333333333333333
