model,category,prompt_idx,router,token_idx,top_experts,top_probs
tiny_moe_right,general,0,layers.0.mlp.gate,0,3|2,0.27101439|0.26098555
tiny_moe_right,general,0,layers.0.mlp.gate,1,2|1,0.28695455|0.27715561
tiny_moe_right,general,0,layers.0.mlp.gate,2,2|1,0.27203935|0.25697336
tiny_moe_right,general,0,layers.0.mlp.gate,3,2|1,0.27904898|0.26735100
tiny_moe_right,general,0,layers.0.mlp.gate,4,2|3,0.26838845|0.25455117
tiny_moe_right,general,0,layers.0.mlp.gate,5,2|1,0.28392783|0.27368763
tiny_moe_right,general,0,layers.0.mlp.gate,6,2|1,0.27560428|0.26242012
tiny_moe_right,general,0,layers.0.mlp.gate,7,3|2,0.26666206|0.26283565
tiny_moe_right,general,0,layers.0.mlp.gate,8,2|3,0.26838845|0.25455117
tiny_moe_right,general,0,layers.0.mlp.gate,9,3|2,0.27101439|0.26098555
tiny_moe_right,general,0,layers.0.mlp.gate,10,3|2,0.27101439|0.26098555
tiny_moe_right,general,0,layers.0.mlp.gate,11,2|3,0.26838845|0.25455117
tiny_moe_right,general,0,layers.0.mlp.gate,12,2|3,0.26838845|0.25455117
tiny_moe_right,general,0,layers.0.mlp.gate,13,2|1,0.28695455|0.27715561
tiny_moe_right,general,0,layers.0.mlp.gate,14,2|1,0.28392783|0.27368763
tiny_moe_right,general,0,layers.0.mlp.gate,15,2|1,0.27560428|0.26242012
tiny_moe_right,general,0,layers.0.mlp.gate,16,2|1,0.28695455|0.27715561
tiny_moe_right,general,0,layers.1.mlp.gate,0,3|0,0.26563108|0.25698316
tiny_moe_right,general,0,layers.1.mlp.gate,1,0|1,0.29789442|0.25044152
tiny_moe_right,general,0,layers.1.mlp.gate,2,0|2,0.27037054|0.24963459
tiny_moe_right,general,0,layers.1.mlp.gate,3,0|2,0.28185025|0.24814345
tiny_moe_right,general,0,layers.1.mlp.gate,4,0|2,0.26531544|0.24949175
tiny_moe_right,general,0,layers.1.mlp.gate,5,0|1,0.29132596|0.24957344
tiny_moe_right,general,0,layers.1.mlp.gate,6,0|2,0.27590999|0.24917093
tiny_moe_right,general,0,layers.1.mlp.gate,7,3|0,0.26069063|0.25881904
tiny_moe_right,general,0,layers.1.mlp.gate,8,0|2,0.26531544|0.24949175
tiny_moe_right,general,0,layers.1.mlp.gate,9,3|0,0.26563108|0.25698316
tiny_moe_right,general,0,layers.1.mlp.gate,10,3|0,0.26563108|0.25698316
tiny_moe_right,general,0,layers.1.mlp.gate,11,0|2,0.26531544|0.24949175
tiny_moe_right,general,0,layers.1.mlp.gate,12,0|2,0.26531544|0.24949175
tiny_moe_right,general,0,layers.1.mlp.gate,13,0|1,0.29789442|0.25044152
tiny_moe_right,general,0,layers.1.mlp.gate,14,0|1,0.29132596|0.24957344
tiny_moe_right,general,0,layers.1.mlp.gate,15,0|2,0.27590999|0.24917093
tiny_moe_right,general,0,layers.1.mlp.gate,16,0|1,0.29789442|0.25044152
tiny_moe_right,code,1,layers.0.mlp.gate,0,2|1,0.28839347|0.27865264
tiny_moe_right,code,1,layers.0.mlp.gate,1,2|3,0.26838845|0.25455117
tiny_moe_right,code,1,layers.0.mlp.gate,2,2|1,0.28392783|0.27368763
tiny_moe_right,code,1,layers.0.mlp.gate,3,2|3,0.26468983|0.26246682
tiny_moe_right,code,1,layers.0.mlp.gate,4,3|2,0.27101439|0.26098555
tiny_moe_right,code,1,layers.0.mlp.gate,5,3|2,0.26666206|0.26283565
tiny_moe_right,code,1,layers.0.mlp.gate,6,2|3,0.26468983|0.26246682
tiny_moe_right,code,1,layers.0.mlp.gate,7,2|1,0.27383482|0.25975826
tiny_moe_right,code,1,layers.0.mlp.gate,8,3|2,0.26666206|0.26283565
tiny_moe_right,code,1,layers.0.mlp.gate,9,3|2,0.27101439|0.26098555
tiny_moe_right,code,1,layers.1.mlp.gate,0,0|1,0.30122176|0.25065950
tiny_moe_right,code,1,layers.1.mlp.gate,1,0|2,0.26531544|0.24949175
tiny_moe_right,code,1,layers.1.mlp.gate,2,0|1,0.29132596|0.24957344
tiny_moe_right,code,1,layers.1.mlp.gate,3,0|3,0.26082632|0.25587043
tiny_moe_right,code,1,layers.1.mlp.gate,4,3|0,0.26563108|0.25698316
tiny_moe_right,code,1,layers.1.mlp.gate,5,3|0,0.26069063|0.25881904
tiny_moe_right,code,1,layers.1.mlp.gate,6,0|3,0.26082632|0.25587043
tiny_moe_right,code,1,layers.1.mlp.gate,7,0|2,0.27308491|0.24947606
tiny_moe_right,code,1,layers.1.mlp.gate,8,3|0,0.26069063|0.25881904
tiny_moe_right,code,1,layers.1.mlp.gate,9,3|0,0.26563108|0.25698316
tiny_moe_right,math,2,layers.0.mlp.gate,0,2|3,0.26654255|0.25842968
tiny_moe_right,math,2,layers.0.mlp.gate,1,2|1,0.27383482|0.25975826
tiny_moe_right,math,2,layers.0.mlp.gate,2,2|1,0.27904898|0.26735100
tiny_moe_right,math,2,layers.0.mlp.gate,3,3|2,0.27101439|0.26098555
tiny_moe_right,math,2,layers.0.mlp.gate,4,3|2,0.27101439|0.26098555
tiny_moe_right,math,2,layers.0.mlp.gate,5,3|2,0.26666206|0.26283565
tiny_moe_right,math,2,layers.0.mlp.gate,6,3|2,0.27101439|0.26098555
tiny_moe_right,math,2,layers.0.mlp.gate,7,2|1,0.27383482|0.25975826
tiny_moe_right,math,2,layers.0.mlp.gate,8,3|2,0.27101439|0.26098555
tiny_moe_right,math,2,layers.1.mlp.gate,0,0|3,0.26299509|0.25118178
tiny_moe_right,math,2,layers.1.mlp.gate,1,0|2,0.27308491|0.24947606
tiny_moe_right,math,2,layers.1.mlp.gate,2,0|2,0.28185025|0.24814345
tiny_moe_right,math,2,layers.1.mlp.gate,3,3|0,0.26563108|0.25698316
tiny_moe_right,math,2,layers.1.mlp.gate,4,3|0,0.26563108|0.25698316
tiny_moe_right,math,2,layers.1.mlp.gate,5,3|0,0.26069063|0.25881904
tiny_moe_right,math,2,layers.1.mlp.gate,6,3|0,0.26563108|0.25698316
tiny_moe_right,math,2,layers.1.mlp.gate,7,0|2,0.27308491|0.24947606
tiny_moe_right,math,2,layers.1.mlp.gate,8,3|0,0.26563108|0.25698316
