model,category,prompt_idx,router,token_idx,top_experts,top_probs
tiny_moe_left,general,0,layers.0.mlp.gate,0,1|0,0.28053859|0.25592515
tiny_moe_left,general,0,layers.0.mlp.gate,1,0|1,0.28130436|0.24552520
tiny_moe_left,general,0,layers.0.mlp.gate,2,0|1,0.26914960|0.26527509
tiny_moe_left,general,0,layers.0.mlp.gate,3,0|1,0.27583125|0.25593501
tiny_moe_left,general,0,layers.0.mlp.gate,4,1|0,0.27022094|0.26512468
tiny_moe_left,general,0,layers.0.mlp.gate,5,0|1,0.27951768|0.24950288
tiny_moe_left,general,0,layers.0.mlp.gate,6,0|1,0.27273086|0.26050511
tiny_moe_left,general,0,layers.0.mlp.gate,7,1|0,0.27791408|0.25835308
tiny_moe_left,general,0,layers.0.mlp.gate,8,1|0,0.27022094|0.26512468
tiny_moe_left,general,0,layers.0.mlp.gate,9,1|0,0.28053859|0.25592515
tiny_moe_left,general,0,layers.0.mlp.gate,10,1|0,0.28053859|0.25592515
tiny_moe_left,general,0,layers.0.mlp.gate,11,1|0,0.27022094|0.26512468
tiny_moe_left,general,0,layers.0.mlp.gate,12,1|0,0.27022094|0.26512468
tiny_moe_left,general,0,layers.0.mlp.gate,13,0|1,0.28130436|0.24552520
tiny_moe_left,general,0,layers.0.mlp.gate,14,0|1,0.27951768|0.24950288
tiny_moe_left,general,0,layers.0.mlp.gate,15,0|1,0.27273086|0.26050511
tiny_moe_left,general,0,layers.0.mlp.gate,16,0|1,0.28130436|0.24552520
tiny_moe_left,general,0,layers.1.mlp.gate,0,1|2,0.29749277|0.28627062
tiny_moe_left,general,0,layers.1.mlp.gate,1,0|1,0.26005676|0.25894454
tiny_moe_left,general,0,layers.1.mlp.gate,2,1|2,0.27490023|0.26095495
tiny_moe_left,general,0,layers.1.mlp.gate,3,1|3,0.26513967|0.24592875
tiny_moe_left,general,0,layers.1.mlp.gate,4,1|2,0.28136319|0.26949975
tiny_moe_left,general,0,layers.1.mlp.gate,5,1|0,0.26060802|0.25469577
tiny_moe_left,general,0,layers.1.mlp.gate,6,1|2,0.26949239|0.25247559
tiny_moe_left,general,0,layers.1.mlp.gate,7,1|2,0.29305482|0.28216287
tiny_moe_left,general,0,layers.1.mlp.gate,8,1|2,0.28136319|0.26949975
tiny_moe_left,general,0,layers.1.mlp.gate,9,1|2,0.29749277|0.28627062
tiny_moe_left,general,0,layers.1.mlp.gate,10,1|2,0.29749277|0.28627062
tiny_moe_left,general,0,layers.1.mlp.gate,11,1|2,0.28136319|0.26949975
tiny_moe_left,general,0,layers.1.mlp.gate,12,1|2,0.28136319|0.26949975
tiny_moe_left,general,0,layers.1.mlp.gate,13,0|1,0.26005676|0.25894454
tiny_moe_left,general,0,layers.1.mlp.gate,14,1|0,0.26060802|0.25469577
tiny_moe_left,general,0,layers.1.mlp.gate,15,1|2,0.26949239|0.25247559
tiny_moe_left,general,0,layers.1.mlp.gate,16,0|1,0.26005676|0.25894454
tiny_moe_left,code,1,layers.0.mlp.gate,0,0|3,0.28199250|0.24547876
tiny_moe_left,code,1,layers.0.mlp.gate,1,1|0,0.27022094|0.26512468
tiny_moe_left,code,1,layers.0.mlp.gate,2,0|1,0.27951768|0.24950288
tiny_moe_left,code,1,layers.0.mlp.gate,3,1|0,0.27531746|0.26070005
tiny_moe_left,code,1,layers.0.mlp.gate,4,1|0,0.28053859|0.25592515
tiny_moe_left,code,1,layers.0.mlp.gate,5,1|0,0.27791408|0.25835308
tiny_moe_left,code,1,layers.0.mlp.gate,6,1|0,0.27531746|0.26070005
tiny_moe_left,code,1,layers.0.mlp.gate,7,0|1,0.27099818|0.26286659
tiny_moe_left,code,1,layers.0.mlp.gate,8,1|0,0.27791408|0.25835308
tiny_moe_left,code,1,layers.0.mlp.gate,9,1|0,0.28053859|0.25592515
tiny_moe_left,code,1,layers.1.mlp.gate,0,0|1,0.26234362|0.25852993
tiny_moe_left,code,1,layers.1.mlp.gate,1,1|2,0.28136319|0.26949975
tiny_moe_left,code,1,layers.1.mlp.gate,2,1|0,0.26060802|0.25469577
tiny_moe_left,code,1,layers.1.mlp.gate,3,1|2,0.28888890|0.27798572
tiny_moe_left,code,1,layers.1.mlp.gate,4,1|2,0.29749277|0.28627062
tiny_moe_left,code,1,layers.1.mlp.gate,5,1|2,0.29305482|0.28216287
tiny_moe_left,code,1,layers.1.mlp.gate,6,1|2,0.28888890|0.27798572
tiny_moe_left,code,1,layers.1.mlp.gate,7,1|2,0.27206463|0.25670007
tiny_moe_left,code,1,layers.1.mlp.gate,8,1|2,0.29305482|0.28216287
tiny_moe_left,code,1,layers.1.mlp.gate,9,1|2,0.29749277|0.28627062
tiny_moe_left,math,2,layers.0.mlp.gate,0,1|0,0.27275202|0.26295936
tiny_moe_left,math,2,layers.0.mlp.gate,1,0|1,0.27099818|0.26286659
tiny_moe_left,math,2,layers.0.mlp.gate,2,0|1,0.27583125|0.25593501
