group,tensor,layer,left_model,right_model,left_shape,right_shape,shape_match,left_dtype,right_dtype,left_shard,right_shard
router,model.layers.0.mlp.gate.weight,0.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00001-of-00016.safetensors,model-00001-of-00016.safetensors
router,model.layers.1.mlp.gate.weight,1.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00001-of-00016.safetensors,model-00001-of-00016.safetensors
router,model.layers.10.mlp.gate.weight,10.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00004-of-00016.safetensors,model-00004-of-00016.safetensors
router,model.layers.11.mlp.gate.weight,11.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00004-of-00016.safetensors,model-00004-of-00016.safetensors
router,model.layers.12.mlp.gate.weight,12.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00005-of-00016.safetensors,model-00005-of-00016.safetensors
router,model.layers.13.mlp.gate.weight,13.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00005-of-00016.safetensors,model-00005-of-00016.safetensors
router,model.layers.14.mlp.gate.weight,14.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00005-of-00016.safetensors,model-00005-of-00016.safetensors
router,model.layers.15.mlp.gate.weight,15.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00006-of-00016.safetensors,model-00006-of-00016.safetensors
router,model.layers.16.mlp.gate.weight,16.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00006-of-00016.safetensors,model-00006-of-00016.safetensors
router,model.layers.17.mlp.gate.weight,17.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00006-of-00016.safetensors,model-00006-of-00016.safetensors
router,model.layers.18.mlp.gate.weight,18.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00007-of-00016.safetensors,model-00007-of-00016.safetensors
router,model.layers.19.mlp.gate.weight,19.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00007-of-00016.safetensors,model-00007-of-00016.safetensors
router,model.layers.2.mlp.gate.weight,2.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00002-of-00016.safetensors,model-00002-of-00016.safetensors
router,model.layers.20.mlp.gate.weight,20.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00007-of-00016.safetensors,model-00007-of-00016.safetensors
router,model.layers.21.mlp.gate.weight,21.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00008-of-00016.safetensors,model-00008-of-00016.safetensors
router,model.layers.22.mlp.gate.weight,22.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00008-of-00016.safetensors,model-00008-of-00016.safetensors
router,model.layers.23.mlp.gate.weight,23.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00008-of-00016.safetensors,model-00008-of-00016.safetensors
router,model.layers.24.mlp.gate.weight,24.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00008-of-00016.safetensors,model-00008-of-00016.safetensors
router,model.layers.25.mlp.gate.weight,25.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00009-of-00016.safetensors,model-00009-of-00016.safetensors
router,model.layers.26.mlp.gate.weight,26.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00009-of-00016.safetensors,model-00009-of-00016.safetensors
router,model.layers.27.mlp.gate.weight,27.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00009-of-00016.safetensors,model-00009-of-00016.safetensors
router,model.layers.28.mlp.gate.weight,28.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00010-of-00016.safetensors,model-00010-of-00016.safetensors
router,model.layers.29.mlp.gate.weight,29.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00010-of-00016.safetensors,model-00010-of-00016.safetensors
router,model.layers.3.mlp.gate.weight,3.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00002-of-00016.safetensors,model-00002-of-00016.safetensors
router,model.layers.30.mlp.gate.weight,30.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00010-of-00016.safetensors,model-00010-of-00016.safetensors
router,model.layers.31.mlp.gate.weight,31.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00011-of-00016.safetensors,model-00011-of-00016.safetensors
router,model.layers.32.mlp.gate.weight,32.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00011-of-00016.safetensors,model-00011-of-00016.safetensors
router,model.layers.33.mlp.gate.weight,33.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00011-of-00016.safetensors,model-00011-of-00016.safetensors
router,model.layers.34.mlp.gate.weight,34.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00012-of-00016.safetensors,model-00012-of-00016.safetensors
router,model.layers.35.mlp.gate.weight,35.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00012-of-00016.safetensors,model-00012-of-00016.safetensors
