method,kind,alpha,beta,plane_residual,living_loss,object_loss,living_acc,object_acc,avg_loss,worst_loss,avg_acc,worst_acc
base,reference,0.0,0.0,0.0,0.8948865636189779,0.5369578742980957,0.74,0.83,0.7159222189585368,0.8948865636189779,0.7849999999999999,0.74
expert_living,reference,1.0,0.0,0.0,0.7880844243367513,2.838367767333984,0.7833333333333333,0.4,1.8132260958353679,2.838367767333984,0.5916666666666667,0.4
expert_object,reference,0.0,1.0,0.0,2.822285385131836,0.38270757675170897,0.40166666666666667,0.8775,1.6024964809417725,2.822285385131836,0.6395833333333333,0.40166666666666667
linear_average,merge,0.49999999982554094,0.500000000435375,8.27103514055165e-08,0.8195125452677409,0.4891605186462402,0.7633333333333333,0.8525,0.6543365319569905,0.8195125452677409,0.8079166666666666,0.7633333333333333
slerp_experts,merge,0.5358160664413543,0.5318014291601592,0.1698647746217548,0.8414146041870117,0.49279193878173827,0.7633333333333333,0.8525,0.667103271484375,0.8414146041870117,0.8079166666666666,0.7633333333333333
ties,merge,0.8001789131615669,0.6674939431183379,0.5218629798019443,0.9375500869750977,0.6402817726135254,0.755,0.825,0.7889159297943116,0.9375500869750977,0.79,0.755
dare_average,merge,0.4977051473784996,0.49937204303876653,0.7201330584912197,0.8015173721313477,0.5029570388793946,0.77,0.8575,0.6522372055053711,0.8015173721313477,0.81375,0.77
ties_dare,merge,0.8812841285758928,0.801766166656162,0.7681381121610589,1.0210590235392252,0.6237083053588868,0.7333333333333333,0.84,0.822383664449056,1.0210590235392252,0.7866666666666666,0.7333333333333333
task_arithmetic_best_lambda,merge,0.3499999942081591,0.3499999939300221,1.0684847722972162e-07,0.823311538696289,0.4870551872253418,0.7716666666666666,0.8475,0.6551833629608155,0.823311538696289,0.8095833333333333,0.7716666666666666
validation_grid_best,merge,0.34999999478093335,0.12499999928834182,1.7332028125086348e-07,0.7613803736368815,0.6562226867675781,0.7833333333333333,0.8,0.7088015302022298,0.7613803736368815,0.7916666666666667,0.7833333333333333
