layer,tensor_count,changed_tensors,numel,changed_numel,changed_numel_fraction,delta_norm,base_norm,relative_delta_norm,max_abs_delta
,3,0,622331904,0,0.0,0.0,593.5562858340605,0.0,0.0
0.0,393,285,623120640,457703680,0.734534615961365,134.1293261000099,484.47723049731036,0.27685372532849,0.5
1.0,393,294,623120640,471859456,0.7572521686972205,135.09481456283316,561.1197770441117,0.24075931751058713,0.49560546875
2.0,393,258,623120640,415236352,0.6663819577537987,147.51734358176665,570.8032826672281,0.2584381485902694,0.36328125
3.0,393,252,623120640,405799168,0.6512369225965617,149.0064931272182,579.0934898903281,0.2573099088981951,1.375
4.0,393,246,623120640,396361984,0.6360918874393248,161.79589183592472,575.8721438062372,0.28095801051693853,0.375
5.0,393,207,623120640,335020288,0.5376491589172845,127.39305084971296,576.4713025942573,0.22098767150491982,0.5625
6.0,393,210,623120640,339738880,0.5452216764959029,152.05083711808098,576.3329774147337,0.2638246345023287,0.245849609375
7.0,393,207,623120640,335020288,0.5376491589172845,140.7613346743541,579.2568438915521,0.2430033173690172,0.193359375
8.0,393,228,623120640,368050432,0.5906567819676138,166.57218382563275,575.7056485538407,0.2893356774317887,0.625
9.0,393,210,623120640,339738880,0.5452216764959029,155.98956112062766,571.6972257563172,0.2728534512551883,0.458984375
10.0,393,228,623120640,368050432,0.5906567819676138,161.0635909998154,569.0760725301761,0.28302646829572115,0.353515625
11.0,393,210,623120640,339738880,0.5452216764959029,156.5323144321916,569.0495869168045,0.2750767561053985,0.20361328125
12.0,393,228,623120640,368050432,0.5906567819676138,173.32601773077948,566.3165190642196,0.3060585589436506,0.3125
13.0,393,222,623120640,358613248,0.5755117468103769,159.49612506160685,564.3331119272542,0.2826276213297348,0.4375
14.0,393,204,623120640,330301696,0.5300766413386659,150.3418429939519,564.2299081067202,0.26645493412149246,0.72265625
15.0,393,231,623120640,372769024,0.5982292995462324,159.97516037851454,568.2647795309686,0.2815151776792396,0.509765625
16.0,393,201,623120640,325583104,0.5225041237600475,156.40868086264433,569.0250223922943,0.27487135838960325,1.1875
17.0,393,207,623120640,335020288,0.5376491589172845,173.91772950235244,566.7738791097579,0.3068555837039071,0.453125
18.0,393,216,623120640,349176064,0.5603667116531399,156.60684920641188,573.0193889692871,0.27330113469302825,0.3359375
19.0,393,189,623120640,306708736,0.49221405344557356,167.0908086867258,578.3037871831272,0.28893258593482873,0.462890625
20.0,393,219,623120640,353894656,0.5679392292317584,176.27156536469303,582.9986216298162,0.30235331409860405,0.46875
21.0,393,207,623120640,335020288,0.5376491589172845,165.4215271650109,584.602033037154,0.282964337817309,0.396484375
22.0,393,228,623120640,368050432,0.5906567819676138,190.62260200371892,582.090395694488,0.3274793802022595,0.326171875
23.0,393,225,623120640,363331840,0.5830842643889954,173.91800796727344,575.5921053770496,0.30215495720419244,0.3994140625
24.0,393,219,623120640,353894656,0.5679392292317584,172.07538005286045,578.6655167992692,0.2973658790049364,0.259765625
25.0,393,234,623120640,377487616,0.6058018171248508,171.46104320768464,581.7427690201666,0.29473687055273184,0.2891845703125
26.0,393,213,623120640,344457472,0.5527941940745215,175.18607817933488,588.3087731898548,0.29777913599598843,0.53125
27.0,393,204,623120640,330301696,0.5300766413386659,153.0688144610729,590.751284800911,0.2591087288327415,0.18359375
28.0,393,213,623120640,344457472,0.5527941940745215,152.2323457382378,588.096575270023,0.2588560317127178,0.65625
29.0,393,213,623120640,344457472,0.5527941940745215,160.9551522151628,589.1473318327529,0.2732001717031534,0.2607421875
30.0,393,210,623120640,339738880,0.5452216764959029,168.12592484045206,592.2935107806794,0.28385576032877974,0.279052734375
31.0,393,186,623120640,301990144,0.4846415358669551,160.57716739844503,597.8105916097982,0.2686087694867351,0.256103515625
32.0,393,225,623120640,363331840,0.5830842643889954,164.3828279531401,601.763806833277,0.2731683529094057,0.8125
33.0,393,219,623120640,353894656,0.5679392292317584,152.25421278528498,599.7329051168182,0.2538700336204303,0.3154296875
34.0,393,216,623120640,349176064,0.5603667116531399,164.5685214532166,598.2708775455804,0.275073595640093,0.2154541015625
35.0,393,237,623120640,382206208,0.6133743347034692,151.57570088245885,600.2657920415554,0.2525143076485117,0.4332275390625
36.0,393,231,623120640,372769024,0.5982292995462324,167.8087832046807,603.3425041063762,0.27813187710556875,0.375
37.0,393,219,623120640,353894656,0.5679392292317584,160.0649727987269,607.1224062956302,0.2636453063482974,0.5234375
38.0,393,201,623120640,325583104,0.5225041237600475,125.4753241999537,610.3746469384555,0.20557099615673496,0.203125
39.0,393,213,623120640,344457472,0.5527941940745215,143.03683238510197,615.2276285716415,0.23249416271695567,0.2806396484375
40.0,393,210,623120640,339738880,0.5452216764959029,142.22651083593522,621.2178076280172,0.2289478973228338,1.6875
41.0,393,225,623120640,363331840,0.5830842643889954,146.3659204007724,627.5446647219688,0.23323586133206828,0.466796875
42.0,393,246,623120640,396361984,0.6360918874393248,137.95611269058796,634.5225239356384,0.2174172034664939,0.25
43.0,393,234,623120640,377487616,0.6058018171248508,158.80522965308268,638.3708746160373,0.24876640831804817,0.3369140625
44.0,393,210,623120640,339738880,0.5452216764959029,149.42350925715442,641.0560942578328,0.23308960104364326,0.4677734375
45.0,393,189,623120640,306708736,0.49221405344557356,151.04179765084908,645.7194839456383,0.23391240531866148,0.252197265625
46.0,393,222,623120640,358613248,0.5755117468103769,168.87799222641155,649.0284195718446,0.26020122868859596,0.34375
47.0,393,240,623120640,386924800,0.6209468522820878,141.10787554239803,648.1137323943252,0.21772085436471697,0.5859375
