candidate,method,rule,audit_dir,status,delta_audit_available,tensor_count,changed_tensors,changed_numel_fraction,total_relative_delta_norm,total_delta_norm,max_abs_delta,routed_relative_delta_norm,routed_changed_tensors,routed_changed_numel_fraction,routed_max_tensor_relative_delta,routed_p99_tensor_relative_delta,routed_p95_tensor_relative_delta,attention_relative_delta_norm,attention_changed_tensors,attention_changed_numel_fraction,attention_max_tensor_relative_delta,router_changed_tensors,router_tensors,routed_tensors_gt_1_0,routed_tensors_gt_0_75,routed_tensors_gt_0_6505,routed_tensors_gt_0_65,routed_tensors_gt_0_5
route_guarded,qwen3_moe_unified_route_guarded_candidate,freeze_router_route_conditioned_experts_small_attention,results/qwen3_moe_materialized_delta_audit,passed,True,18867,10641,0.5630084470605328,0.28563749280137124,1180.9302046416317,1.6875,0.2931251336290252,10353,0.5616861979166666,1.327236932104148,0.9981719621107763,0.7232101779615792,0.188546444938151,288,1.0,0.2945318646495786,0,48,182,839,1156,1156,1768
audit_gated,qwen3_moe_audit_gated_candidate,route_conditioned_experts_with_delta_cap,results/qwen3_moe_audit_gated_delta_audit,passed,True,18867,10641,0.5630084470605328,0.26384362718220206,1090.8263673156441,1.6875,0.2703826752777784,10353,0.5616861979166666,0.7500417154655807,0.7499994472057022,0.6993373619740993,0.188546444938151,288,1.0,0.2945318646495786,0,48,0,164,1146,1146,1768
trust_region,qwen3_moe_trust_region_candidate,route_load_category_fragility_trust_region,results/qwen3_moe_trust_region_delta_audit,passed,True,18867,10641,0.5630084470605328,0.2486605810368496,1028.0540834124845,1.6875,0.2545180628201444,10353,0.5616861979166666,0.7500218768922794,0.6931072832360479,0.5968140763150682,0.188546444938151,288,1.0,0.2945318646495786,0,48,0,14,354,366,1759
expert_only,qwen3_moe_expert_only_trust_region_candidate,trust_region_experts_freeze_attention,results/qwen3_moe_expert_only_delta_audit,passed,True,18867,10353,0.5333353724709579,0.24603305394882163,1017.1909223080561,0.59765625,0.2545180628201444,10353,0.5616861979166666,0.7500218768922794,0.6931072832360479,0.5968140763150682,0.0,0,0.0,0.0,0,48,0,14,354,366,1759
tail_trimmed,qwen3_moe_tail_trimmed_expert_only_candidate,expert_only_second_stage_tail_cap_0_65,results/qwen3_moe_tail_trimmed_delta_audit,passed,True,18867,10353,0.5333353724709579,0.24314531545736037,1005.2519517820674,0.59765625,0.2515307341056426,10353,0.5616861979166666,0.650082822181077,0.6471031727698123,0.5952778556333913,0.0,0,0.0,0.0,0,48,0,0,0,80,1759
searched_no_gt065,qwen3_moe_searched_no_gt065_max_retention_candidate,searched_source_route_expert_weights_uniform_cap_0_65,results/qwen3_moe_searched_no_gt065_delta_audit,passed,True,18867,10353,0.5333353724709579,0.2475948491291486,1023.6479566554145,0.626953125,0.2561337200557829,10353,0.5616861979166666,0.6500814121910361,0.6500010462502217,0.6254637631077893,0.0,0,0.0,0.0,0,48,0,0,0,245,1768
layer_chunk,qwen3_moe_layer_chunk_candidate,importance_guided_layer_chunk_coefficients,results/qwen3_moe_layer_chunk_delta_audit,passed,True,18867,10353,0.5333353724709579,0.24345430032224707,1006.5294085897966,0.615234375,0.2518503750156321,10353,0.5616861979166666,0.6500325043027619,0.6440011483206142,0.6108711280988631,0.0,0,0.0,0.0,0,48,0,0,0,89,1734
unified_mechanism,qwen3_moe_unified_mechanism_candidate,unified_router_evidence_geometry_risk_cap,results/qwen3_moe_unified_mechanism_delta_audit,passed,True,18867,10353,0.5333353724709579,0.2403784248994999,993.812610956501,0.59375,0.2486684210403075,10353,0.5616861979166666,0.6438415286791134,0.6131508783976106,0.5781314771057103,0.0,0,0.0,0.0,0,48,0,0,0,0,1767
mechanistic_unified,qwen3_moe_mechanistic_unified_candidate,benefit_curvature_interference_scale_law,results/qwen3_moe_mechanistic_unified_delta_audit,pending_delta_audit,False,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0
subspace_scaled,qwen3_moe_subspace_scaled_candidate,unified_plus_uncovered_subspace_conflict_shrink,results/qwen3_moe_subspace_scaled_delta_audit,passed,True,18867,10353,0.5333353724709579,0.2395294198409091,990.302512517566,0.57421875,0.2477901361132669,10353,0.5616861979166666,0.6234276715724305,0.6015058729794723,0.5803040143897936,0.0,0,0.0,0.0,0,48,0,0,0,0,1761
