candidate,group,tensor_count,changed_tensors,numel,changed_numel,changed_numel_fraction,delta_norm,base_norm,relative_delta_norm,max_abs_delta
route_guarded,routed_expert_ffn,18432,10353,28991029248,16283860992,0.5616861979166666,1171.4855194323814,3996.5372635531007,0.2931251336290252,0.744140625
route_guarded,attention,288,288,905981952,905981952,1.0,149.05645237684138,790.5556237124302,0.188546444938151,1.6875
route_guarded,embedding_or_head,2,0,622329856,0,0.0,0.0,579.1479665746052,0.0,0.0
route_guarded,norm,97,0,198656,0,0.0,0.0,383.5276331405521,0.0,0.0
route_guarded,router,48,0,12582912,0,0.0,0.0,114.87305499434108,0.0,0.0
audit_gated,routed_expert_ffn,18432,10353,28991029248,16283860992,0.5616861979166666,1080.5944371668193,3996.5372635531007,0.2703826752777784,0.72265625
audit_gated,attention,288,288,905981952,905981952,1.0,149.05645237684138,790.5556237124302,0.188546444938151,1.6875
audit_gated,embedding_or_head,2,0,622329856,0,0.0,0.0,579.1479665746052,0.0,0.0
audit_gated,norm,97,0,198656,0,0.0,0.0,383.5276331405521,0.0,0.0
audit_gated,router,48,0,12582912,0,0.0,0.0,114.87305499434108,0.0,0.0
trust_region,routed_expert_ffn,18432,10353,28991029248,16283860992,0.5616861979166666,1017.190922308056,3996.5372635531007,0.2545180628201444,0.59765625
trust_region,attention,288,288,905981952,905981952,1.0,149.05645237684138,790.5556237124302,0.188546444938151,1.6875
trust_region,embedding_or_head,2,0,622329856,0,0.0,0.0,579.1479665746052,0.0,0.0
trust_region,norm,97,0,198656,0,0.0,0.0,383.5276331405521,0.0,0.0
trust_region,router,48,0,12582912,0,0.0,0.0,114.87305499434108,0.0,0.0
expert_only,routed_expert_ffn,18432,10353,28991029248,16283860992,0.5616861979166666,1017.190922308056,3996.5372635531007,0.2545180628201444,0.59765625
expert_only,attention,288,0,905981952,0,0.0,0.0,790.5556237124302,0.0,0.0
expert_only,embedding_or_head,2,0,622329856,0,0.0,0.0,579.1479665746052,0.0,0.0
expert_only,norm,97,0,198656,0,0.0,0.0,383.5276331405521,0.0,0.0
expert_only,router,48,0,12582912,0,0.0,0.0,114.87305499434108,0.0,0.0
