layer,route_guarded_relative_delta_norm,trust_region_relative_delta_norm,expert_only_relative_delta_norm,route_to_trust_reduction,trust_to_expert_only_reduction
22,0.3536107557030083,0.3103366454824745,0.3079834191697174,0.04327411022053379,0.0023532263127571396
17,0.3468300537451158,0.2911483878563138,0.287533639076152,0.05568166588880197,0.003614748780161825
12,0.3402511118591397,0.2881706458151036,0.284350848653104,0.0520804660440361,0.003819797161999594
23,0.3357040046167494,0.2837393186856716,0.2810388219856966,0.05196468593107778,0.002700496699975019
20,0.3397887787184432,0.2804359307980495,0.2776933735381983,0.05935284792039369,0.0027425572598512304
26,0.3425549645603962,0.279484864243181,0.2772625800736952,0.06307010031721522,0.0022222841694857776
24,0.3263049785632597,0.2773274667773039,0.2745647119784266,0.048977511785955774,0.0027627547988773316
8,0.3128747155233154,0.276731364328918,0.2734594958576116,0.03614335119439743,0.003271868471306394
25,0.3158693175007592,0.2727545390131438,0.2699399272640423,0.04311477848761541,0.00281461174910147
15,0.3097682567044132,0.2704016262961274,0.2667934297597258,0.03936663040828581,0.0036081965364015978
10,0.302037191424864,0.2687784414359351,0.2652901271576641,0.033258749988928915,0.0034883142782710097
0,0.289558846559059,0.266346442618067,0.2633832671715561,0.023212403940992,0.002963175446510924
11,0.3126492774574339,0.2657922008774755,0.2618288529756741,0.04685707657995841,0.003963347901801417
19,0.3131954126877523,0.265083419033378,0.2618969367280893,0.0481119936543743,0.0031864823052887292
30,0.3109401714098647,0.2648087844163261,0.2625830090251189,0.04613138699353858,0.0022257753912072187
13,0.319364812247253,0.263030361563663,0.2584901467817311,0.05633445068359,0.004540214781931895
36,0.2947457323593921,0.2626480924077133,0.2609851879887733,0.0320976399516788,0.0016629044189400144
21,0.3219157239279377,0.2616190140439458,0.2585355060502438,0.06029670988399194,0.003083507993701995
16,0.3017050392011015,0.2601764850935971,0.2563273085551172,0.04152855410750439,0.0038491765384798815
4,0.3098412082601441,0.2599308031751469,0.2565329841691247,0.04991040508499722,0.003397819006022207
32,0.293301694760919,0.2577635709454256,0.2556864977499604,0.03553812381549337,0.00207707319546524
18,0.314200708655991,0.2569374898543594,0.2533001746800488,0.0572632188016316,0.003637315174310596
9,0.3081109058803722,0.2547882382140257,0.2510106294252729,0.053322667666346524,0.003777608788752773
14,0.2829556460176065,0.2542868777938083,0.2504457273473321,0.028668768223798158,0.0038411504464762047
6,0.296716631415736,0.2535913147537646,0.2505336761447579,0.04312531666197139,0.0030576386090067076
29,0.3036616728234589,0.2532722007339074,0.2503912809271966,0.050389472089551524,0.002880919806710791
34,0.3074577852849187,0.2509321152546334,0.2490949570976926,0.0565256700302853,0.0018371581569407713
31,0.2881497981508511,0.2501994186804694,0.2480333774919224,0.03795037947038171,0.0021660411885470188
27,0.2844868148423492,0.2483452424690914,0.2458497997926055,0.036141572373257824,0.0024954426764859095
37,0.281055820007161,0.2477329945454844,0.2462659446490978,0.033322825461676614,0.0014670498963866019
2,0.2754676281630078,0.2458847861913146,0.242363937339773,0.029582841971693197,0.003520848851541608
28,0.2787438158941525,0.2453710238043793,0.2426887493271234,0.03337279208977317,0.0026822744772559137
46,0.265264018775568,0.2435389987394345,0.2420077903721443,0.021725020036133497,0.0015312083672902044
3,0.2762901493970891,0.2409843225580093,0.2377323767466088,0.03530582683907982,0.0032519458114005084
33,0.2777979760241563,0.2383202063958234,0.2363663359929433,0.03947776962833288,0.0019538704028801146
35,0.2638827005370062,0.2368744115017218,0.2350778386496237,0.027008289035284377,0.0017965728520981106
1,0.2442089572926088,0.2351550129849219,0.2317631905688396,0.009053944307686912,0.0033918224160822963
43,0.2520587632020399,0.2350822236582862,0.2336661389568859,0.016976539543753694,0.0014160847014003108
7,0.2543277117248565,0.2315978613294379,0.2282342004456665,0.02272985039541861,0.0033636608837714077
44,0.2367647440848172,0.2229181359779717,0.2210715353397195,0.013846608106845515,0.0018466006382522049
39,0.2385406800706791,0.2221516635172174,0.2207956270625261,0.0163890165534617,0.0013560364546913173
5,0.2318358002192588,0.2178330298908724,0.2135507729864486,0.014002770328386399,0.004282256904423798
41,0.2376064621661922,0.2155711559072342,0.2140594385248078,0.022035306258958,0.0015117173824263919
45,0.2473258508975223,0.2141859096799603,0.2128812278529322,0.033139941217562,0.0013046818270280869
40,0.2327892258917971,0.2104730100194575,0.2088016140171568,0.02231621587233959,0.0016713960023007068
47,0.2272966820891719,0.2102964105894308,0.2084749654697147,0.017000271499741093,0.001821445119716103
42,0.2249452523092077,0.2089340187771663,0.2074290755284691,0.016011233532041397,0.0015049432486972103
38,0.2108507890908185,0.1995272002750438,0.1979686708252066,0.011323588815774693,0.0015585294498371982
