candidate,method,structural_safety_score,structural_risk_score,structurally_dominated,dominating_candidates,nearest_structural_candidate,nearest_structural_distance,total_relative_delta_norm,routed_relative_delta_norm,routed_max_tensor_relative_delta,routed_tensors_gt_0_65,attention_changed_tensors,router_changed_tensors
subspace_scaled,qwen3_moe_subspace_scaled_candidate,0.9892989752314326,0.010701024768567335,False,,unified_mechanism,0.015131454328788577,0.2395294198409091,0.2477901361132669,0.6234276715724305,0,0,0
mechanistic_unified,qwen3_moe_mechanistic_unified_candidate,0.988643592739873,0.011356407260127013,False,,unified_mechanism,0.02086161786719071,0.23822553655294262,0.2464412854475924,0.6490630862881142,0,0,0
unified_mechanism,qwen3_moe_unified_mechanism_candidate,0.9741675209026441,0.025832479097355913,True,subspace_scaled,subspace_scaled,0.015131454328788577,0.2403784248994999,0.2486684210403075,0.6438415286791134,0,0,0
tail_trimmed,qwen3_moe_tail_trimmed_expert_only_candidate,0.9314648784066032,0.06853512159339681,True,"unified_mechanism,mechanistic_unified,subspace_scaled",layer_chunk,0.004419975697408472,0.24314531545736037,0.2515307341056426,0.650082822181077,80,0,0
layer_chunk,qwen3_moe_layer_chunk_candidate,0.9289446385321238,0.07105536146787622,True,"unified_mechanism,mechanistic_unified,subspace_scaled",tail_trimmed,0.004419975697408472,0.24345430032224707,0.2518503750156321,0.6500325043027619,89,0,0
searched_no_gt065,qwen3_moe_searched_no_gt065_max_retention_candidate,0.87694299312927,0.12305700687073001,True,"layer_chunk,unified_mechanism,mechanistic_unified,subspace_scaled",layer_chunk,0.0520016454028538,0.2475948491291486,0.2561337200557829,0.6500814121910361,245,0,0
expert_only,qwen3_moe_expert_only_trust_region_candidate,0.8394373152790531,0.16056268472094698,True,"tail_trimmed,layer_chunk,unified_mechanism,mechanistic_unified,subspace_scaled",searched_no_gt065,0.06314111479821642,0.24603305394882163,0.2545180628201444,0.7500218768922794,366,0,0
trust_region,qwen3_moe_trust_region_candidate,0.7483534988920628,0.2516465011079371,True,"expert_only,tail_trimmed,layer_chunk,unified_mechanism,mechanistic_unified,subspace_scaled",expert_only,0.09108381638699015,0.2486605810368496,0.2545180628201444,0.7500218768922794,366,288,0
audit_gated,qwen3_moe_audit_gated_candidate,0.5034980329099124,0.49650196709008765,True,"trust_region,expert_only,tail_trimmed,searched_no_gt065,layer_chunk,unified_mechanism,mechanistic_unified,subspace_scaled",trust_region,0.2448554659821506,0.26384362718220206,0.2703826752777784,0.7500417154655807,1146,288,0
route_guarded,qwen3_moe_unified_route_guarded_candidate,0.019999999999999907,0.9800000000000001,True,"audit_gated,trust_region,expert_only,tail_trimmed,searched_no_gt065,layer_chunk,unified_mechanism,mechanistic_unified,subspace_scaled",audit_gated,0.48349803290991233,0.28563749280137124,0.2931251336290252,1.327236932104148,1156,288,0
