from_candidate,to_candidate,from_method,to_method,structural_distance,max_normalized_component_distance,from_structural_safety_score,to_structural_safety_score,to_minus_from_structural_safety,total_relative_delta_norm_delta,routed_relative_delta_norm_delta,routed_max_tensor_relative_delta_delta,routed_gt_0_65_delta,attention_changed_delta,router_changed_delta
layer_chunk,tail_trimmed,qwen3_moe_layer_chunk_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,0.004419975697408472,0.007820241089909086,0.9289446385321238,0.9314648784066032,0.0025202398744793575,-0.0003089848648867022,-0.0003196409099895381,5.0317878315109255e-05,-9,0,0
tail_trimmed,layer_chunk,qwen3_moe_tail_trimmed_expert_only_candidate,qwen3_moe_layer_chunk_candidate,0.004419975697408472,0.007820241089909086,0.9314648784066032,0.9289446385321238,-0.0025202398744793575,0.0003089848648867022,0.0003196409099895381,-5.0317878315109255e-05,9,0,0
subspace_scaled,unified_mechanism,qwen3_moe_subspace_scaled_candidate,qwen3_moe_unified_mechanism_candidate,0.015131454328788577,0.02935719925956053,0.9892989752314326,0.9741675209026441,-0.015131454328788485,0.0008490050585907849,0.0008782849270406179,0.020413857106682864,0,0,0
unified_mechanism,subspace_scaled,qwen3_moe_unified_mechanism_candidate,qwen3_moe_subspace_scaled_candidate,0.015131454328788577,0.02935719925956053,0.9741675209026441,0.9892989752314326,0.015131454328788485,-0.0008490050585907849,-0.0008782849270406179,-0.020413857106682864,0,0,0
mechanistic_unified,unified_mechanism,qwen3_moe_mechanistic_unified_candidate,qwen3_moe_unified_mechanism_candidate,0.02086161786719071,0.04770676967458948,0.988643592739873,0.9741675209026441,-0.014476071837228877,0.0021528883465572746,0.002227135592715118,-0.005221557609000782,0,0,0
unified_mechanism,mechanistic_unified,qwen3_moe_unified_mechanism_candidate,qwen3_moe_mechanistic_unified_candidate,0.02086161786719071,0.04770676967458948,0.9741675209026441,0.988643592739873,0.014476071837228877,-0.0021528883465572746,-0.002227135592715118,0.005221557609000782,0,0,0
mechanistic_unified,subspace_scaled,qwen3_moe_mechanistic_unified_candidate,qwen3_moe_subspace_scaled_candidate,0.022057432028694347,0.046071647293069916,0.988643592739873,0.9892989752314326,0.0006553824915596085,0.0013038832879664897,0.0013488506656745003,-0.025635414715683646,0,0,0
subspace_scaled,mechanistic_unified,qwen3_moe_subspace_scaled_candidate,qwen3_moe_mechanistic_unified_candidate,0.022057432028694347,0.046071647293069916,0.9892989752314326,0.988643592739873,-0.0006553824915596085,-0.0013038832879664897,-0.0013488506656745003,0.025635414715683646,0,0,0
tail_trimmed,unified_mechanism,qwen3_moe_tail_trimmed_expert_only_candidate,qwen3_moe_unified_mechanism_candidate,0.0427026424960409,0.08559414404835312,0.9314648784066032,0.9741675209026441,0.04270264249604094,-0.002766890557860474,-0.002862313065335076,-0.006241293501963674,-80,0,0
unified_mechanism,tail_trimmed,qwen3_moe_unified_mechanism_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,0.0427026424960409,0.08559414404835312,0.9741675209026441,0.9314648784066032,-0.04270264249604094,0.002766890557860474,0.002862313065335076,0.006241293501963674,80,0,0
layer_chunk,unified_mechanism,qwen3_moe_layer_chunk_candidate,qwen3_moe_unified_mechanism_candidate,0.045222882370520315,0.07777390295844404,0.9289446385321238,0.9741675209026441,0.0452228823705203,-0.0030758754227471763,-0.003181953975324614,-0.006190975623648565,-89,0,0
unified_mechanism,layer_chunk,qwen3_moe_unified_mechanism_candidate,qwen3_moe_layer_chunk_candidate,0.045222882370520315,0.07777390295844404,0.9741675209026441,0.9289446385321238,-0.0452228823705203,0.0030758754227471763,0.003181953975324614,0.006190975623648565,89,0,0
layer_chunk,searched_no_gt065,qwen3_moe_layer_chunk_candidate,qwen3_moe_searched_no_gt065_max_retention_candidate,0.0520016454028538,0.13494809688581316,0.9289446385321238,0.87694299312927,-0.05200164540285379,0.004140548806901512,0.0042833450401507656,4.890788827416337e-05,156,0,0
searched_no_gt065,layer_chunk,qwen3_moe_searched_no_gt065_max_retention_candidate,qwen3_moe_layer_chunk_candidate,0.0520016454028538,0.13494809688581316,0.87694299312927,0.9289446385321238,0.05200164540285379,-0.004140548806901512,-0.0042833450401507656,-4.890788827416337e-05,-156,0,0
searched_no_gt065,tail_trimmed,qwen3_moe_searched_no_gt065_max_retention_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,0.05452252635558893,0.14273356401384082,0.87694299312927,0.9314648784066032,0.05452188527733315,-0.004449533671788214,-0.004602985950140304,1.4099900409458854e-06,-165,0,0
tail_trimmed,searched_no_gt065,qwen3_moe_tail_trimmed_expert_only_candidate,qwen3_moe_searched_no_gt065_max_retention_candidate,0.05452252635558893,0.14273356401384082,0.9314648784066032,0.87694299312927,-0.05452188527733315,0.004449533671788214,0.004602985950140304,-1.4099900409458854e-06,165,0,0
mechanistic_unified,tail_trimmed,qwen3_moe_mechanistic_unified_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,0.0571787143332698,0.10901947582106951,0.988643592739873,0.9314648784066032,-0.05717871433326982,0.004919778904417749,0.005089448658050194,0.001019735892962892,80,0,0
tail_trimmed,mechanistic_unified,qwen3_moe_tail_trimmed_expert_only_candidate,qwen3_moe_mechanistic_unified_candidate,0.0571787143332698,0.10901947582106951,0.9314648784066032,0.988643592739873,0.05717871433326982,-0.004919778904417749,-0.005089448658050194,-0.001019735892962892,-80,0,0
subspace_scaled,tail_trimmed,qwen3_moe_subspace_scaled_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,0.057834096824829484,0.11495134330791365,0.9892989752314326,0.9314648784066032,-0.05783409682482943,0.003615895616451259,0.003740597992375694,0.02665515060864654,80,0,0
tail_trimmed,subspace_scaled,qwen3_moe_tail_trimmed_expert_only_candidate,qwen3_moe_subspace_scaled_candidate,0.057834096824829484,0.11495134330791365,0.9314648784066032,0.9892989752314326,0.05783409682482943,-0.003615895616451259,-0.003740597992375694,-0.02665515060864654,-80,0,0
layer_chunk,mechanistic_unified,qwen3_moe_layer_chunk_candidate,qwen3_moe_mechanistic_unified_candidate,0.059698954207749205,0.11586640302268494,0.9289446385321238,0.988643592739873,0.05969895420774918,-0.005228763769304451,-0.005409089568039732,-0.0009694180146477827,-89,0,0
mechanistic_unified,layer_chunk,qwen3_moe_mechanistic_unified_candidate,qwen3_moe_layer_chunk_candidate,0.059698954207749205,0.11586640302268494,0.988643592739873,0.9289446385321238,-0.05969895420774918,0.005228763769304451,0.005409089568039732,0.0009694180146477827,89,0,0
layer_chunk,subspace_scaled,qwen3_moe_layer_chunk_candidate,qwen3_moe_subspace_scaled_candidate,0.06035433669930889,0.10713110221800456,0.9289446385321238,0.9892989752314326,0.060354336699308786,-0.003924880481337961,-0.004060238902365232,-0.02660483273033143,-89,0,0
subspace_scaled,layer_chunk,qwen3_moe_subspace_scaled_candidate,qwen3_moe_layer_chunk_candidate,0.06035433669930889,0.10713110221800456,0.9892989752314326,0.9289446385321238,-0.060354336699308786,0.003924880481337961,0.004060238902365232,0.02660483273033143,89,0,0
expert_only,searched_no_gt065,qwen3_moe_expert_only_trust_region_candidate,qwen3_moe_searched_no_gt065_max_retention_candidate,0.06314111479821642,0.14199936020412654,0.8394373152790531,0.87694299312927,0.03750567785021697,0.0015617951803269525,0.0016156572356385013,-0.09994046470124329,-121,0,0
searched_no_gt065,expert_only,qwen3_moe_searched_no_gt065_max_retention_candidate,qwen3_moe_expert_only_trust_region_candidate,0.06314111479821642,0.14199936020412654,0.87694299312927,0.8394373152790531,-0.03750567785021697,-0.0015617951803269525,-0.0016156572356385013,0.09994046470124329,121,0,0
expert_only,layer_chunk,qwen3_moe_expert_only_trust_region_candidate,qwen3_moe_layer_chunk_candidate,0.08950732325307074,0.23961937716262977,0.8394373152790531,0.9289446385321238,0.08950732325307076,-0.002578753626574559,-0.0026676878045122643,-0.09998937258951746,-277,0,0
layer_chunk,expert_only,qwen3_moe_layer_chunk_candidate,qwen3_moe_expert_only_trust_region_candidate,0.08950732325307074,0.23961937716262977,0.9289446385321238,0.8394373152790531,-0.08950732325307076,0.002578753626574559,0.0026676878045122643,0.09998937258951746,277,0,0
expert_only,trust_region,qwen3_moe_expert_only_trust_region_candidate,qwen3_moe_trust_region_candidate,0.09108381638699015,1.0,0.8394373152790531,0.7483534988920628,-0.09108381638699026,0.0026275270880279644,0.0,0.0,0,288,0
trust_region,expert_only,qwen3_moe_trust_region_candidate,qwen3_moe_expert_only_trust_region_candidate,0.09108381638699015,1.0,0.7483534988920628,0.8394373152790531,0.09108381638699026,-0.0026275270880279644,0.0,0.0,0,-288,0
expert_only,tail_trimmed,qwen3_moe_expert_only_trust_region_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,0.09202756312755016,0.24740484429065746,0.8394373152790531,0.9314648784066032,0.09202756312755012,-0.0028877384914612614,-0.0029873287145018024,-0.09993905471120235,-286,0,0
tail_trimmed,expert_only,qwen3_moe_tail_trimmed_expert_only_candidate,qwen3_moe_expert_only_trust_region_candidate,0.09202756312755016,0.24740484429065746,0.9314648784066032,0.8394373152790531,-0.09202756312755012,0.0028877384914612614,0.0029873287145018024,0.09993905471120235,286,0,0
