candidate,threshold,routed_tensor_count
route_guarded,1.0,182
route_guarded,0.75,839
route_guarded,0.6505,1156
route_guarded,0.65,1156
route_guarded,0.5,1768
audit_gated,1.0,0
audit_gated,0.75,164
audit_gated,0.6505,1146
audit_gated,0.65,1146
audit_gated,0.5,1768
trust_region,1.0,0
trust_region,0.75,14
trust_region,0.6505,354
trust_region,0.65,366
trust_region,0.5,1759
expert_only,1.0,0
expert_only,0.75,14
expert_only,0.6505,354
expert_only,0.65,366
expert_only,0.5,1759
tail_trimmed,1.0,0
tail_trimmed,0.75,0
tail_trimmed,0.6505,0
tail_trimmed,0.65,80
tail_trimmed,0.5,1759
searched_no_gt065,1.0,0
searched_no_gt065,0.75,0
searched_no_gt065,0.6505,0
searched_no_gt065,0.65,245
searched_no_gt065,0.5,1768
layer_chunk,1.0,0
layer_chunk,0.75,0
layer_chunk,0.6505,0
layer_chunk,0.65,89
layer_chunk,0.5,1734
unified_mechanism,1.0,0
unified_mechanism,0.75,0
unified_mechanism,0.6505,0
unified_mechanism,0.65,0
unified_mechanism,0.5,1767
mechanistic_unified,1.0,0
mechanistic_unified,0.75,0
mechanistic_unified,0.6505,0
mechanistic_unified,0.65,20
mechanistic_unified,0.5,1736
subspace_scaled,1.0,0
subspace_scaled,0.75,0
subspace_scaled,0.6505,0
subspace_scaled,0.65,0
subspace_scaled,0.5,1761
