layer_id,expert_count,route_observed_expert_count,mean_combined_relative_delta,p95_combined_relative_delta,max_combined_relative_delta,mean_combined_cosine,min_combined_cosine,mean_internal_geometry_risk_score,max_internal_geometry_risk_score,mean_route_geometry_risk_score,max_route_geometry_risk_score,route_mass_weighted_internal_geometry_risk_score,route_mass_weighted_route_geometry_risk_score,high_internal_geometry_risk_experts,high_route_geometry_risk_experts,route_mass_sum
17,128,108,1.1951829309293363,1.3298795093672091,1.3599335647514041,0.22394462354970915,0.0007141314827687833,0.7199726034104699,0.9540191337320139,0.5796511399352481,0.9220063040511006,0.7227030683035067,0.7143063688618061,62,15,11.999999999999977
15,128,111,1.1836108686266429,1.3172844634881244,1.528765220845054,0.24667274827392782,0.0004265315786934692,0.6888908777406618,0.8756413170622656,0.5713710889313554,0.8762999672120454,0.6641020803223078,0.7027010561538566,49,13,11.999999999999979
16,128,107,1.1840828877622829,1.3307876201201654,1.372577986903875,0.24424321130368493,0.0012102081138144604,0.6944936126990795,0.9047389251635888,0.5621440395388716,0.8795326921017765,0.6748544962578408,0.6880713665365686,51,10,11.999999999999975
14,128,107,1.1887159083306127,1.3157631563628338,1.342026515972503,0.23292497263069004,-1.2143571928280789e-05,0.7058095534269639,0.9830475992479997,0.5749528910348409,0.8696334349784927,0.6614873498852065,0.6869898245948459,54,12,11.999999999999975
13,128,105,1.1776062491662946,1.3021644292116523,1.324454897452012,0.23656359502855337,0.0006677764885490141,0.6978803843725108,0.8810801041335706,0.5573794490707571,0.9296728441617095,0.6682971124752701,0.6759906554558243,55,9,11.999999999999975
12,128,119,1.1907408549779523,1.3114613431918638,1.4517834102942175,0.22254713642100954,0.00039616666924106793,0.7090597364256138,0.9179904557616793,0.5858887153432188,0.9133813002173324,0.6598512604963314,0.6751904222656125,67,11,11.999999999999975
23,128,108,1.1449628180600249,1.3010174545445394,1.3427478772046415,0.29531389253930795,0.001053868967573643,0.650087669952582,0.9387940268154616,0.5406446062254189,0.8692710552027753,0.6609148811713226,0.6748950725095654,47,10,11.999999999999975
22,128,111,1.1418489934892195,1.2959137857068928,1.3284969854268613,0.29511982280506216,0.03795406828936481,0.6449384849412654,0.9106753943588497,0.5484199050600291,0.8950387011892734,0.6305504022787378,0.6718214387300742,45,9,11.999999999999975
20,128,108,1.1185429204862967,1.2906931234007324,1.3796149238833288,0.32747377669336364,0.03332849891117684,0.5964765239533503,0.9088737756229848,0.5214799430458753,0.8529760179463642,0.6031627360505349,0.6713610293519723,24,10,11.999999999999977
29,128,108,1.1297901180808174,1.2825749794021244,1.3132937647098029,0.32027352213124877,0.016685892512568558,0.6157786321991449,0.8889806837481673,0.5285826089588994,0.8814717624444935,0.6277439599196974,0.6655239204810064,34,10,11.999999999999975
21,128,107,1.127477660394943,1.3137518215908621,1.3231917797168753,0.3135686306661815,0.012917457942857247,0.6143739754311676,0.929187552213135,0.5240545289084979,0.9154188733216959,0.598486881144499,0.662216696508689,36,8,11.999999999999977
24,128,116,1.1348463175970347,1.2940464577267607,1.3201855782795366,0.31370956692335994,0.09098739438598898,0.6306004771067761,0.8586723735239851,0.5447753751022291,0.8508524895661774,0.6029982793845,0.6617820705101531,43,10,11.999999999999975
11,128,109,1.1684151210281013,1.2874481972724718,1.349876078313178,0.25175690202420675,0.00043449847691317796,0.6730785700656263,0.9476045435599563,0.5488132254247375,0.9057457517882866,0.6428305207193594,0.6597200345654809,48,3,11.999999999999972
19,128,109,1.095156518635584,1.2328905305990314,1.32570663645773,0.35821674634829415,0.1257237814541131,0.5636747884701504,0.8621946077556617,0.510749497922053,0.7838942103967045,0.5470819075379335,0.6517479445348338,10,5,11.99999999999998
25,128,105,1.1145506941746537,1.289864269350887,1.3155502112248538,0.3344831220772382,0.0009136211408578445,0.6061655750634996,0.8843681065923135,0.5090189710866337,0.8716326847527656,0.6084225198595294,0.6517171132317657,36,6,11.999999999999975
18,128,112,1.110130579075099,1.2809666728184992,1.3650207222468524,0.3371556401029728,0.0031941896844790898,0.5877109958395821,0.8860524899389439,0.5294272747561538,0.820929290986803,0.5634765216103385,0.6500600992030587,17,5,11.999999999999979
28,128,106,1.1152773077050735,1.2927960987159701,1.314309662484192,0.3397314283973897,0.08914480016796927,0.5890326267322014,0.882545920123241,0.516381012241087,0.8508535179915473,0.580160724171375,0.6425181117454511,28,7,11.999999999999975
26,128,107,1.1160309585677584,1.279267085176041,1.2993685107738573,0.33088440533117663,0.012155986171834008,0.5964547209177438,0.8714592083720831,0.514991236052885,0.8255051768549045,0.5765148898528715,0.6413940075767728,31,9,11.999999999999975
10,128,114,1.1534995147433713,1.2650073034472653,1.341947924288595,0.2622416590590516,-0.00026645724611457447,0.6521613510617268,0.9010298783243088,0.5411097033041716,0.8586465137801469,0.606577753923855,0.6374937353628015,42,4,11.999999999999973
9,128,106,1.1368029900394343,1.2507042531158838,1.4339912934618348,0.2986937618999151,0.0012006303335230627,0.6121922572667909,0.9036078794970903,0.514681781348644,0.8233050370387137,0.5630985040993199,0.636632307845568,26,5,11.999999999999979
27,128,105,1.0999853823742551,1.2725138007959442,1.3128793649103314,0.352842942097893,0.10188707413443304,0.5668141252405423,0.8500000000000001,0.5025063941390495,0.8119440986403151,0.5507226853247122,0.6313495567288137,24,5,11.999999999999977
8,128,107,1.1180990753317939,1.2311228265319882,1.3168707761310374,0.3221716937870147,0.08892851437871341,0.58163508569469,0.8617773083306044,0.48988081792179444,0.8700607083483481,0.565721754886566,0.6182830694697065,17,2,11.999999999999975
30,128,110,1.0464243467948937,1.2293934720359867,1.3012296558527925,0.42016459134386014,0.10015377369457854,0.48710197823957413,0.8500000000000001,0.4775805005167397,0.7690870951790181,0.48726623850336914,0.6132123965350571,12,2,11.99999999999998
31,128,113,1.0340812590472281,1.2197896406610984,1.2700808881154295,0.4329860402230402,0.14449907414035182,0.4646185198207925,0.835146604161276,0.4633064088715487,0.82558536490966,0.46512454706669526,0.6036190581188623,9,2,11.99999999999998
32,128,109,1.0555234701420702,1.2320489311848173,1.2835252852598558,0.4088027269325605,0.09948773181369315,0.49930084686619136,0.9459725825586304,0.4571391989160265,0.781550461796561,0.5103833056182886,0.6024647503836362,9,2,11.999999999999979
6,128,112,1.0863533274471426,1.1995192482875165,1.2449757357965539,0.3541426284170735,0.01522173223858419,0.5313975057452851,0.8858575751791653,0.48417658612407777,0.7877671460513045,0.4975105150925758,0.60203226938369,6,1,11.999999999999979
33,128,109,1.0565448048936836,1.2360454689263256,1.2616213731796315,0.40945663545851696,0.17636195891832374,0.5046219877100999,0.8272663028120467,0.4570966037804294,0.8128993234401689,0.48524238661988417,0.5929410345748188,12,3,11.999999999999979
7,128,108,1.0833620426386665,1.191586154621388,1.2288666821397765,0.3611303633125087,0.13224673961791145,0.5246823703123079,0.8031532984790036,0.48133590066902143,0.728226318506067,0.4907019786809586,0.5928756288837784,4,0,11.999999999999977
