tensor,layer_id,expert_id,projection,channel_axis,chunk_id,chunk_start,chunk_end,chunk_size,chunk_instruct_norm,chunk_delta_norm,chunk_relative_delta,chunk_cosine,chunk_delta_energy_share,chunk_relative_delta_excess
model.layers.15.mlp.experts.38.gate_proj.weight,15,38,gate_proj,0,1,96,192,96,6.059263014090557,9.627170466645309,1.5888352171308187,0.002359715982931119,0.12084227542523746,0.02737729797245425
model.layers.15.mlp.experts.38.gate_proj.weight,15,38,gate_proj,0,6,576,672,96,6.30136243832249,9.91506363764129,1.5734793442988844,-0.0006556699533587133,0.1281777319151828,0.012021425140519959
model.layers.15.mlp.experts.38.gate_proj.weight,15,38,gate_proj,0,0,0,96,96,6.3169123270515835,9.894848540979583,1.566405868671918,-0.002699572643399079,0.12765560035708948,0.004947949513553596
model.layers.15.mlp.experts.38.gate_proj.weight,15,38,gate_proj,0,2,192,288,96,6.216319773850258,9.735832680787055,1.5661730790848434,0.002582393468185525,0.12358557247718016,0.004715159926478973
model.layers.15.mlp.experts.38.gate_proj.weight,15,38,gate_proj,0,4,384,480,96,6.3152172925327195,9.857182133440388,1.5608619112909672,0.000629366689108668,0.12668556509219533,-0.0005960078673972191
model.layers.15.mlp.experts.38.gate_proj.weight,15,38,gate_proj,0,7,672,768,96,6.307026520208341,9.810470468359144,1.5554826726866329,-0.0004048144871264366,0.1254877233380959,-0.005975246471731532
model.layers.15.mlp.experts.38.gate_proj.weight,15,38,gate_proj,0,3,288,384,96,6.296563001149231,9.780325653957588,1.5532800437591923,0.0009813251083613539,0.12471773123716481,-0.008177875399172141
model.layers.15.mlp.experts.38.up_proj.weight,15,38,up_proj,0,1,96,192,96,6.307229438388663,9.756760429798032,1.5469169982011368,-0.000725771392650256,0.12354002313863569,0.011055491036401355
model.layers.15.mlp.experts.38.up_proj.weight,15,38,up_proj,0,4,384,480,96,6.369762587981289,9.844738913619992,1.5455425186796476,-0.001724914200877873,0.1257780338528094,0.009681011514912186
model.layers.15.mlp.experts.38.up_proj.weight,15,38,up_proj,0,0,0,96,96,6.39672948003677,9.860676094692169,1.5415183845847873,0.0033546441220702653,0.1261855956685792,0.005656877420051831
model.layers.15.mlp.experts.38.up_proj.weight,15,38,up_proj,0,6,576,672,96,6.463070647613634,9.95528332171541,1.5403333592510255,0.0014710962661097342,0.1286185603985561,0.004471852086290085
model.layers.15.mlp.experts.38.up_proj.weight,15,38,up_proj,0,2,192,288,96,6.341858530170727,9.762684713611456,1.539404366585364,0.00017835284192179164,0.12369009515577786,0.003542859420628597
model.layers.15.mlp.experts.38.up_proj.weight,15,38,up_proj,0,3,288,384,96,6.396251486695523,9.796052597060461,1.5315302435241438,-0.0013979011747231491,0.1245370609465264,-0.004331263640591665
model.layers.15.mlp.experts.38.gate_proj.weight,15,38,gate_proj,0,5,480,576,96,6.347855766095228,9.706733757388033,1.5291358397323762,0.0023141637102729027,0.1228479195272209,-0.03232207942598819
model.layers.15.mlp.experts.38.up_proj.weight,15,38,up_proj,0,7,672,768,96,6.415279816540485,9.808304393880107,1.5288973629164861,0.0013824700965901259,0.12484876954609557,-0.0069641442482493154
model.layers.15.mlp.experts.38.up_proj.weight,15,38,up_proj,0,5,480,576,96,6.428931598564682,9.727569601476132,1.5130927203593054,-0.000918710702733486,0.12280190089769542,-0.02276878680543004
model.layers.15.mlp.experts.38.down_proj.weight,15,38,down_proj,1,4,384,480,96,6.650350759333524,9.991122310552207,1.5023451652576418,0.0022805185641211006,0.12501081572255981,0.009495908671788511
model.layers.15.mlp.experts.38.down_proj.weight,15,38,down_proj,1,1,96,192,96,6.620202396675589,9.931960763338335,1.5002503198883743,-0.0014166079579127958,0.12353471801079982,0.007401063302520994
model.layers.15.mlp.experts.38.down_proj.weight,15,38,down_proj,1,6,576,672,96,6.723911024223173,10.085432564456868,1.4999354584145554,0.003859298251338735,0.12738201002139754,0.007086201828702121
model.layers.15.mlp.experts.38.down_proj.weight,15,38,down_proj,1,0,0,96,96,6.7321382777699705,10.079427377693984,1.497210390193115,-0.0016423941592788136,0.1272303605969545,0.004361133607261758
model.layers.15.mlp.experts.38.down_proj.weight,15,38,down_proj,1,2,192,288,96,6.6665274923420474,9.942844704994478,1.491457841644843,0.002433832872286026,0.12380561746463259,-0.0013914149410103605
model.layers.15.mlp.experts.38.down_proj.weight,15,38,down_proj,1,3,288,384,96,6.70250864463058,9.982809932109546,1.489413958474613,-0.0007779952000863333,0.12480289014451487,-0.0034352981112402148
model.layers.15.mlp.experts.38.down_proj.weight,15,38,down_proj,1,7,672,768,96,6.717554172287499,10.004996386693696,1.4893808267253228,-0.002235634030117485,0.1253582469234811,-0.003468429860530531
model.layers.12.mlp.experts.71.down_proj.weight,12,71,down_proj,1,2,192,288,96,6.973439917883431,10.314428530611181,1.4791019428101422,0.0004905681866307021,0.12678698513137593,0.023306552790387958
model.layers.15.mlp.experts.38.down_proj.weight,15,38,down_proj,1,5,480,576,96,6.7248184122861385,9.90542165861016,1.4729649265343894,0.0010642017830980268,0.12287540799733634,-0.01988433005146395
model.layers.12.mlp.experts.71.up_proj.weight,12,71,up_proj,0,2,192,288,96,7.09286614511989,10.413454420075231,1.4681588806296602,0.003150900814161628,0.1266207799641892,0.018873835167775077
model.layers.12.mlp.experts.71.gate_proj.weight,12,71,gate_proj,0,2,192,288,96,7.134942061704282,10.474088395176018,1.4679990817856947,0.0020778691298375808,0.12716794199082163,0.017613213543399953
model.layers.12.mlp.experts.71.down_proj.weight,12,71,down_proj,1,1,96,192,96,7.033090850603438,10.304909982079879,1.4652035926986098,0.0010340912781608344,0.1265530853638773,0.00940820267885556
model.layers.12.mlp.experts.71.gate_proj.weight,12,71,gate_proj,0,4,384,480,96,7.113272669544523,10.422267740561889,1.4651860296576045,-0.002852581171088019,0.1259127255194185,0.01480016141530971
model.layers.12.mlp.experts.71.up_proj.weight,12,71,up_proj,0,1,96,192,96,7.108141580419943,10.401673739805315,1.4633464488745864,0.002508995863701292,0.1263344513165933,0.014061403412701345
model.layers.12.mlp.experts.71.down_proj.weight,12,71,down_proj,1,4,384,480,96,7.038388845574242,10.282766305715073,1.4609545637963586,0.0019052465094111823,0.1260097832567009,0.005159173776604353
model.layers.12.mlp.experts.71.gate_proj.weight,12,71,gate_proj,0,1,96,192,96,7.152684818721345,10.421447470616187,1.4569979993161764,0.006374440241965022,0.12589290673088863,0.006612131073881589
