layer,tensor_count,changed_tensors,numel,changed_numel,changed_numel_fraction,delta_norm,base_norm,relative_delta_norm,max_abs_delta
,3,0,622331904,0,0.0,0.0,593.5562858340605,0.0,0.0
0.0,393,279,623120640,438829056,0.704244134811519,127.60319583860867,484.47723049731036,0.26338326717155613,0.3583984375
1.0,393,288,623120640,452984832,0.7269616875473744,130.0469098190193,561.1197770441117,0.23176319056883968,0.49560546875
2.0,393,252,623120640,396361728,0.6360914766039526,138.34213103369686,570.8032826672281,0.24236393733977307,0.240234375
3.0,393,246,623120640,386924544,0.6209464414467156,137.669271710116,579.0934898903281,0.23773237674660883,0.2578125
4.0,393,240,623120640,377487360,0.6058014062894788,147.73019955048537,575.8721438062372,0.25653298416912473,0.1796875
5.0,393,201,623120640,316145664,0.5073586777674384,123.1058922735086,576.4713025942573,0.21355077298644867,0.16461181640625
6.0,393,204,623120640,320864256,0.5149311953460569,144.390819515167,576.3329774147337,0.25053367614475797,0.208984375
7.0,393,201,623120640,316145664,0.5073586777674384,132.20622261826864,579.2568438915521,0.2282342004456665,0.193359375
8.0,393,222,623120640,349175808,0.5603663008177678,157.4321764159126,575.7056485538407,0.27345949585761165,0.267578125
9.0,393,204,623120640,320864256,0.5149311953460569,143.50208047777554,571.6972257563172,0.25101062942527297,0.458984375
10.0,393,222,623120640,349175808,0.5603663008177678,150.9702636439145,569.0760725301761,0.2652901271576641,0.353515625
11.0,393,204,623120640,320864256,0.5149311953460569,148.9936006287081,569.0495869168045,0.2618288529756741,0.20361328125
12.0,393,222,623120640,349175808,0.5603663008177678,161.03258280218262,566.3165190642196,0.284350848653104,0.2890625
13.0,393,216,623120640,339738624,0.5452212656605309,145.874548935867,564.3331119272542,0.2584901467817311,0.25
14.0,393,198,623120640,311427072,0.49978616018881994,141.30896972690593,564.2299081067202,0.25044572734733217,0.59765625
15.0,393,225,623120640,353894400,0.5679388183963863,151.60930954272152,568.2647795309686,0.2667934297597258,0.474609375
16.0,393,195,623120640,306708480,0.49221364261020145,145.8566524903321,569.0250223922943,0.2563273085551172,0.38671875
17.0,393,201,623120640,316145664,0.5073586777674384,162.96655599373577,566.7738791097579,0.28753363907615204,0.3203125
18.0,393,210,623120640,330301440,0.5300762305032939,145.14591132097524,573.0193889692871,0.2533001746800488,0.3125
19.0,393,183,623120640,287834112,0.4619235722957275,151.45599036151387,578.3037871831272,0.2618969367280893,0.369140625
20.0,393,213,623120640,335020032,0.5376487480819123,161.89485400850327,582.9986216298162,0.2776933735381983,0.310546875
21.0,393,201,623120640,316145664,0.5073586777674384,151.14038244926198,584.602033037154,0.25853550605024384,0.369140625
22.0,393,222,623120640,349175808,0.5603663008177678,179.27419033184216,582.090395694488,0.3079834191697174,0.296875
23.0,393,219,623120640,344457216,0.5527937832391493,161.763727239433,575.5921053770496,0.28103882198569663,0.373046875
24.0,393,213,623120640,335020032,0.5376487480819123,158.8811309518387,578.6655167992692,0.2745647119784266,0.259765625
25.0,393,228,623120640,358612992,0.5755113359750048,157.03560075568637,581.7427690201666,0.26993992726404237,0.2540283203125
26.0,393,207,623120640,325582848,0.5225037129246753,163.11600833460952,588.3087731898548,0.2772625800736952,0.53125
27.0,393,198,623120640,311427072,0.49978616018881994,145.23608509552844,590.751284800911,0.2458497997926055,0.18359375
28.0,393,207,623120640,325582848,0.5225037129246753,142.72442233584636,588.096575270023,0.2426887493271234,0.2373046875
29.0,393,207,623120640,325582848,0.5225037129246753,147.51735507244317,589.1473318327529,0.25039128092719665,0.224609375
30.0,393,204,623120640,320864256,0.5149311953460569,155.52621228684254,592.2935107806794,0.26258300902511894,0.279052734375
31.0,393,180,623120640,283115520,0.454351054717109,148.27698013742253,597.8105916097982,0.2480333774919224,0.245361328125
32.0,393,219,623120640,344457216,0.5527937832391493,153.8628802418843,601.763806833277,0.25568649774996044,0.4423828125
33.0,393,213,623120640,335020032,0.5376487480819123,141.75666935686587,599.7329051168182,0.23636633599294338,0.30078125
34.0,393,210,623120640,330301440,0.5300762305032939,149.0262585750153,598.2708775455804,0.24909495709769267,0.17236328125
35.0,393,231,623120640,363331584,0.5830838535536232,141.10918500843337,600.2657920415554,0.23507783864962375,0.4332275390625
36.0,393,225,623120640,353894400,0.5679388183963863,157.4634568558198,603.3425041063762,0.2609851879887733,0.3155517578125
37.0,393,213,623120640,335020032,0.5376487480819123,149.51357290402677,607.1224062956302,0.24626594464909787,0.5234375
38.0,393,195,623120640,306708480,0.49221364261020145,120.83505755981079,610.3746469384555,0.1979686708252066,0.1728515625
39.0,393,207,623120640,325582848,0.5225037129246753,135.83957003666652,615.2276285716415,0.22079562706252615,0.2415771484375
40.0,393,204,623120640,320864256,0.5149311953460569,129.71128088892962,621.2178076280172,0.2088016140171568,0.39166259765625
41.0,393,219,623120640,344457216,0.5527937832391493,134.33185857962343,627.5446647219688,0.21405943852480783,0.466796875
42.0,393,240,623120640,377487360,0.6058014062894788,131.61842054196043,634.5225239356384,0.20742907552846918,0.220703125
43.0,393,228,623120640,358612992,0.5755113359750048,149.16565749405976,638.3708746160373,0.2336661389568859,0.3369140625
44.0,393,204,623120640,320864256,0.5149311953460569,141.71925499646304,641.0560942578328,0.2210715353397195,0.4130859375
45.0,393,183,623120640,287834112,0.4619235722957275,137.46155659090923,645.7194839456383,0.2128812278529322,0.20166015625
46.0,393,216,623120640,339738624,0.5452212656605309,157.0699337093071,649.0284195718446,0.24200779037214434,0.3115234375
47.0,393,234,623120640,368050176,0.5906563711322418,135.11548798135487,648.1137323943252,0.20847496546971472,0.5546875
