layer_id,expert_count,high_subspace_conflict_experts,route_important_high_subspace_conflict_experts,subspace_extra_scaled_experts,mean_subspace_conflict_score,max_subspace_conflict_score,route_mass_weighted_subspace_conflict_score,mean_unified_expected_max_relative_delta_norm,mean_subspace_extra_scale,coder_weight_reduction_sum,route_mass_sum
17,128,80,22,0,0.7458447817956941,0.9658805804095272,0.7472440252104701,0.18258180150519046,1.0,0.0,11.999999999999975
16,128,63,15,1,0.7197318363601308,0.9201691348137395,0.6983824225195523,0.15946942474510423,0.9993642332478474,0.0392600349493058,11.999999999999975
13,128,79,15,0,0.7256751790299825,0.9052591797874279,0.6945291742872861,0.17505073529626136,1.0,0.0,11.999999999999972
15,128,67,10,1,0.7141489675756421,0.9091543907614648,0.689591556186428,0.1806834839772007,0.9993588522343266,0.04027532023159397,11.999999999999979
14,128,76,16,0,0.7328281868797668,0.9963243153471928,0.6856996139822134,0.16280150671788557,1.0,0.0,11.999999999999975
12,128,78,10,0,0.7344836616952052,0.9317992339596842,0.6832341180637551,0.19530643340224477,1.0,0.0,11.999999999999975
23,128,56,16,0,0.6615586136323786,0.9387377642503703,0.6744757205796953,0.19180828114682885,1.0,0.0,11.999999999999975
11,128,68,12,1,0.697720802062839,0.9646581557739491,0.6660828253089914,0.17433317756603592,0.9989595462874158,0.059434637613698105,11.999999999999975
29,128,49,10,0,0.6325844611314307,0.9153879366073572,0.6445747610180593,0.167689909387906,1.0,0.0,11.999999999999975
22,128,58,9,0,0.6575001890413005,0.915212523766913,0.6432809989430358,0.20422387085072885,1.0,0.0,11.999999999999975
10,128,64,9,2,0.6779525015085365,0.9162596819636987,0.6278004490113932,0.1816544628212857,0.9999692912680309,0.0019674160803489493,11.999999999999973
25,128,47,5,1,0.619526695555312,0.9057527564886425,0.6213640478784638,0.18045254091395185,0.9995324840986007,0.027483011916062616,11.999999999999975
20,128,40,11,0,0.6079698454806008,0.9243134044297378,0.6138474887659546,0.186706401368794,1.0,0.0,11.999999999999979
24,128,47,8,0,0.6373804698761196,0.8773662715137537,0.6096409960645517,0.17997604317001187,1.0,0.0,11.999999999999975
21,128,45,8,0,0.6236992819280228,0.936666671397103,0.6050543590875037,0.1684792849010987,1.0,0.0,11.999999999999977
28,128,43,8,0,0.6035595316146758,0.8978406031839052,0.5923338379407467,0.16049951123483375,1.0,0.0,11.999999999999973
26,128,44,7,0,0.6116682328367483,0.9114184536698898,0.5917866852874301,0.18634603547065665,1.0,0.0,11.999999999999975
8,128,28,7,2,0.6037924972410975,0.8914916859340731,0.5873847702051023,0.18830078998405358,0.9998835866629772,0.0070809819024337806,11.999999999999975
9,128,44,6,0,0.6345207893910801,0.9435471662133094,0.5841022151625,0.16439345556292492,1.0,0.0,11.999999999999979
18,128,25,4,0,0.6046646247860077,0.9049402930816575,0.5781851277641384,0.16227129279603442,1.0,0.0,11.999999999999979
27,128,36,4,1,0.5807150095073818,0.865408820594429,0.564947927915354,0.15501557461679574,0.9993451143524206,0.04189800281992134,11.999999999999977
19,128,20,5,0,0.5737631733944516,0.882061741897985,0.5569251407359718,0.16176781257940784,1.0,0.0,11.99999999999998
0,128,10,3,0,0.5493786923659039,0.8519012581937431,0.547208227193024,0.1931346804595636,1.0,0.0,11.999999999999968
5,128,16,4,2,0.5514912411749575,0.968356691769522,0.5392214754275603,0.14664660043722927,0.9995319997429726,0.027608060198855366,11.999999999999973
6,128,16,1,2,0.5581127809468476,0.9198437623832113,0.5203796074135549,0.1603674316904824,0.9999480698671555,0.0031967033029269287,11.999999999999979
32,128,12,3,2,0.5059441631654944,0.9615799143496628,0.5157527612749714,0.1717848399124559,0.9999737718876271,0.001371121361182004,11.999999999999979
7,128,14,2,0,0.5465586967624791,0.8411179099992394,0.5091876231987232,0.15028827569006492,1.0,0.0,11.999999999999977
1,128,5,2,0,0.5143979218498806,0.9657202900980801,0.5089493364161286,0.1880864142526975,1.0,0.0,11.999999999999964
4,128,11,1,0,0.5458114937720093,0.8979151350738777,0.5058386315780807,0.18095514452980654,1.0,0.0,11.999999999999972
2,128,9,1,0,0.521060790378582,1.0,0.49843614930788,0.17868239666356672,1.0,0.0,11.999999999999972
34,128,18,2,0,0.490777941672214,0.828176351821443,0.4965654605394612,0.16827913305800388,1.0,0.0,11.999999999999973
30,128,15,3,0,0.495704174664473,0.8668102585748811,0.49365024483159103,0.16970992000925983,1.0,0.0,11.99999999999998
3,128,0,0,0,0.5196700240733458,0.710677744554169,0.4877580755437469,0.17652491847760177,1.0,0.0,11.99999999999997
33,128,20,1,2,0.5074655098980155,0.8294403334168077,0.48723625499723966,0.15699544615351907,0.9999427748237869,0.003503001075098766,11.999999999999977
35,128,5,0,0,0.47727241636565837,0.806031145401623,0.4741853701939973,0.16836808175097445,1.0,0.0,11.999999999999975
31,128,9,2,0,0.47181242937089424,0.8478449078497632,0.47257377926476013,0.15082275667404219,1.0,0.0,11.99999999999998
36,128,1,0,0,0.4379191062635314,0.7250025670213247,0.4145475392213144,0.1823628301440548,1.0,0.0,11.999999999999973
37,128,3,0,0,0.39290910699319215,0.7770117543960207,0.3906610135553439,0.1637972674073526,1.0,0.0,11.999999999999973
38,128,0,0,0,0.3664743163017665,0.7038905078855703,0.3443581009703798,0.12812408241119658,1.0,0.0,11.999999999999975
46,128,0,0,0,0.26434829325172443,0.6268095170648602,0.2965746236144553,0.16002960810064903,1.0,0.0,11.999999999999975
39,128,0,0,0,0.2987424139220007,0.6620995477684875,0.28184977494117525,0.1464810779510686,1.0,0.0,11.999999999999975
47,128,0,0,0,0.2900922064137279,0.6655348209542766,0.2760401442441112,0.14513303725154342,1.0,0.0,11.999999999999972
40,128,0,0,0,0.27119769051008324,0.7192479480663844,0.2609964421128716,0.140272927510956,1.0,0.0,11.999999999999975
45,128,0,0,0,0.23675332002172533,0.6850303440314609,0.25301278811899286,0.12908185008926362,1.0,0.0,11.999999999999977
42,128,0,0,0,0.2328300095788129,0.5815581163584315,0.23813963519133605,0.14471365744631218,1.0,0.0,11.999999999999973
44,128,1,0,0,0.22352303689387687,0.7375852499531717,0.2310311733526793,0.14158285098229972,1.0,0.0,11.999999999999973
43,128,0,0,0,0.20841132448105754,0.6780669607499203,0.2256373926507544,0.15555058891021267,1.0,0.0,11.999999999999973
41,128,1,0,0,0.23415093352544925,0.7605672606134086,0.22505375301702188,0.14301919549947106,1.0,0.0,11.999999999999975
