method,role,eval_usable,audit_passed,avg_primary_score,worst_primary_score,avg_primary_lower,avg_primary_upper,worst_primary_lower,worst_primary_upper,task_gsm8k_score,task_mmlu_score,task_safety_score,task_humaneval_compile_score,total_relative_delta_norm,routed_tensors_gt_0_75,dominated_by_source,confidence_dominated_by_source,task_regression_columns,task_confidence_regression_columns,task_paired_regression_columns,paired_shared_examples,paired_candidate_only_correct,paired_source_only_correct,paired_min_pvalue,rejection_reasons,selection_eligible
source_qwen3_30b_instruct,source,False,True,,,,,,,,,,,,,,,,,,,,,,,False
source_qwen3_30b_coder,source,False,True,,,,,,,,,,,,,,,,,,,,,,,False
qwen3_moe_unified_route_guarded_candidate,candidate,False,True,,,,,,,,,,,0.2856374928013712,839.0,,,,,,,,,,awaiting_candidate_eval,False
qwen3_moe_audit_gated_candidate,candidate,False,True,,,,,,,,,,,0.263843627182202,164.0,,,,,,,,,,awaiting_candidate_eval,False
qwen3_moe_trust_region_candidate,candidate,False,True,,,,,,,,,,,0.2486605810368496,14.0,,,,,,,,,,awaiting_candidate_eval,False
qwen3_moe_expert_only_trust_region_candidate,candidate,False,True,,,,,,,,,,,0.2460330539488216,14.0,,,,,,,,,,awaiting_candidate_eval,False
qwen3_moe_tail_trimmed_expert_only_candidate,candidate,False,True,,,,,,,,,,,0.2431453154573603,0.0,,,,,,,,,,awaiting_candidate_eval,False
qwen3_moe_searched_no_gt065_max_retention_candidate,candidate,False,True,,,,,,,,,,,0.2475948491291486,0.0,,,,,,,,,,awaiting_candidate_eval,False
qwen3_moe_layer_chunk_candidate,candidate,False,True,,,,,,,,,,,0.2434510790840721,0.0,,,,,,,,,,awaiting_candidate_eval,False
qwen3_moe_unified_mechanism_candidate,candidate,False,True,,,,,,,,,,,0.2475948491291486,0.0,,,,,,,,,,awaiting_candidate_eval,False
