case,status,expected_status,selected_method,expected_selected_method,passed,eligible_candidate_count,rank_mode,rank_band_size
candidate_win,select_candidate,select_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,True,2,confidence_tie_band_structural,2
source_dominance,keep_source_endpoint,keep_source_endpoint,source_qwen3_30b_instruct,source_qwen3_30b_instruct,True,0,,0
task_regression,keep_source_endpoint,keep_source_endpoint,source_qwen3_30b_instruct,source_qwen3_30b_instruct,True,0,,0
uncertain_small_sample,awaiting_candidate_eval,awaiting_candidate_eval,source_qwen3_30b_instruct,source_qwen3_30b_instruct,True,0,,0
paired_regression,awaiting_candidate_eval,awaiting_candidate_eval,source_qwen3_30b_instruct,source_qwen3_30b_instruct,True,0,,0
paired_noisy_delta,provisional_candidate,provisional_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,True,1,confidence_tie_band_structural,1
structural_tie_break,select_candidate,select_candidate,qwen3_moe_mechanistic_unified_candidate,qwen3_moe_mechanistic_unified_candidate,True,2,confidence_tie_band_structural,2
confidence_structural_band,select_candidate,select_candidate,qwen3_moe_mechanistic_unified_candidate,qwen3_moe_mechanistic_unified_candidate,True,2,confidence_tie_band_structural,2
confidence_separated_point_leader,select_candidate,select_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,True,2,confidence_tie_band_structural,1
partial,provisional_candidate,provisional_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,True,1,confidence_tie_band_structural,1
