schedule_id,min_layer_coefficient,mean_layer_coefficient,route_mass_weighted_coder_retention,fine_layer_coder_retention,risk_weighted_delta,risk_weighted_delta_reduction,delta_norm_proxy,delta_norm_proxy_ratio,max_predicted_relative_delta,p99_predicted_relative_delta,groups_gt_065,groups_gt_050,changed_group_count,objective,passes_retention_constraint,passes_hard_cap_constraint,feasible_for_selection
continuous_importance_s0.20,0.8,0.8876862078713749,0.8885439545340116,0.8148343272886267,0.2087991078738616,0.13419981870252962,18.289051748043338,0.8816528916748072,0.65,0.6159130242725872,0,495,5138,0.09519020278943367,False,True,False
continuous_risk_layer_s0.20,0.8040012096533438,0.9009697953314367,0.8913521210661394,0.8431616369313089,0.21088171992826282,0.12556412139216488,18.24474778134691,0.8795171483411076,0.6273599772535815,0.6020863848757292,0,494,5243,0.08753736376531367,False,True,False
continuous_importance_s0.15,0.85,0.9157646559035312,0.9164079659005088,0.8611257454664702,0.2168901209699581,0.10064986402689713,18.89526313030712,0.9108762776382827,0.65,0.6244347682044404,0,524,5138,0.0713926520920752,False,True,False
policy_080_090_098,0.8,0.9233263398817473,0.9238023273753408,0.7999999999999999,0.21757291453303088,0.09781861251094581,19.028272448219585,0.9172882038208287,0.637,0.637,0,530,5243,0.07114942709231512,False,True,False
continuous_risk_layer_s0.15,0.8530009072400078,0.9257273464985776,0.9185140907996044,0.8823712276984815,0.21845208001075897,0.09417309104412375,18.865750843866014,0.9094535908287535,0.6330199829401861,0.6138926438024791,0,523,5243,0.0656530228239853,False,True,False
policy_085_092_100,0.85,0.948321571619302,0.9487497650882906,0.85,0.2241610640242107,0.07050038743823994,19.554941484144702,0.9426771241911065,0.65,0.65,0,553,2623,0.05256280521914164,False,True,False
continuous_importance_s0.10,0.9,0.9438431039356875,0.9442719772670058,0.9074171636443132,0.2249811340660546,0.06709990935126464,19.506815572900706,0.9403571379284347,0.65,0.6329565121362937,0,567,5138,0.04759510139471669,False,True,False
continuous_risk_layer_s0.10,0.9020006048266719,0.9504848976657183,0.9456760605330696,0.9215808184656542,0.2260224400932552,0.06278206069608228,19.48946548180239,0.9395207491315531,0.6386799886267908,0.62564007720626,0,560,5243,0.043768681882656646,False,True,False
policy_090_095_100,0.9,0.9666603089834066,0.9669378869899837,0.9,0.23016916546905478,0.04558737237238031,19.96697959593327,0.962540078145375,0.65,0.65,0,581,2623,0.03401563281887461,False,True,False
policy_092_096_100,0.92,0.9733282471867252,0.973550309591987,0.92,0.2323679644268933,0.036469897897904224,20.119777441919037,0.969905941865972,0.65,0.65,0,588,2623,0.02721250625509966,False,True,False
continuous_importance_s0.05,0.95,0.9719215519678437,0.9721359886335029,0.9537085818221567,0.23307214716215108,0.033549954675632265,20.123222131096718,0.9700719985985058,0.65,0.6412304814417096,0,585,5138,0.02379755069735829,False,True,False
continuous_risk_layer_s0.05,0.951000302413336,0.975242448832859,0.9728380302665348,0.9607904092328271,0.23359280017575135,0.03139103034804125,20.11563946772685,0.9697064642242398,0.6443399943133954,0.6377409035111827,0,583,5243,0.021884340941328434,False,True,False
policy_095_098_100,0.95,0.984999046347511,0.9851260088916769,0.9499999999999998,0.23617726691389881,0.020674357306520674,20.388231959087996,0.9828472197739695,0.65,0.65,0,600,2623,0.01546846041860759,True,True,True
policy_098_099_100,0.98,0.9933320617966814,0.9933875773979968,0.9799999999999999,0.238964361300409,0.009117474474475973,20.586078993241266,0.9923847514171382,0.65,0.65,0,605,2623,0.006803126563774842,True,True,True
baseline_unified,1.0,1.0,1.0,1.0,0.24116316025824752,0.0,20.744050091301865,1.0,0.6500000000000001,0.65,0,610,0,0.0,True,True,True
