layer,tensor_count,changed_tensors,numel,changed_numel,changed_numel_fraction,delta_norm,base_norm,relative_delta_norm,max_abs_delta
,3,0,622331904,0,0.0,0.0,593.5562858340605,0.0,0.0
0.0,393,285,623120640,457703680,0.734534615961365,140.28466804692857,484.47723049731036,0.28955884655905906,0.5
1.0,393,294,623120640,471859456,0.7572521686972205,137.0304756682037,561.1197770441117,0.24420895729260889,0.49560546875
2.0,393,258,623120640,415236352,0.6663819577537987,157.23782642400027,570.8032826672281,0.27546762816300785,0.36328125
3.0,393,252,623120640,405799168,0.6512369225965617,159.99782683668047,579.0934898903281,0.2762901493970891,1.375
4.0,393,246,623120640,396361984,0.6360918874393248,178.428920840284,575.8721438062372,0.3098412082601441,0.375
5.0,393,207,623120640,335020288,0.5376491589172845,133.64668574037816,576.4713025942573,0.23183580021925887,0.5625
6.0,393,210,623120640,339738880,0.5452216764959029,171.00757963230126,576.3329774147337,0.296716631415736,0.289306640625
7.0,393,207,623120640,335020288,0.5376491589172845,147.32106760790086,579.2568438915521,0.2543277117248565,0.193359375
8.0,393,228,623120640,368050432,0.5906567819676138,180.12374101644875,575.7056485538407,0.31287471552331547,0.625
9.0,393,210,623120640,339738880,0.5452216764959029,176.14615011707457,571.6972257563172,0.30811090588037227,0.458984375
10.0,393,228,623120640,368050432,0.5906567819676138,171.8821386541066,569.0760725301761,0.302037191424864,0.353515625
11.0,393,210,623120640,339738880,0.5452216764959029,177.9129421869902,569.0495869168045,0.3126492774574339,0.20361328125
12.0,393,228,623120640,368050432,0.5906567819676138,192.6898252757984,566.3165190642196,0.3402511118591397,0.3125
13.0,393,222,623120640,358613248,0.5755117468103769,180.22813833555557,564.3331119272542,0.31936481224725305,0.4375
14.0,393,204,623120640,330301696,0.5300766413386659,159.65203815079178,564.2299081067202,0.28295564601760653,0.744140625
15.0,393,231,623120640,372769024,0.5982292995462324,176.03039010182584,568.2647795309686,0.3097682567044132,0.515625
16.0,393,201,623120640,325583104,0.5225041237600475,171.67771668727482,569.0250223922943,0.30170503920110153,1.1875
17.0,393,207,623120640,335020288,0.5376491589172845,196.5742149529651,566.7738791097579,0.3468300537451158,0.453125
18.0,393,216,623120640,349176064,0.5603667116531399,180.04309808777293,573.0193889692871,0.314200708655991,0.4912109375
19.0,393,189,623120640,306708736,0.49221405344557356,181.1220932857096,578.3037871831272,0.31319541268775236,0.5224609375
20.0,393,219,623120640,353894656,0.5679392292317584,198.096389638131,582.9986216298162,0.3397887787184432,0.46875
21.0,393,207,623120640,335020288,0.5376491589172845,188.1925866748996,584.602033037154,0.3219157239279377,0.5791015625
22.0,393,228,623120640,368050432,0.5906567819676138,205.83342470899106,582.090395694488,0.3536107557030083,0.42578125
23.0,393,225,623120640,363331840,0.5830842643889954,193.2285748008616,575.5921053770496,0.33570400461674943,0.4443359375
24.0,393,219,623120640,353894656,0.5679392292317584,188.82143905448316,578.6655167992692,0.32630497856325974,0.2734375
25.0,393,234,623120640,377487616,0.6058018171248508,183.75469141140186,581.7427690201666,0.31586931750075925,0.291748046875
26.0,393,213,623120640,344457472,0.5527941940745215,201.5280909506209,588.3087731898548,0.34255496456039625,0.53125
27.0,393,204,623120640,330301696,0.5300766413386659,168.06095137703667,590.751284800911,0.2844868148423492,0.207275390625
28.0,393,213,623120640,344457472,0.5527941940745215,163.92828350504888,588.096575270023,0.2787438158941525,0.65625
29.0,393,213,623120640,344457472,0.5527941940745215,178.90146432381118,589.1473318327529,0.3036616728234589,0.296630859375
30.0,393,210,623120640,339738880,0.5452216764959029,184.167845767095,592.2935107806794,0.3109401714098647,0.34423828125
31.0,393,186,623120640,301990144,0.4846415358669551,172.25900130480423,597.8105916097982,0.2881497981508511,0.28271484375
32.0,393,225,623120640,363331840,0.5830842643889954,176.4983443899825,601.763806833277,0.29330169476091905,0.8125
33.0,393,219,623120640,353894656,0.5679392292317584,166.60458719653948,599.7329051168182,0.27779797602415635,0.408203125
34.0,393,216,623120640,349176064,0.5603667116531399,183.94303901062898,598.2708775455804,0.30745778528491874,0.3017578125
35.0,393,237,623120640,382206208,0.6133743347034692,158.39975824391064,600.2657920415554,0.26388270053700624,0.4332275390625
36.0,393,231,623120640,372769024,0.5982292995462324,177.8326282363834,603.3425041063762,0.29474573235939217,0.375
37.0,393,219,623120640,353894656,0.5679392292317584,170.63528574613915,607.1224062956302,0.28105582000716106,0.5234375
38.0,393,201,623120640,325583104,0.5225041237600475,128.6979759480031,610.3746469384555,0.2108507890908185,0.203125
39.0,393,213,623120640,344457472,0.5527941940745215,146.75681691775057,615.2276285716415,0.23854068007067916,0.2806396484375
40.0,393,210,623120640,339738880,0.5452216764959029,144.61281254792547,621.2178076280172,0.23278922589179712,1.6875
41.0,393,225,623120640,363331840,0.5830842643889954,149.10866763585625,627.5446647219688,0.2376064621661922,0.466796875
42.0,393,246,623120640,396361984,0.6360918874393248,142.73282924257748,634.5225239356384,0.2249452523092077,0.25
43.0,393,234,623120640,377487616,0.6058018171248508,160.9069731199229,638.3708746160373,0.25205876320203996,0.3369140625
44.0,393,210,623120640,339738880,0.5452216764959029,151.77948210096827,641.0560942578328,0.23676474408481724,0.4677734375
45.0,393,189,623120640,306708736,0.49221405344557356,159.70312080796404,645.7194839456383,0.24732585089752238,0.256591796875
46.0,393,222,623120640,358613248,0.5755117468103769,172.16388687518298,649.0284195718446,0.265264018775568,0.34375
47.0,393,240,623120640,386924800,0.6209468522820878,147.3141009896596,648.1137323943252,0.22729668208917195,0.5859375
