layer,layer_importance_score,chunk_policy,recommended_coefficient_slots,route_guarded_relative_delta_norm,trust_region_relative_delta_norm,route_to_trust_reduction,trust_to_expert_only_reduction,calibrate_fraction,router_relative_delta_norm,min_topk_jaccard,min_top1_agreement,chunk_reason
17,0.8864221605510036,per_layer_coefficients,4,0.3468300537451158,0.2911483878563138,0.0556816658888019,0.0036147487801618,1.0,0.844351985029753,0.3112784651246189,0.25,highest expert-delta/router sensitivity; allocate fine calibration coefficients
20,0.8714012725049389,per_layer_coefficients,4,0.3397887787184432,0.2804359307980495,0.0593528479203936,0.0027425572598512,1.0,0.8088729639662686,0.3188424478747059,0.0689655169844627,highest expert-delta/router sensitivity; allocate fine calibration coefficients
22,0.8692829840301395,per_layer_coefficients,4,0.3536107557030083,0.3103366454824745,0.0432741102205337,0.0023532263127571,1.0,0.7937036525022558,0.2422377622377622,0.1333333402872085,highest expert-delta/router sensitivity; allocate fine calibration coefficients
23,0.8480240376096964,per_layer_coefficients,4,0.3357040046167494,0.2837393186856716,0.0519646859310777,0.002700496699975,1.0,0.7700166208602605,0.2538410307641077,0.2307692319154739,highest expert-delta/router sensitivity; allocate fine calibration coefficients
12,0.8441742974427848,per_layer_coefficients,4,0.3402511118591397,0.2881706458151036,0.0520804660440361,0.0038197971619995,1.0,0.8234877317206551,0.3447552447552447,0.2258064448833465,highest expert-delta/router sensitivity; allocate fine calibration coefficients
26,0.838598514875305,per_layer_coefficients,4,0.3425549645603962,0.279484864243181,0.0630701003172152,0.0022222841694857,1.0,0.6373567719309547,0.3455040685809916,0.2307692319154739,highest expert-delta/router sensitivity; allocate fine calibration coefficients
21,0.8266269788223876,per_layer_coefficients,4,0.3219157239279377,0.2616190140439458,0.0602967098839919,0.0030835079937019,1.0,0.7860767392769642,0.3248093786555325,0.2272727340459823,highest expert-delta/router sensitivity; allocate fine calibration coefficients
18,0.8254590185203032,per_layer_coefficients,4,0.314200708655991,0.2569374898543594,0.0572632188016316,0.0036373151743105,1.0,0.8691613579397345,0.3073684935753901,0.1818181872367859,highest expert-delta/router sensitivity; allocate fine calibration coefficients
13,0.8075863721114475,two_layer_chunk_coefficients,2,0.319364812247253,0.263030361563663,0.05633445068359,0.0045402147819318,1.0,0.8552697694255701,0.3821325341325341,0.1935483813285827,medium sensitivity; share coefficients across small adjacent chunks
24,0.8000753605422308,two_layer_chunk_coefficients,2,0.3263049785632597,0.2773274667773039,0.0489775117859557,0.0027627547988773,1.0,0.7477831465589972,0.2906350060196214,0.1923076957464218,medium sensitivity; share coefficients across small adjacent chunks
19,0.7772552293141712,two_layer_chunk_coefficients,2,0.3131954126877523,0.265083419033378,0.0481119936543743,0.0031864823052887,1.0,0.825168190782946,0.3226645149722073,0.1290322542190551,medium sensitivity; share coefficients across small adjacent chunks
11,0.7539249637553119,two_layer_chunk_coefficients,2,0.3126492774574339,0.2657922008774755,0.0468570765799584,0.0039633479018014,1.0,0.8190916285127567,0.3761518175311278,0.2758620679378509,medium sensitivity; share coefficients across small adjacent chunks
15,0.7347711847499971,two_layer_chunk_coefficients,2,0.3097682567044132,0.2704016262961274,0.0393666304082858,0.0036081965364015,1.0,0.8246392779696452,0.3414746173366863,0.1379310339689254,medium sensitivity; share coefficients across small adjacent chunks
9,0.7236159481055219,two_layer_chunk_coefficients,2,0.3081109058803722,0.2547882382140257,0.0533226676663465,0.0037776087887527,0.9166666666666666,0.7871759438050421,0.4124371355140586,0.25,medium sensitivity; share coefficients across small adjacent chunks
16,0.723072612746112,two_layer_chunk_coefficients,2,0.3017050392011015,0.2601764850935971,0.0415285541075043,0.0038491765384798,1.0,0.8175587948553278,0.3377533577533577,0.2800000011920929,medium sensitivity; share coefficients across small adjacent chunks
