feature,spearman_feature_vs_selected_scale,spearman_feature_vs_scale_delta,spearman_feature_vs_expected_delta,route_mass_weighted_feature
curvature_score,-0.593500519388745,-0.37836855398493335,0.40275024170871593,0.48367469755635656
feature_router_instability,-0.5827142639003402,-0.5708578439002807,0.004017917954530899,0.6167572233152618
feature_expert_internal_geometry,-0.5661089824332579,-0.5778645223562409,-0.06930414737642225,0.49576791865254477
interference_score,-0.5599572226930081,-0.652449493729131,0.31197141139172996,0.44488356130676276
feature_subspace_conflict,-0.5593247693799686,-0.5729282681611381,-0.07399240288858966,0.5094857008352032
feature_subspace_route_conflict,-0.344539808264644,-0.4294267864276616,0.041044081287028494,0.40985205234349037
feature_expert_route_geometry,-0.23066780269465936,-0.34391956565419773,0.08221788893607584,0.5898077702918125
delta_pressure,-0.18208490298708227,0.24066261571752354,0.9992153141964225,0.2799527539273601
coder_route_share,-0.16466289022597955,0.2451341740550194,0.9313339204287564,0.24999999999999994
benefit_score,0.01390421934820137,0.4241104455179158,0.8366713243148616,0.3499330636725818
load_pressure,0.33905428997330167,0.12064186442162507,0.012308430438770217,0.5223250573249301
route_mass_pressure,0.42531947569554596,0.23870763825938418,0.25917267792403464,0.589374331858063
