feature_family,feature,weighted_corr_with_shrink,weighted_corr_with_restore,weighted_corr_with_predicted_delta,mean_value,route_mass_weighted_value,abs_shrink_corr
layer_geometry,feature_layer_geometry,0.6980780071550652,-0.04071519312912757,0.09066543781811295,0.5903476070936806,0.5898077702918125,0.6980780071550652
expert_geometry,feature_expert_internal_geometry,0.658526218569196,-0.08812192985335357,-0.06801374459435955,0.5125533625678811,0.49576791865254477,0.658526218569196
subspace_conflict,feature_subspace_conflict,0.6518355997644517,-0.08930531968054438,-0.07322321802873699,0.5274579455194953,0.5094857008352032,0.6518355997644517
router_boundary,feature_router_instability,0.6242326568822933,-0.031111152012209427,0.047137549998178416,0.6174445083980157,0.6167572233152618,0.6242326568822933
subspace_conflict,feature_subspace_route_conflict,0.4582276724864184,-0.10159878722644079,-0.014615894729927581,0.34639455926952,0.40985205234349037,0.4582276724864184
benefit,route_mass_pressure,-0.31935475387873175,-0.08024163526315241,0.11893324595138006,0.29916664306837076,0.589374331858063,0.31935475387873175
low_route_mass,feature_low_route_mass,0.31935475387873175,0.08024163526315241,-0.11893324595138008,0.7008333569316293,0.41062566814193685,0.31935475387873175
expert_geometry,feature_expert_route_geometry,0.31923748494952997,-0.11184237586112994,0.013594884369920405,0.5047483421700671,0.5898077702918125,0.31923748494952997
benefit,original_weight_coder,-0.2153465835271131,0.3666323149603178,0.9695581530904384,0.2007622635337222,0.21114690549744253,0.2153465835271131
benefit,category_coder_prior,-0.2106907860044194,0.15830596568731156,0.3049188482119912,0.45800686629792103,0.44473277162242186,0.2106907860044194
benefit,coder_route_share,-0.21047924685460795,0.3661553209375435,0.9599383482212228,0.25173231750593195,0.25,0.21047924685460795
load_pressure,feature_load_pressure,-0.16353594352690426,-0.0002829394851051459,-0.038832452885479804,0.317328372899034,0.5223250573249301,0.16353594352690426
delta_pressure,feature_delta_pressure,-0.11054831687793372,0.3299624527855442,0.9911554708553963,0.2635191411287832,0.2799527539273601,0.11054831687793372
source_conflict,feature_source_conflict,-0.0225404991002101,-0.09112078404681984,0.7698321906087501,0.3678979631417294,0.4385573369988162,0.0225404991002101
