layer,tensor_count,changed_tensors,numel,changed_numel,changed_numel_fraction,delta_norm,base_norm,relative_delta_norm,max_abs_delta
,3,0,622331904,0,0.0,0.0,593.5562858340605,0.0,0.0
0.0,393,279,623120640,438829056,0.704244134811519,123.62267856327574,484.47723049731036,0.2551671591178361,0.380859375
1.0,393,288,623120640,452984832,0.7269616875473744,128.3490450165964,561.1197770441117,0.22873733963311435,0.49169921875
2.0,393,252,623120640,396361728,0.6360914766039526,133.75133318771387,570.8032826672281,0.23432124034523008,0.259765625
3.0,393,246,623120640,386924544,0.6209464414467156,136.35325158581736,579.0934898903281,0.2354598246504907,0.275390625
4.0,393,240,623120640,377487360,0.6058014062894788,144.49994570077715,575.8721438062372,0.25092365945277745,0.185546875
5.0,393,201,623120640,316145664,0.5073586777674384,119.97951219274587,576.4713025942573,0.2081274673219806,0.142578125
6.0,393,204,623120640,320864256,0.5149311953460569,137.36416435418866,576.3329774147337,0.23834167007129342,0.205322265625
7.0,393,201,623120640,316145664,0.5073586777674384,129.69401542750757,579.2568438915521,0.22389725178937853,0.19140625
8.0,393,222,623120640,349175808,0.5603663008177678,149.70202647623228,575.7056485538407,0.26003223496639355,0.267578125
9.0,393,204,623120640,320864256,0.5149311953460569,139.53040518937448,571.6972257563172,0.24406346384624325,0.458984375
10.0,393,222,623120640,349175808,0.5603663008177678,142.99587477889398,569.0760725301761,0.2512772574378646,0.345703125
11.0,393,204,623120640,320864256,0.5149311953460569,140.92380935419064,569.0495869168045,0.2476476788564892,0.202880859375
12.0,393,222,623120640,349175808,0.5603663008177678,151.89680377348665,566.3165190642196,0.2682189176195684,0.28125
13.0,393,216,623120640,339738624,0.5452212656605309,139.83128397271136,564.3331119272542,0.2477814627874191,0.21484375
14.0,393,198,623120640,311427072,0.49978616018881994,134.60068841980632,564.2299081067202,0.23855645807833978,0.59765625
15.0,393,225,623120640,353894400,0.5679388183963863,141.02344750515323,568.2647795309686,0.24816503254266511,0.423828125
16.0,393,195,623120640,306708480,0.49221364261020145,137.1380343575516,569.0250223922943,0.24100527913692799,0.35546875
17.0,393,201,623120640,316145664,0.5073586777674384,151.17901339372523,566.7738791097579,0.2667360281867345,0.2734375
18.0,393,210,623120640,330301440,0.5300762305032939,136.12041806863306,573.0193889692871,0.23754941052427267,0.255859375
19.0,393,183,623120640,287834112,0.4619235722957275,145.4099536680677,578.3037871831272,0.25144216048860457,0.3828125
20.0,393,213,623120640,335020032,0.5376487480819123,156.41505631417442,582.9986216298162,0.2682940413768123,0.30859375
21.0,393,201,623120640,316145664,0.5073586777674384,145.2428847021187,584.602033037154,0.2484474505631558,0.31640625
22.0,393,222,623120640,349175808,0.5603663008177678,167.42625229489494,582.090395694488,0.28762929870220555,0.29296875
23.0,393,219,623120640,344457216,0.5527937832391493,153.63362814703473,575.5921053770496,0.2669140641642312,0.3330078125
24.0,393,213,623120640,335020032,0.5376487480819123,151.54865633476803,578.6655167992692,0.26189335969597455,0.25390625
25.0,393,228,623120640,358612992,0.5755113359750048,149.21675040857576,581.7427690201666,0.2564995361436165,0.2520751953125
26.0,393,207,623120640,325582848,0.5225037129246753,156.5003493826138,588.3087731898548,0.266017364544909,0.53125
27.0,393,198,623120640,311427072,0.49978616018881994,138.7543875962811,590.751284800911,0.23487784312317272,0.1796875
28.0,393,207,623120640,325582848,0.5225037129246753,137.94114101566868,588.096575270023,0.23455525302512326,0.23486328125
29.0,393,207,623120640,325582848,0.5225037129246753,142.14843833023914,589.1473318327529,0.2412782518899572,0.220703125
30.0,393,204,623120640,320864256,0.5149311953460569,149.3586012565524,592.2935107806794,0.2521699099145769,0.25390625
31.0,393,180,623120640,283115520,0.454351054717109,144.0485566261715,597.8105916097982,0.24096019483073094,0.250244140625
32.0,393,219,623120640,344457216,0.5527937832391493,150.14698372392192,601.763806833277,0.24951148942316037,0.4306640625
33.0,393,213,623120640,335020032,0.5376487480819123,138.1819075725648,599.7329051168182,0.23040574628075344,0.2685546875
34.0,393,210,623120640,330301440,0.5300762305032939,146.4062531437665,598.2708775455804,0.24471566081304408,0.16796875
35.0,393,231,623120640,363331584,0.5830838535536232,140.18281813434137,600.2657920415554,0.23353457750368814,0.4215087890625
36.0,393,225,623120640,353894400,0.5679388183963863,154.51916220650537,603.3425041063762,0.256105215785132,0.3155517578125
37.0,393,213,623120640,335020032,0.5376487480819123,147.28679455203996,607.1224062956302,0.2425981861725601,0.453125
38.0,393,195,623120640,306708480,0.49221364261020145,118.25059282555483,610.3746469384555,0.19373444394959957,0.1513671875
39.0,393,207,623120640,325582848,0.5225037129246753,133.9902436775607,615.2276285716415,0.21778970490750305,0.2445068359375
40.0,393,204,623120640,320864256,0.5149311953460569,134.30394087617142,621.2178076280172,0.21619460876207222,0.38385009765625
41.0,393,219,623120640,344457216,0.5527937832391493,137.00550730975425,627.5446647219688,0.21831993005701672,0.466796875
42.0,393,240,623120640,377487360,0.6058014062894788,129.88080250313405,634.5225239356384,0.20469061003153335,0.220703125
43.0,393,228,623120640,358612992,0.5755113359750048,150.15136466360468,638.3708746160373,0.2352102369236639,0.3310546875
44.0,393,204,623120640,320864256,0.5149311953460569,142.29084172500743,641.0560942578328,0.22196316827740514,0.4462890625
45.0,393,183,623120640,287834112,0.4619235722957275,137.5759304770583,645.7194839456383,0.21305835412679064,0.21826171875
46.0,393,216,623120640,339738624,0.5452212656605309,157.16736459218916,649.0284195718446,0.24215790842544366,0.3095703125
47.0,393,234,623120640,368050176,0.5906563711322418,133.8010553978556,648.1137323943252,0.20644687608076848,0.578125
