layer,router,tensor,safe_lambda_proxy,max_relative_norm_cap,boundary_fragility_score,fragility_rank,source
0,model.layers.0.mlp.gate,model.layers.0.mlp.gate.weight,0.019725152295719,0.02011965534163338,0.610124017672807,26.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
1,model.layers.1.mlp.gate,model.layers.1.mlp.gate.weight,0.0375486281655878,0.038299600728899555,0.5906180643775372,29.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
2,model.layers.2.mlp.gate,model.layers.2.mlp.gate.weight,0.05,0.05,0.4983130589685647,35.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
3,model.layers.3.mlp.gate,model.layers.3.mlp.gate.weight,0.05,0.05,0.4980506753143536,36.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
4,model.layers.4.mlp.gate,model.layers.4.mlp.gate.weight,0.0308160111076799,0.0314323313298335,0.702556622610739,8.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
5,model.layers.5.mlp.gate,model.layers.5.mlp.gate.weight,0.0428017125109017,0.043657746761119734,0.5796376499260427,30.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
6,model.layers.6.mlp.gate,model.layers.6.mlp.gate.weight,0.0398315481941232,0.040628179158005664,0.6117067901140328,25.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
7,model.layers.7.mlp.gate,model.layers.7.mlp.gate.weight,0.0430990474492743,0.043961028398259785,0.6292831220772809,23.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
8,model.layers.8.mlp.gate,model.layers.8.mlp.gate.weight,0.0407280775293681,0.041542639079955465,0.6342819324179406,22.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
9,model.layers.9.mlp.gate,model.layers.9.mlp.gate.weight,0.0432279673922759,0.044092526740121415,0.638907282797794,19.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
10,model.layers.10.mlp.gate,model.layers.10.mlp.gate.weight,0.0476791985803765,0.048632782551984034,0.6437373090713654,17.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
11,model.layers.11.mlp.gate,model.layers.11.mlp.gate.weight,0.0351509541706301,0.0358539732540427,0.7150612239054778,5.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
12,model.layers.12.mlp.gate,model.layers.12.mlp.gate.weight,0.0337791466524588,0.03445472958550797,0.7180486088801276,3.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
13,model.layers.13.mlp.gate,model.layers.13.mlp.gate.weight,0.0383809671425183,0.03914858648536866,0.7121989834961976,6.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
14,model.layers.14.mlp.gate,model.layers.14.mlp.gate.weight,0.0444305271260828,0.04531913766860446,0.6738385844590983,14.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
15,model.layers.15.mlp.gate,model.layers.15.mlp.gate.weight,0.043752579922969,0.04462763152142838,0.7040261505411557,7.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
16,model.layers.16.mlp.gate,model.layers.16.mlp.gate.weight,0.05,0.05,0.6523533636196356,16.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
17,model.layers.17.mlp.gate,model.layers.17.mlp.gate.weight,0.0261472695616825,0.02667021495291615,0.7522782693160674,1.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
18,model.layers.18.mlp.gate,model.layers.18.mlp.gate.weight,0.0391078749531843,0.03989003245224799,0.7267264234701402,2.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
19,model.layers.19.mlp.gate,model.layers.19.mlp.gate.weight,0.0435500875772565,0.04442108932880163,0.6910587222117991,9.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
20,model.layers.20.mlp.gate,model.layers.20.mlp.gate.weight,0.0439002163192812,0.04477822064566682,0.7157207652220607,4.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
21,model.layers.21.mlp.gate,model.layers.21.mlp.gate.weight,0.0425089811096892,0.043359160731882986,0.6384504703792714,20.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
22,model.layers.22.mlp.gate,model.layers.22.mlp.gate.weight,0.05,0.05,0.6759821871522769,13.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
23,model.layers.23.mlp.gate,model.layers.23.mlp.gate.weight,0.05,0.05,0.6413009152389366,18.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
24,model.layers.24.mlp.gate,model.layers.24.mlp.gate.weight,0.0392231643279266,0.04000762761448513,0.6789523527185288,12.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
25,model.layers.25.mlp.gate,model.layers.25.mlp.gate.weight,0.0459238885889008,0.04684236636067882,0.6884115111160187,11.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
26,model.layers.26.mlp.gate,model.layers.26.mlp.gate.weight,0.05,0.05,0.6268139173311607,24.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
27,model.layers.27.mlp.gate,model.layers.27.mlp.gate.weight,0.05,0.05,0.637854889478782,21.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
28,model.layers.28.mlp.gate,model.layers.28.mlp.gate.weight,0.05,0.05,0.6094121825788945,27.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
29,model.layers.29.mlp.gate,model.layers.29.mlp.gate.weight,0.0396018799605637,0.04039391755977497,0.6909916965645019,10.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
30,model.layers.30.mlp.gate,model.layers.30.mlp.gate.weight,0.05,0.05,0.6008843998759511,28.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
31,model.layers.31.mlp.gate,model.layers.31.mlp.gate.weight,0.05,0.05,0.4995590033061621,34.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
32,model.layers.32.mlp.gate,model.layers.32.mlp.gate.weight,0.05,0.05,0.5020902252993147,33.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
33,model.layers.33.mlp.gate,model.layers.33.mlp.gate.weight,0.05,0.05,0.429587283988726,44.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
34,model.layers.34.mlp.gate,model.layers.34.mlp.gate.weight,0.05,0.05,0.4864069751203654,39.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
