group_count,route_mass,weighted_boundary_fragility,weighted_safe_lambda_proxy,weighted_router_instability_feature,weighted_scale,weighted_scale_shrink,weighted_expected_delta,weighted_benefit,weighted_curvature,weighted_interference,layer_id,boundary_fragility_score,safe_lambda_proxy,unsafe_fraction,fragility_rank,router_margin_action,route_mass_weighted_router_undercoverage,route_mass_weighted_router_residual_pressure,router_coupled_risk_sum,top_expert_id
108,11.999999999999977,0.7157207652220609,0.043900216319281204,0.9581971110282541,0.9726145896641969,0.020508645894448747,0.22476392202071985,0.3607931013723567,0.5807010757756194,0.5662788614682872,20,0.7157207652220607,0.0439002163192812,1.0,4,freeze_router_prioritize_calibration,0.0,0.0,6.577561492367927,38
108,11.999999999999977,0.7522782693160673,0.026147269561682493,0.8117491346958771,0.9631040931189261,0.021899414289193616,0.23114450553510757,0.3538523670379596,0.625526928779402,0.5780365062541919,17,0.7522782693160674,0.0261472695616825,1.0,1,freeze_router_prioritize_calibration,0.1708206631678866,0.06751946898997578,6.380211258764486,83
111,11.999999999999979,0.7040261505411559,0.043752579922969,0.8982509547508291,0.964951331923385,0.02206656263933687,0.23468849147114434,0.3553748891322182,0.6136302640196981,0.5880033061599411,15,0.7040261505411557,0.043752579922969,1.0,7,freeze_router_prioritize_calibration,0.0,0.0,6.3322973416826445,10
112,11.999999999999979,0.7267264234701402,0.0391078749531843,0.8973962096945233,0.9633837468955682,0.020176958389574028,0.21736170905966004,0.3532583685898708,0.5583341071530148,0.5500628253405406,18,0.7267264234701402,0.0391078749531843,1.0,2,freeze_router_prioritize_calibration,0.01306805283524548,0.005482957191912224,6.3294732430507015,8
111,11.999999999999975,0.6759821871522769,0.05000000000000002,0.9789789719039207,0.9673893351793715,0.020667616661767804,0.22060873681385013,0.3507574200487789,0.5859955701207635,0.5654570578010683,22,0.6759821871522769,0.05,1.0,13,freeze_router_prioritize_calibration,0.0,0.0,6.305718477096695,98
109,11.999999999999979,0.6910587222117994,0.04355008757725651,0.9365491605559763,0.966386009857808,0.01883881113568015,0.2158711490335868,0.36282028969861746,0.5546360594953197,0.5472634994918172,19,0.6910587222117991,0.0435500875772565,1.0,9,freeze_router_prioritize_calibration,0.0,0.0,6.167694700812252,109
107,11.999999999999975,0.6738385844590983,0.04443052712608281,0.9220238175351753,0.9695848501455916,0.022517824255239446,0.2318732710239175,0.34609891014350663,0.6027142680824522,0.5801703843608087,14,0.6738385844590983,0.0444305271260828,1.0,14,freeze_router_prioritize_calibration,0.0,0.0,6.1189913036151244,107
116,11.999999999999977,0.6789523527185289,0.0392231643279266,0.9099099082590626,0.9731501430804386,0.0208280628728197,0.22511701440770418,0.3457352587019566,0.5678606654061258,0.565090355884833,24,0.6789523527185288,0.0392231643279266,1.0,12,freeze_router_prioritize_calibration,0.0,0.0,6.014372122107408,65
119,11.999999999999975,0.7180486088801276,0.03377914665245879,0.790471981734179,0.9695679511091829,0.02046248221996168,0.22636345399446522,0.35951981747798883,0.5841033612482509,0.5659138552437869,12,0.7180486088801276,0.0337791466524588,1.0,3,freeze_router_prioritize_calibration,0.09842458030850887,0.034483037844754094,5.882888628528569,56
105,11.999999999999972,0.7121989834961978,0.0383809671425183,0.7728592675927292,0.9732332104189446,0.02090532955648025,0.232033201566057,0.35291663268983997,0.5854275553711052,0.5586905575954625,13,0.7121989834961976,0.0383809671425183,1.0,6,freeze_router_prioritize_calibration,0.1003292611935356,0.03797868565544559,5.747096779754064,104
