layer_id,expert_id,dominant_source,dominant_category,total_topk_fraction,boundary_fragility_score,safe_lambda_proxy,feature_router_instability,router_undercoverage,router_coupled_risk,router_residual_pressure,prior_scale,mechanistic_selected_scale,scale_shrink,benefit_score,curvature_score,interference_score,mechanistic_expected_max_relative_delta_norm,mechanistic_reason,trust_risk_flags
20,38,instruct,general,1.1554961346703905,0.7157207652220607,0.0439002163192812,0.958197111028254,0.0,0.6713797390055951,0.0,1.0,0.9808168822823582,0.019183117717641807,0.4218608525325605,0.6789688411136279,0.6518897941376428,0.1895354124573616,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
25,104,instruct,general,1.3000191310821172,0.6884115111160187,0.0459238885889008,0.7764958971777393,0.03120000919904653,0.6547143502873479,0.0678527954540005,1.0,0.9798111960343834,0.02018880396561662,0.436743107477835,0.7004012539534274,0.672874184584083,0.2367950933429635,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
18,8,instruct,code,0.9657491055361952,0.7267264234701402,0.0391078749531843,0.8973962096945233,0.01306805283524548,0.5324746262147934,0.020729184891950102,1.0,0.9885404401533804,0.011459559846619616,0.5739923844856162,0.5974563881790631,0.6425062429464324,0.29610218365228,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
11,21,instruct,code,0.9516968845832507,0.7150612239054778,0.0351509541706301,0.6853191602072622,0.1976201039219413,0.4819860783302009,0.32259473838456626,1.0,0.9827093117482334,0.017290688251766606,0.5630295006942337,0.7471507324329785,0.7152503185959517,0.3160749904964973,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
21,10,instruct,code,1.036648292845456,0.6384504703792714,0.0425089811096892,0.8183140979899989,0.0,0.47455109935229633,0.0,1.0,0.9892775238229832,0.010722476177016826,0.5612733814968262,0.6044770725764994,0.626928939808978,0.2649730771073871,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
23,21,instruct,code,0.939254640138782,0.6413009152389366,0.05,0.864864866751547,0.0,0.4683885010791467,0.0,1.0,0.9848754776279004,0.015124522372099602,0.5607368096490885,0.6931232890507093,0.687581095181004,0.2886602767338953,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
17,83,instruct,safety,0.7944075126185453,0.7522782693160674,0.0261472695616825,0.8117491346958773,0.17082066316788658,0.45864881206999947,0.22992855128106937,1.0,0.9762421103104636,0.023757889689536404,0.3948963733916381,0.7519870389742935,0.6943735247757307,0.2330243882368234,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
24,65,instruct,safety,0.8475520903364337,0.6789523527185288,0.0392231643279266,0.9099099082590628,0.0,0.4581660684043407,0.0,1.0,0.9776820859616554,0.0223179140383446,0.4169303268462217,0.6807806782157777,0.6841632220037891,0.270958984793849,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
22,98,instruct,safety,0.7477139885397319,0.6759821871522769,0.05,0.9789789719039208,0.0,0.4104703549277775,0.0,1.0,0.9798682632712206,0.020131736728779437,0.37644097215166,0.6598857267757989,0.6305677639859945,0.1604276649065581,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
15,10,instruct,code,0.7141890479977935,0.7040261505411557,0.043752579922969,0.898250954750829,0.0,0.4060427224649793,0.0,1.0,0.9826147505521372,0.017385249447862794,0.5876401153367736,0.7073484152010509,0.7263521482390692,0.3628297496295953,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
20,116,instruct,safety,0.6731124133444417,0.7157207652220607,0.0439002163192812,0.958197111028254,0.0,0.3878900596394332,0.0,1.0,0.9786268821888914,0.021373117811108622,0.4598412318449848,0.6151478760665229,0.6890626150436473,0.3569249000946777,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
9,10,instruct,code,1.0058141404387229,0.638907282797794,0.0432279673922759,0.6618339212375192,0.012189534905389099,0.3792195178022047,0.018290106925389477,1.0,0.9987504430222646,0.0012495569777354332,0.5691314746100803,0.5449811018125449,0.491802642609933,0.2781778705872438,balanced,high_load_expert|shared_mixed_expert
22,53,instruct,safety,0.6658833592598534,0.6759821871522769,0.05,0.9789789719039208,0.0,0.3682918763806939,0.0,1.0,0.97798506361551,0.022014936384490036,0.4684387702776065,0.6125974649853508,0.7022389434077094,0.3782885595832683,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
14,107,instruct,code,0.6818266665087781,0.6738385844590983,0.0444305271260828,0.9220238175351751,0.0,0.36594486746316945,0.0,1.0,0.985718328624029,0.014281671375971028,0.568146395634269,0.6632596022715347,0.6786929256657332,0.2999062163164716,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
26,107,instruct,code,0.8161405545580667,0.6268139173311607,0.05,0.7835499661653632,0.0,0.3571799391225902,0.0,1.0,0.9891529467394448,0.01084705326055524,0.5734054402568391,0.5925345758160463,0.6331888030759809,0.2933774220986729,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
35,21,instruct,code,1.0404364737505725,0.5526210796949671,0.05,0.705035763762455,0.0,0.3545293648823466,0.0,1.0,0.9978574123458328,0.002142587654167194,0.5673166756239604,0.5527765544986913,0.5035841568933724,0.2739592196236716,balanced,high_load_expert|shared_mixed_expert
20,46,instruct,code,0.5982760056035913,0.7157207652220607,0.0439002163192812,0.958197111028254,0.0,0.3465766278809914,0.0,1.0,0.9855004800492178,0.014499519950782247,0.6030132740626415,0.6286736765297138,0.6924640299676831,0.3766355510347953,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
19,109,instruct,math,0.6630204600275509,0.6910587222117991,0.0435500875772565,0.936549160555976,0.0,0.3459785146684186,0.0,1.0,0.9868653482456096,0.013134651754390436,0.4696189703090869,0.5544686356525659,0.5928523521725281,0.2344114577403881,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
10,53,instruct,code,0.8934067070767567,0.6437373090713654,0.0476791985803765,0.5870988837322022,0.10181167943238678,0.3371610119215026,0.14612250949913544,1.0,0.9909504546673836,0.009049545332616371,0.5794333405623261,0.564322431828747,0.6064614644426166,0.3139014253177983,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
19,9,instruct,safety,0.6148842913551962,0.6910587222117991,0.0435500875772565,0.936549160555976,0.0,0.3281530040382416,0.0,1.0,0.9818700848475944,0.018129915152405585,0.3962203462682276,0.6063053706609709,0.609668263899544,0.2095602101379252,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
29,83,instruct,safety,0.6500161327132263,0.6909916965645019,0.0396018799605637,0.8048417441917518,0.009340908837128126,0.32658857412504955,0.00982612779288814,1.0,0.9801032372340028,0.019896762765997167,0.3642287200293114,0.680445009223928,0.6183376536501065,0.1355407455242381,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
13,104,instruct,code,0.6229142150026461,0.7121989834961976,0.0383809671425183,0.7728592675927292,0.10032926119353558,0.32190133316129615,0.10234307036021204,1.0,0.986491013452774,0.013508986547225987,0.4967950375929373,0.7190739041096084,0.6375802281987093,0.1157472101714516,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
15,59,instruct,math,0.5840436580707016,0.7040261505411557,0.043752579922969,0.898250954750829,0.0,0.3177485597764829,0.0,1.0,0.9837862936202756,0.016213706379724413,0.4397359796683543,0.6732913126195277,0.6212813223091233,0.1812077983821356,route_important_fragile_boundary,high_load_expert|fragile_router_layer
22,69,instruct,general,0.5826018017600676,0.6759821871522769,0.05,0.9789789719039208,0.0,0.3152861678228289,0.0,1.0,0.9826373921807968,0.01736260781920318,0.3544,0.6676242963979557,0.5766869272379502,0.0,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
