layer,router,probe_rows,calibrate_rows,freeze_rows,small_lambda_rows,passed_rows,unsafe_rows,mean_topk_jaccard,min_topk_jaccard,mean_top1_agreement,min_top1_agreement,mean_top1_margin,min_top1_margin,mean_risk_score,max_risk_score,router_relative_delta_norm,router_max_abs_delta,move_decision,recommended_router_lambda,reason,unsafe_fraction,low_margin_score,low_overlap_score,low_top1_agreement_score,router_movement_score,margin_delta_ratio_proxy,min_margin_delta_ratio_proxy,safe_lambda_proxy,boundary_fragility_score,fragility_rank,router_margin_action
17,model.layers.17.mlp.gate,12,12,0,0,0,12,0.3949476748034603,0.3112784651246189,0.3775229603052139,0.25,0.029752030968666,0.0220774989575147,2.833333333333333,3,0.844351985029753,1.2841796875,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.865924163804992,0.6050523251965396,0.6224770396947861,0.9463898604827377,28.379641911471545,38.244911104043055,0.026147269561682552,0.7522782693160674,1,freeze_router_prioritize_calibration
18,model.layers.18.mlp.gate,12,12,0,0,0,12,0.3840435971768267,0.3073684935753901,0.3528055883944034,0.1818181872367859,0.0401512018094459,0.033991053700447,2.833333333333333,3,0.8691613579397345,1.315093994140625,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.6597324149381834,0.6159564028231733,0.6471944116055965,0.9879627782276821,21.647206528579108,25.570297572984757,0.0391078749531843,0.7267264234701402,2,freeze_router_prioritize_calibration
12,model.layers.12.mlp.gate,12,12,0,0,0,12,0.4167103276438216,0.3447552447552447,0.3455754021803538,0.2258064448833465,0.0374290238445003,0.0278167128562927,2.9166666666666665,3,0.8234877317206551,1.2373046875,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.7137069715555,0.5832896723561785,0.6544245978196461,0.9114277560484163,22.001314678733085,29.604063426723897,0.033779146652458854,0.7180486088801276,3,freeze_router_prioritize_calibration
20,model.layers.20.mlp.gate,12,12,0,0,0,12,0.4014950098885486,0.3188424478747059,0.3222217032064994,0.0689655169844627,0.0397130449612935,0.0355096980929374,3.0,3,0.8088729639662686,1.3212890625,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.668420062076764,0.5985049901114514,0.6777782967935007,0.8869378771659826,20.367941182919626,22.77893103594556,0.043900216319281274,0.7157207652220607,4,freeze_router_prioritize_calibration
11,model.layers.11.mlp.gate,12,12,0,0,0,12,0.425886853671104,0.3761518175311278,0.3456275115410487,0.2758620679378509,0.0372062097303568,0.0287918522953987,2.9166666666666665,3,0.8190916285127567,1.482666015625,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.7181248653059609,0.574113146328896,0.6543724884589512,0.9040612322058599,22.01491725303194,28.44872987361282,0.03515095417063011,0.7150612239054778,5,freeze_router_prioritize_calibration
13,model.layers.13.mlp.gate,12,12,0,0,0,12,0.4240443219484848,0.3821325341325341,0.355269360045592,0.1935483813285827,0.0397526615609724,0.032826080918312,2.833333333333333,3,0.8552697694255701,1.2197265625,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.6676345556073523,0.5759556780515152,0.6447306399544079,0.9646847264711373,21.514780038407295,26.05458054995711,0.0383809671425183,0.7121989834961976,6,freeze_router_prioritize_calibration
15,model.layers.15.mlp.gate,12,12,0,0,0,12,0.4059805042993012,0.3414746173366863,0.334207896143198,0.1379310339689254,0.0425664621094862,0.0360800959169864,2.6666666666666665,3,0.8246392779696452,1.218994140625,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.6118433329278206,0.5940194957006988,0.665792103856802,0.9133573952078767,19.372981382586392,22.85579505849948,0.04375257992296906,0.7040261505411557,7,freeze_router_prioritize_calibration
4,model.layers.4.mlp.gate,12,11,0,1,0,11,0.4725039576760432,0.4312431158585005,0.3831718737880389,0.21875,0.0306932918416956,0.0244286302477121,2.75,3,0.7927252544903206,1.40234375,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,0.9166666666666666,0.8472611157099657,0.5274960423239567,0.616828126211961,0.8598792570126794,25.8273129704985,32.45066327714238,0.030816011107679907,0.702556622610739,8,freeze_router
19,model.layers.19.mlp.gate,12,12,0,0,0,12,0.3891517712641179,0.3226645149722073,0.342228668431441,0.1290322542190551,0.0466374816993871,0.0359361469745636,2.583333333333333,3,0.825168190782946,1.2421875,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.5311243350610875,0.6108482287358821,0.6577713315685589,0.9142436912445151,17.693240730744478,22.96206633858155,0.0435500875772565,0.6910587222117991,9,freeze_router_prioritize_calibration
29,model.layers.29.mlp.gate,12,12,0,0,0,12,0.4360013445528594,0.3615321186749757,0.3032418626050154,0.1923076957464218,0.0288947431060174,0.0222609788179397,3.0,3,0.5621192438365952,0.6494140625,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.8829222193604047,0.5639986554471406,0.6967581373949846,0.47345414473021813,19.454031543873892,25.251326477324255,0.03960187996056374,0.6909916965645019,10,freeze_router_prioritize_calibration
25,model.layers.25.mlp.gate,12,12,0,0,0,12,0.4266735933816619,0.3745800865800865,0.2904110712309678,0.2000000029802322,0.0399083939070502,0.0322256498038768,2.9166666666666665,3,0.7017186652539982,0.93603515625,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.6645467397338991,0.5733264066183381,0.7095889287690322,0.7073800599431965,17.583234917655577,21.77515952431098,0.04592388858890082,0.6884115111160187,11,freeze_router_prioritize_calibration
24,model.layers.24.mlp.gate,12,12,0,0,0,12,0.3559330332305426,0.2906350060196214,0.2938347235321998,0.1923076957464218,0.0503493143866459,0.0293304212391376,2.4166666666666665,3,0.7477831465589972,1.038330078125,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.4575271911151879,0.6440669667694574,0.7061652764678001,0.7845700356513602,14.851903261612854,25.495138322840678,0.03922316432792664,0.6789523527185288,12,freeze_router_prioritize_calibration
22,model.layers.22.mlp.gate,12,12,0,0,0,12,0.2840034777935717,0.2422377622377622,0.2473132920761903,0.1333333402872085,0.0623834061746795,0.0411837697029113,2.25,3,0.7937036525022558,1.0966796875,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.21891870301650984,0.7159965222064283,0.7526867079238098,0.8615187527072937,12.722993199182001,19.27224385304749,0.05,0.6759821871522769,13,freeze_router_prioritize_calibration
14,model.layers.14.mlp.gate,12,12,0,0,0,12,0.4015377608582707,0.3432511932511932,0.3263211802889903,0.0769230797886848,0.0520657645538448,0.0373776480555534,2.6666666666666665,3,0.8412605132836908,1.25146484375,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.42349391411298765,0.5984622391417294,0.6736788197110097,0.9412094997748637,16.157652163422767,22.507047849381742,0.04443052712608284,0.6738385844590983,14,freeze_router_prioritize_calibration
47,model.layers.47.mlp.gate,12,12,0,0,0,12,0.485421511371908,0.4472492784992785,0.393631091962258,0.2307692319154739,0.0275152255780994,0.0191504582762718,2.583333333333333,3,0.5913647650179943,0.19140625,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.9102748935330791,0.514578488628092,0.606368908037742,0.5224606895910586,21.49227391719761,30.879927596861712,0.03238349561744532,0.6663898557431377,15,freeze_router_prioritize_calibration
16,model.layers.16.mlp.gate,12,12,0,0,0,12,0.4099798485801158,0.3377533577533577,0.399077832698822,0.2800000011920929,0.0507559580728411,0.0426349379122257,2.5,3,0.8175587948553278,1.20703125,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.,1.0,0.44946437782882165,0.5900201514198842,0.600922167301178,0.9014926720174103,16.10764185914941,19.17579419344927,0.05,0.6523533636196356,16,freeze_router_prioritize_calibration
