category,prompt_idx,layer,router,top1_margin_mean,top1_agreement,topk_jaccard,risk_score,router_relative_delta_norm,slice_fragility_score,recommended_action,risk_flags
agentic_code,10,14,model.layers.14.mlp.gate,0.0422136560082435,0.0769230797886848,0.3476574707343938,3,0.8412605132836908,0.8146701465101572,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
code,4,20,model.layers.20.mlp.gate,0.037463117390871,0.0689655169844627,0.3854513302789165,3,0.8088729639662686,0.8072778309590887,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
safety,6,22,model.layers.22.mlp.gate,0.0411837697029113,0.1785714328289032,0.2581355152783724,3,0.7937036525022558,0.8063500399463835,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
math,3,18,model.layers.18.mlp.gate,0.0382057651877403,0.1818181872367859,0.3438184710911983,3,0.8691613579397345,0.8051297701172356,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
long_context,11,19,model.layers.19.mlp.gate,0.0359361469745636,0.1290322542190551,0.379349682575489,3,0.825168190782946,0.8014330646408584,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
code,4,15,model.layers.15.mlp.gate,0.0411973446607589,0.1379310339689254,0.3414746173366863,3,0.8246392779696452,0.7992553520598936,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
code,5,18,model.layers.18.mlp.gate,0.0355890244245529,0.2000000029802322,0.3738128538128538,3,0.8691613579397345,0.7971478426391364,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
agentic_code,10,17,model.layers.17.mlp.gate,0.0249823238700628,0.3461538553237915,0.3112784651246189,3,0.844351985029753,0.7956781334538694,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
safety,6,17,model.layers.17.mlp.gate,0.0261512417346239,0.25,0.387586223300509,3,0.844351985029753,0.794339753323271,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
general,1,17,model.layers.17.mlp.gate,0.028352566063404,0.2800000011920929,0.352037296037296,3,0.844351985029753,0.7928255510178053,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
safety,6,15,model.layers.15.mlp.gate,0.03743402287364,0.1428571492433548,0.392614528328814,3,0.8246392779696452,0.7906807311237694,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
code,5,14,model.layers.14.mlp.gate,0.0373776480555534,0.2000000029802322,0.3717327117327117,3,0.8412605132836908,0.7869572021412773,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
safety,7,24,model.layers.24.mlp.gate,0.0293304212391376,0.1923076957464218,0.3590588898281205,3,0.7477831465589972,0.7862907597440465,calibrate_router_before_average,low_topk_route_overlap|low_top1_route_agreement|fragile_topk_boundary
