router,layer,shape,numel,shape_match,base_norm,delta_norm,relative_delta_norm,max_abs_delta
model.layers.0.mlp.gate.weight,0,128x2048,262144,True,31.473495716510225,27.58163376227184,0.8763447826293789,1.1005859375
model.layers.1.mlp.gate.weight,1,128x2048,262144,True,26.13383195881466,19.31254108511002,0.7389861967255861,1.34228515625
model.layers.2.mlp.gate.weight,2,128x2048,262144,True,22.998673110502484,17.936704611339653,0.7799017154232584,1.3447265625
model.layers.3.mlp.gate.weight,3,128x2048,262144,True,22.857630070534572,17.13572368250162,0.7496719314130044,1.3828125
model.layers.4.mlp.gate.weight,4,128x2048,262144,True,21.253397591436705,16.84810501445563,0.7927252544903206,1.40234375
model.layers.5.mlp.gate.weight,5,128x2048,262144,True,20.756436372337767,16.275290190985267,0.7841081146605421,1.3408203125
model.layers.6.mlp.gate.weight,6,128x2048,262144,True,20.350533803176237,16.411007494733145,0.8064165615238935,1.330078125
model.layers.7.mlp.gate.weight,7,128x2048,262144,True,19.951503702728775,15.64514863014026,0.7841588715942481,1.384765625
model.layers.8.mlp.gate.weight,8,128x2048,262144,True,20.275602003913317,15.88271306612382,0.7833411339923894,1.59228515625
model.layers.9.mlp.gate.weight,9,128x2048,262144,True,20.43268008077264,16.084114227048687,0.7871759438050421,1.32586669921875
model.layers.10.mlp.gate.weight,10,128x2048,262144,True,20.168216530169754,16.57217527689721,0.8216976078230216,1.50732421875
model.layers.11.mlp.gate.weight,11,128x2048,262144,True,19.591157343171993,16.0469529726684,0.8190916285127567,1.482666015625
model.layers.12.mlp.gate.weight,12,128x2048,262144,True,19.776071843976624,16.285352545141023,0.8234877317206551,1.2373046875
model.layers.13.mlp.gate.weight,13,128x2048,262144,True,17.86323640451948,15.277886080887825,0.8552697694255701,1.2197265625
model.layers.14.mlp.gate.weight,14,128x2048,262144,True,18.380516417910094,15.462802676150352,0.8412605132836908,1.25146484375
model.layers.15.mlp.gate.weight,15,128x2048,262144,True,18.30728564707701,15.096906817589634,0.8246392779696452,1.218994140625
