layer,router,probe_rows,calibrate_rows,freeze_rows,small_lambda_rows,passed_rows,unsafe_rows,mean_topk_jaccard,min_topk_jaccard,mean_top1_agreement,min_top1_agreement,mean_top1_margin,min_top1_margin,mean_risk_score,max_risk_score,router_relative_delta_norm,router_max_abs_delta,move_decision,recommended_router_lambda,reason
0,model.layers.0.mlp.gate,12,3,0,9,0,3,0.6087723775801726,0.567738354835129,0.5289770762125651,0.3846153914928436,0.022989987706144608,0.0172860343009233,1.25,2,0.8763447826293789,1.1005859375,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.
41,model.layers.41.mlp.gate,12,5,0,7,0,5,0.5850009750524604,0.5251717171717172,0.510255848368009,0.3939394056797027,0.030905416080107256,0.0267786011099815,1.4166666666666667,2,0.2987983120056637,0.169921875,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.
43,model.layers.43.mlp.gate,12,5,0,3,4,5,0.5477884860339708,0.3936354832906557,0.5207589144508044,0.3793103396892547,0.05035172527035073,0.0430985800921916,1.0,3,0.2795771209946926,0.16015625,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.
42,model.layers.42.mlp.gate,12,6,0,2,4,6,0.5547397246986802,0.4982350982350982,0.48460397372643155,0.2727272808551788,0.052217952286203684,0.0442893803119659,0.9166666666666666,2,0.290632973085834,0.1630859375,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.
3,model.layers.3.mlp.gate,12,6,0,1,5,6,0.524975033550333,0.4785658785658785,0.5026376297076544,0.3600000143051147,0.05752692185342306,0.0439710207283496,0.75,3,0.7496719314130044,1.3828125,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.
2,model.layers.2.mlp.gate,12,7,0,0,5,7,0.5043560428157208,0.4456290376290376,0.53366819024086,0.3571428656578064,0.061081892810761866,0.0511839240789413,0.75,2,0.7799017154232584,1.3447265625,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.
44,model.layers.44.mlp.gate,12,7,0,4,1,7,0.5167495982252698,0.4203038340969375,0.46645086258649826,0.34375,0.04743188619613644,0.0429459102451801,1.75,3,0.2837352479277725,0.1435546875,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.
1,model.layers.1.mlp.gate,12,7,0,5,0,7,0.5042668707613754,0.4440811713538986,0.5351829305291176,0.3846153914928436,0.03512296468640363,0.027747917920351,1.8333333333333333,3,0.7389861967255861,1.34228515625,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.
40,model.layers.40.mlp.gate,12,8,0,1,3,8,0.5304527473219496,0.4443591963591963,0.49559350808461505,0.3793103396892547,0.05308441817760463,0.0448528565466403,1.1666666666666667,2,0.31284520040972486,0.240234375,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.
37,model.layers.37.mlp.gate,12,7,2,0,3,9,0.5534546155600938,0.5155591882864611,0.4952655682961146,0.4318181872367859,0.05481795469919837,0.0461822785437107,1.0,2,0.3444358481610833,0.231201171875,freeze_router,0.0,At least one observed category requires calibration/freeze; the router tensor is shared across categories.
