layer,tensor_count,changed_tensors,numel,changed_numel,changed_numel_fraction,delta_norm,base_norm,relative_delta_norm,max_abs_delta
,3,0,622331904,0,0.0,0.0,593.5562858340605,0.0,0.0
0.0,393,279,623120640,438829056,0.704244134811519,123.83883599007031,484.47723049731036,0.2556133254455553,0.3681640625
1.0,393,288,623120640,452984832,0.7269616875473744,129.85888874154315,561.1197770441117,0.2314281086751545,0.49560546875
2.0,393,252,623120640,396361728,0.6360914766039526,133.65232001068472,570.8032826672281,0.2341477774727559,0.24609375
3.0,393,246,623120640,386924544,0.6209464414467156,136.6911647106515,579.0934898903281,0.2360433454994267,0.259765625
4.0,393,240,623120640,377487360,0.6058014062894788,144.7185783994774,575.8721438062372,0.25130331438321946,0.1796875
5.0,393,201,623120640,316145664,0.5073586777674384,121.00943241861299,576.4713025942573,0.20991406141822136,0.1435546875
6.0,393,204,623120640,320864256,0.5149311953460569,137.90993597263994,576.3329774147337,0.2392886428107321,0.208984375
7.0,393,201,623120640,316145664,0.5073586777674384,130.5348472314162,579.2568438915521,0.22534882169791817,0.193359375
8.0,393,222,623120640,349175808,0.5603663008177678,150.52158499858922,575.7056485538407,0.26145580710680183,0.267578125
9.0,393,204,623120640,320864256,0.5149311953460569,140.72106258720908,571.6972257563172,0.24614613513480765,0.458984375
10.0,393,222,623120640,349175808,0.5603663008177678,146.79520488395985,569.0760725301761,0.25795357065583846,0.3447265625
11.0,393,204,623120640,320864256,0.5149311953460569,143.7842112424671,569.0495869168045,0.2526743091432706,0.20361328125
12.0,393,222,623120640,349175808,0.5603663008177678,155.91715077125076,566.3165190642196,0.27531803421324874,0.2890625
13.0,393,216,623120640,339738624,0.5452212656605309,143.09344369006192,564.3331119272542,0.25356201978186865,0.212890625
14.0,393,198,623120640,311427072,0.49978616018881994,137.35985846462052,564.2299081067202,0.24344661013368302,0.57421875
15.0,393,225,623120640,353894400,0.5679388183963863,144.2124781516727,568.2647795309686,0.2537769070796576,0.404296875
16.0,393,195,623120640,306708480,0.49221364261020145,139.49057292618065,569.0250223922943,0.24513961150554425,0.3515625
17.0,393,201,623120640,316145664,0.5073586777674384,154.37323713184105,566.7738791097579,0.2723718273225963,0.2734375
18.0,393,210,623120640,330301440,0.5300762305032939,138.09617862262118,573.0193889692871,0.24099739255074826,0.265625
19.0,393,183,623120640,287834112,0.4619235722957275,145.53393444413902,578.3037871831272,0.25165654742297905,0.365234375
20.0,393,213,623120640,335020032,0.5376487480819123,157.21537193819822,582.9986216298162,0.269666798694465,0.310546875
21.0,393,201,623120640,316145664,0.5073586777674384,147.3740218601656,584.602033037154,0.2520929000101499,0.328125
22.0,393,222,623120640,349175808,0.5603663008177678,170.88903559342978,582.090395694488,0.2935781742104562,0.296875
23.0,393,219,623120640,344457216,0.5527937832391493,156.36769820660479,575.5921053770496,0.2716640772968454,0.318359375
24.0,393,213,623120640,335020032,0.5376487480819123,153.96252537682471,578.6655167992692,0.266064800661402,0.259765625
25.0,393,228,623120640,358612992,0.5755113359750048,150.88938006681184,581.7427690201666,0.25937474104053904,0.2462158203125
26.0,393,207,623120640,325582848,0.5225037129246753,159.4527875538778,588.3087731898548,0.27103588255077804,0.53125
27.0,393,198,623120640,311427072,0.49978616018881994,140.22441880525145,590.751284800911,0.23736625279199935,0.18359375
28.0,393,207,623120640,325582848,0.5225037129246753,139.49827897982516,588.096575270023,0.23720301196410623,0.23095703125
29.0,393,207,623120640,325582848,0.5225037129246753,144.09727048409917,589.1473318327529,0.2445861377931276,0.224609375
30.0,393,204,623120640,320864256,0.5149311953460569,149.265981412015,592.2935107806794,0.2520135350044157,0.251953125
31.0,393,180,623120640,283115520,0.454351054717109,144.2867370092554,597.8105916097982,0.24135861598021666,0.240478515625
32.0,393,219,623120640,344457216,0.5527937832391493,149.8953433185421,601.763806833277,0.2490933180367753,0.4384765625
33.0,393,213,623120640,335020032,0.5376487480819123,138.07389853651307,599.7329051168182,0.23022565104980947,0.2548828125
34.0,393,210,623120640,330301440,0.5300762305032939,147.20990141947502,598.2708775455804,0.24605894577955542,0.17138671875
35.0,393,231,623120640,363331584,0.5830838535536232,140.19391799279975,600.2657920415554,0.23355306907626408,0.4332275390625
36.0,393,225,623120640,353894400,0.5679388183963863,155.71152422042582,603.3425041063762,0.25808147637643,0.3155517578125
37.0,393,213,623120640,335020032,0.5376487480819123,146.03631682802728,607.1224062956302,0.24053850642586372,0.43359375
38.0,393,195,623120640,306708480,0.49221364261020145,117.34746699382849,610.3746469384555,0.19225481854861629,0.142578125
39.0,393,207,623120640,325582848,0.5225037129246753,133.39870513665758,615.2276285716415,0.21682820949762285,0.2386474609375
40.0,393,204,623120640,320864256,0.5149311953460569,132.38291249388215,621.2178076280172,0.21310224991675145,0.39166259765625
41.0,393,219,623120640,344457216,0.5527937832391493,135.2809899403202,627.5446647219688,0.2155718908075745,0.4619140625
42.0,393,240,623120640,377487360,0.6058014062894788,128.71805910358944,634.5225239356384,0.20285814017320164,0.220703125
43.0,393,228,623120640,358612992,0.5755113359750048,146.1661346401216,638.3708746160373,0.22896742387884872,0.3369140625
44.0,393,204,623120640,320864256,0.5149311953460569,139.27842302558187,641.0560942578328,0.21726401834901532,0.416015625
45.0,393,183,623120640,287834112,0.4619235722957275,133.96833860602456,645.7194839456383,0.20747142054227227,0.20263671875
46.0,393,216,623120640,339738624,0.5452212656605309,154.1981386377098,649.0284195718446,0.23758303024609043,0.2880859375
47.0,393,234,623120640,368050176,0.5906563711322418,133.35546509654372,648.1137323943252,0.2057593573953277,0.546875
