layer,tensor_count,changed_tensors,numel,changed_numel,changed_numel_fraction,delta_norm,base_norm,relative_delta_norm,max_abs_delta
,3,0,622331904,0,0.0,0.0,593.5562858340605,0.0,0.0
0.0,393,279,623120640,438829056,0.704244134811519,124.81206793941926,484.47723049731036,0.2576221545258197,0.3583984375
1.0,393,288,623120640,452984832,0.7269616875473744,130.0469098190193,561.1197770441117,0.23176319056883968,0.49560546875
2.0,393,252,623120640,396361728,0.6360914766039526,134.90936997980847,570.8032826672281,0.2363500247395373,0.240234375
3.0,393,246,623120640,386924544,0.6209464414467156,137.09268796834186,579.0934898903281,0.23673671067223573,0.2578125
4.0,393,240,623120640,377487360,0.6058014062894788,146.33764330227316,575.8721438062372,0.2541148150265646,0.1796875
5.0,393,201,623120640,316145664,0.5073586777674384,121.78591801783546,576.4713025942573,0.2112610245640503,0.1435546875
6.0,393,204,623120640,320864256,0.5149311953460569,140.4655390014942,576.3329774147337,0.24372289024928395,0.208984375
7.0,393,201,623120640,316145664,0.5073586777674384,132.20614690497547,579.2568438915521,0.22823406973802968,0.193359375
8.0,393,222,623120640,349175808,0.5603663008177678,153.21937891103414,575.7056485538407,0.2661418717984055,0.267578125
9.0,393,204,623120640,320864256,0.5149311953460569,142.46562833100074,571.6972257563172,0.24919769051271545,0.458984375
10.0,393,222,623120640,349175808,0.5603663008177678,149.78893393153538,569.0760725301761,0.26321425405492266,0.353515625
11.0,393,204,623120640,320864256,0.5149311953460569,146.78262619939238,569.0495869168045,0.2579434720174081,0.20361328125
12.0,393,222,623120640,349175808,0.5603663008177678,159.21937298414187,566.3165190642196,0.2811490882293804,0.2890625
13.0,393,216,623120640,339738624,0.5452212656605309,144.82981501585184,564.3331119272542,0.2566388750807896,0.232421875
14.0,393,198,623120640,311427072,0.49978616018881994,140.36626494533309,564.2299081067202,0.24877494604341988,0.59765625
15.0,393,225,623120640,353894400,0.5679388183963863,148.9163345492601,568.2647795309686,0.2620544857138109,0.44140625
16.0,393,195,623120640,306708480,0.49221364261020145,144.16404288344563,569.0250223922943,0.25335273003874476,0.3759765625
17.0,393,201,623120640,316145664,0.5073586777674384,159.7644164903817,566.7738791097579,0.28188387358522343,0.296875
18.0,393,210,623120640,330301440,0.5300762305032939,142.68755336899162,573.0193889692871,0.24900999183579012,0.291015625
19.0,393,183,623120640,287834112,0.4619235722957275,150.47708713770191,578.3037871831272,0.2602042221972367,0.369140625
20.0,393,213,623120640,335020032,0.5376487480819123,160.39793216060323,582.9986216298162,0.27512574851755023,0.310546875
21.0,393,201,623120640,316145664,0.5073586777674384,150.08636292501583,584.602033037154,0.2567325367400445,0.34375
22.0,393,222,623120640,349175808,0.5603663008177678,176.59095006696575,582.090395694488,0.3033737566761882,0.296875
23.0,393,219,623120640,344457216,0.5527937832391493,159.73312208178143,575.5921053770496,0.2775109675577396,0.3466796875
24.0,393,213,623120640,335020032,0.5376487480819123,157.6693091580202,578.6655167992692,0.27247054573102103,0.259765625
25.0,393,228,623120640,358612992,0.5755113359750048,154.8991069728248,581.7427690201666,0.26626735255123574,0.2540283203125
26.0,393,207,623120640,325582848,0.5225037129246753,161.99746793590126,588.3087731898548,0.2753612988933323,0.53125
27.0,393,198,623120640,311427072,0.49978616018881994,143.49705209096615,590.751284800911,0.24290603471023525,0.18359375
28.0,393,207,623120640,325582848,0.5225037129246753,142.08464994123503,588.096575270023,0.24160087971265135,0.2373046875
29.0,393,207,623120640,325582848,0.5225037129246753,146.89407453005697,589.1473318327529,0.24933334429792045,0.224609375
30.0,393,204,623120640,320864256,0.5149311953460569,153.310028809709,592.2935107806794,0.2588413109703615,0.27392578125
31.0,393,180,623120640,283115520,0.454351054717109,147.41042244217942,597.8105916097982,0.24658382523004357,0.245361328125
32.0,393,219,623120640,344457216,0.5527937832391493,151.61257648753866,601.763806833277,0.2519469844578805,0.4423828125
33.0,393,213,623120640,335020032,0.5376487480819123,139.268572073901,599.7329051168182,0.23221766037128436,0.26171875
34.0,393,210,623120640,330301440,0.5300762305032939,148.4597422694156,598.2708775455804,0.24814803434603905,0.17236328125
35.0,393,231,623120640,363331584,0.5830838535536232,141.10918500843337,600.2657920415554,0.23507783864962375,0.4332275390625
36.0,393,225,623120640,353894400,0.5679388183963863,156.90636070177663,603.3425041063762,0.26006183823262063,0.3155517578125
37.0,393,213,623120640,335020032,0.5376487480819123,146.30797997629702,607.1224062956302,0.2409859666833879,0.4541015625
38.0,393,195,623120640,306708480,0.49221364261020145,118.069602829388,610.3746469384555,0.19343792115482975,0.1513671875
39.0,393,207,623120640,325582848,0.5225037129246753,134.04256193668175,615.2276285716415,0.21787474377229285,0.2415771484375
40.0,393,204,623120640,320864256,0.5149311953460569,129.71128088892962,621.2178076280172,0.2088016140171568,0.39166259765625
41.0,393,219,623120640,344457216,0.5527937832391493,133.69923106242052,627.5446647219688,0.2130513389380108,0.466796875
42.0,393,240,623120640,377487360,0.6058014062894788,128.6829187370679,634.5225239356384,0.2028027593707936,0.220703125
43.0,393,228,623120640,358612992,0.5755113359750048,145.9622268027692,638.3708746160373,0.22864800479903083,0.3369140625
44.0,393,204,623120640,320864256,0.5149311953460569,139.51314242172086,641.0560942578328,0.21763016321253265,0.4130859375
45.0,393,183,623120640,287834112,0.4619235722957275,135.42702184737882,645.7194839456383,0.2097304250753879,0.20166015625
46.0,393,216,623120640,339738624,0.5452212656605309,155.56045758441914,649.0284195718446,0.23968204302523502,0.3115234375
47.0,393,234,623120640,368050176,0.5906563711322418,133.58137904036764,648.1137323943252,0.20610792884588053,0.5546875
