layer,expert,tensor_count,changed_tensors,max_relative_delta_norm,mean_relative_delta_norm,target_cap,delta_scale,scaled,predicted_max_relative_delta_norm
0,0,3,3,0.2731123553081956,0.26616490720575775,0.65,1.0,False,0.2731123553081956
0,1,3,3,0.2405271261440417,0.2359308739178918,0.65,1.0,False,0.2405271261440417
0,2,3,3,0.2023936860414864,0.19694953387918168,0.65,1.0,False,0.2023936860414864
0,3,3,3,0.159140282658745,0.15081893624992393,0.65,1.0,False,0.159140282658745
0,4,3,3,0.181967564690576,0.17951572492077236,0.65,1.0,False,0.181967564690576
0,5,3,0,0.0,0.0,0.65,1.0,False,0.0
0,6,3,3,0.4726987828423757,0.4668542476102875,0.65,1.0,False,0.4726987828423757
0,7,3,3,0.1953359679555319,0.19017485946350346,0.65,1.0,False,0.1953359679555319
0,8,3,0,0.0,0.0,0.65,1.0,False,0.0
0,9,3,0,0.0,0.0,0.65,1.0,False,0.0
0,10,3,3,0.6000012849914363,0.5794353920793858,0.65,1.0,False,0.6000012849914363
0,11,3,3,0.0873145280115735,0.08475076275804938,0.65,1.0,False,0.0873145280115735
0,12,3,3,0.1819758164878718,0.17333676582822502,0.65,1.0,False,0.1819758164878718
0,13,3,0,0.0,0.0,0.65,1.0,False,0.0
0,14,3,0,0.0,0.0,0.65,1.0,False,0.0
0,15,3,0,0.0,0.0,0.65,1.0,False,0.0
0,16,3,3,0.1917031652399151,0.18642805897182668,0.65,1.0,False,0.1917031652399151
0,17,3,3,0.2641377595508776,0.25485628339809735,0.65,1.0,False,0.2641377595508776
0,18,3,3,0.314690071998594,0.3066522888138761,0.65,1.0,False,0.314690071998594
0,19,3,0,0.0,0.0,0.65,1.0,False,0.0
0,20,3,3,0.7499980356358534,0.7324500183557691,0.65,0.8666689366045147,True,0.65
0,21,3,3,0.2176586766993709,0.21152646154399726,0.65,1.0,False,0.2176586766993709
0,22,3,3,0.088153945934195,0.08757361707880473,0.65,1.0,False,0.088153945934195
0,23,3,3,0.2335772342195629,0.2247382802564604,0.65,1.0,False,0.2335772342195629
0,24,3,3,0.6199618556766601,0.6113192340838368,0.65,1.0,False,0.6199618556766601
0,25,3,0,0.0,0.0,0.65,1.0,False,0.0
0,26,3,3,0.2911027804821234,0.2824847220056829,0.65,1.0,False,0.2911027804821234
0,27,3,3,0.2770217608607018,0.2714749432110399,0.65,1.0,False,0.2770217608607018
0,28,3,3,0.4959347556616312,0.48793714833325835,0.65,1.0,False,0.4959347556616312
0,29,3,3,0.2054793832344006,0.2014887304371953,0.65,1.0,False,0.2054793832344006
0,30,3,3,0.3658425309925012,0.3529941209895389,0.65,1.0,False,0.3658425309925012
0,31,3,3,0.3109944213716931,0.3069282056182382,0.65,1.0,False,0.3109944213716931
0,32,3,3,0.106644098507216,0.10390356228896669,0.65,1.0,False,0.106644098507216
0,33,3,3,0.0667491527517101,0.06643908834115621,0.65,1.0,False,0.0667491527517101
0,34,3,3,0.1320935698071781,0.12819918147949083,0.65,1.0,False,0.1320935698071781
0,35,3,0,0.0,0.0,0.65,1.0,False,0.0
0,36,3,3,0.3439618114169721,0.33495826682282664,0.65,1.0,False,0.3439618114169721
0,37,3,0,0.0,0.0,0.65,1.0,False,0.0
0,38,3,3,0.5147444256435205,0.5049344639479713,0.65,1.0,False,0.5147444256435205
0,39,3,3,0.5514423632385211,0.5449642197325829,0.65,1.0,False,0.5514423632385211
0,40,3,0,0.0,0.0,0.65,1.0,False,0.0
0,41,3,3,0.3003602238465148,0.29001031587524534,0.65,1.0,False,0.3003602238465148
0,42,3,0,0.0,0.0,0.65,1.0,False,0.0
0,43,3,3,0.1581821281327575,0.15191893702090378,0.65,1.0,False,0.1581821281327575
0,44,3,3,0.4322113029965165,0.42523640933948154,0.65,1.0,False,0.4322113029965165
0,45,3,3,0.0892648753766983,0.08688038628236412,0.65,1.0,False,0.0892648753766983
0,46,3,0,0.0,0.0,0.65,1.0,False,0.0
0,47,3,3,0.0854794644575083,0.08278511423329717,0.65,1.0,False,0.0854794644575083
0,48,3,0,0.0,0.0,0.65,1.0,False,0.0
0,49,3,3,0.3594384566932143,0.35415297693138287,0.65,1.0,False,0.3594384566932143
0,50,3,3,0.3376256726171101,0.328763017177794,0.65,1.0,False,0.3376256726171101
0,51,3,3,0.6781487854151955,0.666277734831726,0.65,0.9584917262692413,True,0.65
0,52,3,0,0.0,0.0,0.65,1.0,False,0.0
0,53,3,3,0.1823745866354564,0.17932230560689386,0.65,1.0,False,0.1823745866354564
0,54,3,0,0.0,0.0,0.65,1.0,False,0.0
