pattern,layer,expert,old_nonbase_weight,new_nonbase_weight,delta_scale,scaled,max_relative_delta_norm,predicted_max_relative_delta_norm
.*self_attn.*,,,0.0,0.0,1.0,False,,
.*layers\.0\..*experts\.0\..*,0.0,0.0,0.261285,0.261285,1.0,False,0.2731123553081956,0.2731123553081956
.*layers\.0\..*experts\.1\..*,0.0,1.0,0.220736,0.220736,1.0,False,0.2405271261440417,0.2405271261440417
.*layers\.0\..*experts\.2\..*,0.0,2.0,0.196857,0.196857,1.0,False,0.2023936860414864,0.2023936860414864
.*layers\.0\..*experts\.3\..*,0.0,3.0,0.149872,0.149872,1.0,False,0.159140282658745,0.159140282658745
.*layers\.0\..*experts\.4\..*,0.0,4.0,0.184803,0.184803,1.0,False,0.181967564690576,0.181967564690576
.*layers\.0\..*experts\.6\..*,0.0,6.0,0.389583,0.389583,1.0,False,0.4726987828423757,0.4726987828423757
.*layers\.0\..*experts\.7\..*,0.0,7.0,0.186428,0.186428,1.0,False,0.1953359679555319,0.1953359679555319
.*layers\.0\..*experts\.8\..*,0.0,8.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.10\..*,0.0,10.0,0.616006,0.616006,1.0,False,0.6000012849914363,0.6000012849914363
.*layers\.0\..*experts\.11\..*,0.0,11.0,0.0866528,0.0866528,1.0,False,0.0873145280115735,0.0873145280115735
.*layers\.0\..*experts\.12\..*,0.0,12.0,0.17085,0.17085,1.0,False,0.1819758164878718,0.1819758164878718
.*layers\.0\..*experts\.13\..*,0.0,13.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.14\..*,0.0,14.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.15\..*,0.0,15.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.16\..*,0.0,16.0,0.177464,0.177464,1.0,False,0.1917031652399151,0.1917031652399151
.*layers\.0\..*experts\.17\..*,0.0,17.0,0.241054,0.241054,1.0,False,0.2641377595508776,0.2641377595508776
.*layers\.0\..*experts\.18\..*,0.0,18.0,0.294349,0.294349,1.0,False,0.314690071998594,0.314690071998594
.*layers\.0\..*experts\.19\..*,0.0,19.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.20\..*,0.0,20.0,0.778402,0.6746168335908275,0.8666689366045147,True,0.7499980356358534,0.65
