tensor,group,layer,expert_id,projection,numel,base_norm,route_delta_norm,route_relative_delta_norm,trust_delta_scale,estimated_delta_norm,estimated_relative_delta_norm,estimated_changed
model.layers.27.mlp.experts.21.gate_proj.weight,routed_expert_ffn,27.0,21.0,gate_proj,1572864,30.792202405867403,33.35889197542576,1.0833551798512884,0.6377740544717699,21.27543578785308,0.6909358254867497,True
model.layers.26.mlp.experts.116.gate_proj.weight,routed_expert_ffn,26.0,116.0,gate_proj,1572864,30.27824760173599,32.90423189443115,1.086728410680696,0.6358352198491181,20.92166952056199,0.690980197921443,True
model.layers.27.mlp.experts.21.up_proj.weight,routed_expert_ffn,27.0,21.0,up_proj,1572864,29.92138951956025,32.84074119484155,1.097567383138168,0.6377740544717699,20.944972663692173,0.7,True
model.layers.15.mlp.experts.21.gate_proj.weight,routed_expert_ffn,15.0,21.0,gate_proj,1572864,29.342663177091115,32.77389656263713,1.1169366722044811,0.6200962583333326,20.322970629494954,0.6926082512292827,True
model.layers.26.mlp.experts.116.up_proj.weight,routed_expert_ffn,26.0,116.0,up_proj,1572864,29.70614546057768,32.7039163186632,1.1009141647833034,0.6358352198491181,20.794301822404375,0.7,True
model.layers.20.mlp.experts.118.down_proj.weight,routed_expert_ffn,20.0,118.0,down_proj,1572864,28.992115922169795,32.63271430587333,1.1255720139046363,0.5203565196831752,16.980645644019607,0.5856987358081991,True
model.layers.21.mlp.experts.67.up_proj.weight,routed_expert_ffn,21.0,67.0,up_proj,1572864,28.898692001785523,32.552826658179775,1.1264463684435433,0.5326485279801153,17.339215201071312,0.6,True
model.layers.34.mlp.experts.54.up_proj.weight,routed_expert_ffn,34.0,54.0,up_proj,1572864,30.330889033950918,32.46738522757299,1.0704396165648355,0.5605173712885079,18.198533420370545,0.6,True
model.layers.21.mlp.experts.67.gate_proj.weight,routed_expert_ffn,21.0,67.0,gate_proj,1572864,29.20701427084233,32.457613961928296,1.111295172486394,0.5326485279801153,17.288500298567946,0.5919297377762861,True
model.layers.24.mlp.experts.77.gate_proj.weight,routed_expert_ffn,24.0,77.0,gate_proj,1572864,29.588304673257305,32.43046949340234,1.0960570350863617,0.5431833776758481,17.615691959039836,0.5953599624435855,True
