law_id,kind,base_cap,min_cap,high_load_penalty,shared_mixed_penalty,fragile_router_penalty,low_route_evidence_penalty,category_mismatch_penalty,scaled_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,p95_predicted_relative_delta,routed_gt_075_groups,routed_gt_065_groups,routed_gt_050_groups,route_mass_weighted_original_nonbase,route_mass_weighted_preserved_nonbase,nonbase_mass_retention,delta_norm_proxy,delta_norm_proxy_ratio_vs_uncapped,mean_delta_scale,min_delta_scale,internal_risk_score
grid_00288_b0.65_m0.60_h0.00_s0.00_r0.00_l0.00_c0.00,searched_cap_law,0.65,0.6,0.0,0.0,0.0,0.0,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00360_b0.65_m0.65_h0.00_s0.00_r0.00_l0.00_c0.00,searched_cap_law,0.65,0.65,0.0,0.0,0.0,0.0,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00361_b0.65_m0.65_h0.00_s0.00_r0.00_l0.00_c0.05,searched_cap_law,0.65,0.65,0.0,0.0,0.0,0.0,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00362_b0.65_m0.65_h0.00_s0.00_r0.00_l0.05_c0.00,searched_cap_law,0.65,0.65,0.0,0.0,0.0,0.05,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00323_b0.65_m0.60_h0.05_s0.00_r0.05_l0.05_c0.05,searched_cap_law,0.65,0.6,0.05,0.0,0.05,0.05,0.05,458,0.65,0.619871670759027,0.6,0,0,610,121.62061756652666,118.74194603323059,0.9763307275452583,994.799988368295,0.8491782201885896,0.977972401036134,0.45206698629820685,62.322563669283426
grid_00347_b0.65_m0.60_h0.10_s0.00_r0.05_l0.05_c0.05,searched_cap_law,0.65,0.6,0.1,0.0,0.05,0.05,0.05,458,0.65,0.619871670759027,0.6,0,0,610,121.62061756652666,118.74194603323059,0.9763307275452583,994.799988368295,0.8491782201885896,0.977972401036134,0.45206698629820685,62.322563669283426
grid_00335_b0.65_m0.60_h0.05_s0.03_r0.05_l0.05_c0.05,searched_cap_law,0.65,0.6,0.05,0.03,0.05,0.05,0.05,459,0.65,0.6186171690835516,0.6,0,0,610,121.62061756652666,118.73588167432669,0.9762808646270685,994.7034034080593,0.8490957736208484,0.9779573313064396,0.45206698629820685,62.323478481079476
grid_00359_b0.65_m0.60_h0.10_s0.03_r0.05_l0.05_c0.05,searched_cap_law,0.65,0.6,0.1,0.03,0.05,0.05,0.05,459,0.65,0.6186171690835516,0.6,0,0,610,121.62061756652666,118.73588167432669,0.9762808646270685,994.7034034080593,0.8490957736208484,0.9779573313064396,0.45206698629820685,62.323478481079476
grid_00251_b0.70_m0.65_h0.05_s0.00_r0.05_l0.05_c0.05,searched_cap_law,0.7,0.65,0.05,0.0,0.05,0.05,0.05,394,0.7,0.65,0.65,0,47,610,121.62061756652666,119.53780316805069,0.9828744957873884,1027.0717021234877,0.8767259049186829,0.98289378341208,0.48973923515639084,302.2192359891709
grid_00275_b0.70_m0.65_h0.10_s0.00_r0.05_l0.05_c0.05,searched_cap_law,0.7,0.65,0.1,0.0,0.05,0.05,0.05,394,0.7,0.65,0.65,0,47,610,121.62061756652666,119.53780316805069,0.9828744957873884,1027.0717021234877,0.8767259049186829,0.98289378341208,0.48973923515639084,302.2192359891709
