layer,tensor_count,changed_tensors,numel,changed_numel,changed_numel_fraction,delta_norm,base_norm,relative_delta_norm,max_abs_delta
,3,0,622331904,0,0.0,0.0,593.5562858340605,0.0,0.0
0.0,393,285,623120640,457703680,0.734534615961365,129.0387868724119,484.47723049731036,0.266346442618067,0.5
1.0,393,294,623120640,471859456,0.7572521686972205,131.9501284569046,561.1197770441117,0.23515501298492192,0.49560546875
2.0,393,258,623120640,415236352,0.6663819577537987,140.3518431159319,570.8032826672281,0.2458847861913146,0.36328125
3.0,393,252,623120640,405799168,0.6512369225965617,139.55245235897416,579.0934898903281,0.24098432255800936,1.375
4.0,393,246,623120640,396361984,0.6360918874393248,149.68690886574893,575.8721438062372,0.2599308031751469,0.375
5.0,393,207,623120640,335020288,0.5376491589172845,125.57449048924504,576.4713025942573,0.21783302989087247,0.5625
6.0,393,210,623120640,339738880,0.5452216764959029,146.15303747855404,576.3329774147337,0.2535913147537646,0.208984375
7.0,393,207,623120640,335020288,0.5376491589172845,134.15464620572357,579.2568438915521,0.23159786132943797,0.193359375
8.0,393,228,623120640,368050432,0.5906567819676138,159.3158095761689,575.7056485538407,0.276731364328918,0.625
9.0,393,210,623120640,339738880,0.5452216764959029,145.6617289422982,571.6972257563172,0.25478823821402574,0.458984375
10.0,393,228,623120640,368050432,0.5906567819676138,152.9553798331439,569.0760725301761,0.2687784414359351,0.353515625
11.0,393,210,623120640,339738880,0.5452216764959029,151.2489421150358,569.0495869168045,0.26579220087747557,0.20361328125
12.0,393,228,623120640,368050432,0.5906567819676138,163.19579703449762,566.3165190642196,0.28817064581510365,0.3125
13.0,393,222,623120640,358613248,0.5755117468103769,148.4367424725728,564.3331119272542,0.26303036156366305,0.4375
14.0,393,204,623120640,330301696,0.5300766413386659,143.47626169034527,564.2299081067202,0.2542868777938083,0.59765625
15.0,393,231,623120640,372769024,0.5982292995462324,153.65972055198418,568.2647795309686,0.2704016262961274,0.474609375
16.0,393,201,623120640,325583104,0.5225041237600475,148.0469302563325,569.0250223922943,0.2601764850935971,1.1875
17.0,393,207,623120640,335020288,0.5376491589172845,165.01530118187534,566.7738791097579,0.29114838785631386,0.453125
18.0,393,216,623120640,349176064,0.5603667116531399,147.23016343964744,573.0193889692871,0.25693748985435944,0.3125
19.0,393,189,623120640,306708736,0.49221405344557356,153.29874514645437,578.3037871831272,0.265083419033378,0.369140625
20.0,393,219,623120640,353894656,0.5679392292317584,163.4937611107374,582.9986216298162,0.28043593079804957,0.46875
21.0,393,207,623120640,335020288,0.5376491589172845,152.94300749126643,584.602033037154,0.2616190140439458,0.369140625
22.0,393,228,623120640,368050432,0.5906567819676138,180.64398076739366,582.090395694488,0.3103366454824745,0.296875
23.0,393,225,623120640,363331840,0.5830842643889954,163.31811182053536,575.5921053770496,0.28373931868567165,0.373046875
24.0,393,219,623120640,353894656,0.5679392292317584,160.47984188532072,578.6655167992692,0.2773274667773039,0.259765625
25.0,393,234,623120640,377487616,0.6058018171248508,158.67298078832533,581.7427690201666,0.2727545390131438,0.2540283203125
26.0,393,213,623120640,344457472,0.5527941940745215,164.42339760803893,588.3087731898548,0.279484864243181,0.53125
27.0,393,204,623120640,330301696,0.5300766413386659,146.71027106280954,590.751284800911,0.24834524246909145,0.18359375
28.0,393,213,623120640,344457472,0.5527941940745215,144.3018587698548,588.096575270023,0.24537102380437936,0.65625
29.0,393,213,623120640,344457472,0.5527941940745215,149.21464128979096,589.1473318327529,0.25327220073390744,0.25
30.0,393,210,623120640,339738880,0.5452216764959029,156.84452460750987,592.2935107806794,0.2648087844163261,0.279052734375
31.0,393,186,623120640,301990144,0.4846415358669551,149.571862501799,597.8105916097982,0.2501994186804694,0.245361328125
32.0,393,225,623120640,363331840,0.5830842643889954,155.1127877150588,601.763806833277,0.2577635709454256,0.8125
33.0,393,219,623120640,353894656,0.5679392292317584,142.92846972980692,599.7329051168182,0.23832020639582346,0.3125
34.0,393,216,623120640,349176064,0.5603667116531399,150.12537679775826,598.2708775455804,0.25093211525463344,0.17236328125
35.0,393,237,623120640,382206208,0.6133743347034692,142.1876062344584,600.2657920415554,0.23687441150172187,0.4332275390625
36.0,393,231,623120640,372769024,0.5982292995462324,158.46675777203262,603.3425041063762,0.2626480924077133,0.375
37.0,393,219,623120640,353894656,0.5679392292317584,150.40425176727675,607.1224062956302,0.24773299454548445,0.5234375
38.0,393,201,623120640,325583104,0.5225041237600475,121.78634442249837,610.3746469384555,0.1995272002750438,0.203125
39.0,393,213,623120640,344457472,0.5527941940745215,136.67384112894294,615.2276285716415,0.22215166351721746,0.2415771484375
40.0,393,210,623120640,339738880,0.5452216764959029,130.74958184915712,621.2178076280172,0.21047301001945756,1.6875
41.0,393,225,623120640,363331840,0.5830842643889954,135.28052875753255,627.5446647219688,0.2155711559072342,0.466796875
42.0,393,246,623120640,396361984,0.6360918874393248,132.57334093050363,634.5225239356384,0.2089340187771663,0.25
43.0,393,234,623120640,377487616,0.6058018171248508,150.06964472342307,638.3708746160373,0.2350822236582862,0.3369140625
44.0,393,210,623120640,339738880,0.5452216764959029,142.90302958927506,641.0560942578328,0.22291813597797178,0.4130859375
45.0,393,189,623120640,306708736,0.49221405344557356,138.30401506697106,645.7194839456383,0.2141859096799603,0.20166015625
46.0,393,222,623120640,358613248,0.5755117468103769,158.06373145596461,649.0284195718446,0.2435389987394345,0.34375
47.0,393,240,623120640,386924800,0.6209468522820878,136.29599157624548,648.1137323943252,0.2102964105894308,0.5625
