tensor,group,projection,layer,numel,instruct_delta_l2,coder_delta_l2,delta_l2_ratio_instruct_over_coder,delta_dot,delta_cosine,sign_conflict_rate
model.embed_tokens.weight,embedding_anchor,embedding_anchor,,136134656,20.32183604558584,221.05794984008153,0.09192990372111534,635.9407958984375,0.14156229831370962,0.44771652759434627
model.layers.0.input_layernorm.weight,norm_anchor,norm_anchor,0.0,896,0.07152257846918508,1.4452836317323892,0.04948688056714138,-0.007834121584892273,-0.07578688559219893,0.4564732142857143
model.layers.0.mlp.down_proj.weight,mlp,mlp_down,0.0,4358144,2.3108227807716673,41.71928253405432,0.05538980155963624,16.39354133605957,0.17004713089583817,0.43123066162817275
model.layers.0.mlp.gate_proj.weight,mlp,mlp_gate,0.0,4358144,3.03723152135807,59.716196880929004,0.05086110100772411,31.364402770996094,0.17292866254469355,0.42998195027859354
model.layers.0.mlp.up_proj.weight,mlp,mlp_up,0.0,4358144,2.473898046997094,46.39276950668067,0.05332507787966499,21.591800689697266,0.18812944122730232,0.4263826930150623
model.layers.0.post_attention_layernorm.weight,norm_anchor,norm_anchor,0.0,896,0.15280628901616133,3.313566791847299,0.046115348992549654,-0.29227447509765625,-0.5772366948392695,0.9263392857142857
model.layers.0.self_attn.k_proj.bias,attention,attn_k,0.0,128,0.5987410828597338,31.118737996457817,0.019240532277622804,5.915894985198975,0.317511472110988,0.25196850393700787
model.layers.0.self_attn.k_proj.weight,attention,attn_k,0.0,114688,1.5940087800208917,32.727337399813784,0.048705727586319365,10.780500411987305,0.20665101249614964,0.4269370956209344
model.layers.0.self_attn.o_proj.weight,attention,attn_o,0.0,802816,1.2508729270871377,14.762465559800534,0.08473333414530514,3.2908010482788086,0.178208960295978,0.4244816255147621
model.layers.0.self_attn.q_proj.bias,attention,attn_q,0.0,896,0.8791624924860448,33.472889420721884,0.02626491192426867,-1.1702849864959717,-0.039767590595713526,0.36629213483146067
model.layers.0.self_attn.q_proj.weight,attention,attn_q,0.0,802816,4.345371081064691,74.46182563275292,0.0583570311920116,60.959842681884766,0.18840103655387241,0.4437944929901158
model.layers.0.self_attn.v_proj.bias,attention,attn_v,0.0,128,0.010547386152631968,0.20658771219635608,0.05105524447943429,2.01546645257622e-05,0.009249670052612752,0.546875
model.layers.0.self_attn.v_proj.weight,attention,attn_v,0.0,114688,0.3432251434592059,4.67849762170912,0.07336225669252794,0.18731316924095154,0.11664947907683333,0.4544352693947664
model.layers.1.input_layernorm.weight,norm_anchor,norm_anchor,1.0,896,0.1373626803565744,2.0251616566499537,0.06782800765831275,-0.07852184772491455,-0.2822682676416006,0.5701459034792368
model.layers.1.mlp.down_proj.weight,mlp,mlp_down,1.0,4358144,2.592240135389688,41.46341131092644,0.06251873768781249,17.734817504882812,0.16500095715564791,0.4344280332643634
model.layers.1.mlp.gate_proj.weight,mlp,mlp_gate,1.0,4358144,3.28014929338618,56.677223089945926,0.05787420615474811,29.178787231445312,0.15695135256908677,0.4366140721365253
model.layers.1.mlp.up_proj.weight,mlp,mlp_up,1.0,4358144,2.7311036513726488,44.158294306445846,0.06184803317853665,20.53318214416504,0.1702573177350465,0.43372046970363803
model.layers.1.post_attention_layernorm.weight,norm_anchor,norm_anchor,1.0,896,0.17022469273763707,4.016316513902229,0.04238328631431684,-0.4958406090736389,-0.7252564544268861,0.7251396648044692
model.layers.1.self_attn.k_proj.bias,attention,attn_k,1.0,128,0.8467111196700337,24.194713374484053,0.034995707804622404,13.054479598999023,0.6372411592720683,0.2777777777777778
model.layers.1.self_attn.k_proj.weight,attention,attn_k,1.0,114688,0.5992400930251759,14.447957796763884,0.04147576435746485,1.261279582977295,0.1456813772251907,0.43016969253038945
model.layers.1.self_attn.o_proj.weight,attention,attn_o,1.0,802816,0.9729813181915541,13.42627051679782,0.07246847268377632,2.35640025138855,0.18038032518001268,0.4316985973741249
model.layers.1.self_attn.q_proj.bias,attention,attn_q,1.0,896,0.1423396310618604,9.919506360969406,0.014349467189408601,0.1401265561580658,0.09924406684036235,0.3239910313901345
model.layers.1.self_attn.q_proj.weight,attention,attn_q,1.0,802816,2.111108251480486,31.1084724881643,0.06786280658054457,7.784104347229004,0.1185275914248673,0.4506304326703887
model.layers.1.self_attn.v_proj.bias,attention,attn_v,1.0,128,0.0063136953492435675,0.38750866449575083,0.0162930430406229,-0.0007072313455864787,-0.2890656327790207,0.5
model.layers.1.self_attn.v_proj.weight,attention,attn_v,1.0,114688,0.21812378281852154,3.206793345317143,0.06801928260735794,0.16333046555519104,0.2335033982867972,0.41186780606906176
model.layers.10.input_layernorm.weight,norm_anchor,norm_anchor,10.0,896,0.13460719429503554,4.837454759647447,0.027826036827855664,0.17859220504760742,0.27426937124678397,0.09841628959276018
model.layers.10.mlp.down_proj.weight,mlp,mlp_down,10.0,4358144,3.0642016607310545,41.15614322309611,0.07445308089538084,17.955299377441406,0.1423772620901254,0.4434732266357778
model.layers.10.mlp.gate_proj.weight,mlp,mlp_gate,10.0,4358144,4.035748241681988,49.89434148778797,0.08088589049060341,26.194229125976562,0.13008591040518275,0.44850246995394194
model.layers.10.mlp.up_proj.weight,mlp,mlp_up,10.0,4358144,3.433069877022252,45.66235628228136,0.07518380908333473,22.996776580810547,0.14669861189873568,0.44207553183506937
model.layers.10.post_attention_layernorm.weight,norm_anchor,norm_anchor,10.0,896,0.22276972505893172,4.3234258267624535,0.05152620490907096,-0.3175926208496094,-0.32975107632682155,0.5818385650224215
model.layers.10.self_attn.k_proj.bias,attention,attn_k,10.0,128,0.2219217298217548,6.993870094774987,0.03173089102520636,0.02488449215888977,0.016032874451916812,0.359375
model.layers.10.self_attn.k_proj.weight,attention,attn_k,10.0,114688,0.4975561828854359,8.519295277709805,0.05840344379038722,0.41336244344711304,0.09751809689362478,0.4511828257021529
model.layers.10.self_attn.o_proj.weight,attention,attn_o,10.0,802816,0.9461168697439771,14.01615192013976,0.0675018988902728,2.5146899223327637,0.18963166531529585,0.42980413846711535
model.layers.10.self_attn.q_proj.bias,attention,attn_q,10.0,896,0.06320363571469904,8.324742072064831,0.007592263540126992,-0.02938014268875122,-0.05583943982951009,0.2581005586592179
