tensor,group,projection,layer,numel,instruct_delta_l2,coder_delta_l2,delta_l2_ratio_instruct_over_coder,delta_dot,delta_cosine,sign_conflict_rate
model.layers.23.self_attn.k_proj.weight,attention,attn_k,23.0,114688,0.5760461185092446,7.230037435221014,0.0796740160297158,0.1105347201228141,0.0265399998055196,0.48500200554577
model.layers.22.self_attn.k_proj.weight,attention,attn_k,22.0,114688,0.5548862316183351,6.405258176366368,0.0866297995084276,0.0516584180295467,0.0145345139820702,0.4792302460631638
model.layers.17.self_attn.k_proj.weight,attention,attn_k,17.0,114688,0.493067741430012,7.162467021766357,0.0688404902852055,0.1322288513183593,0.0374418241965744,0.472247172394548
model.layers.16.self_attn.k_proj.weight,attention,attn_k,16.0,114688,0.4647472826450929,6.434590098642556,0.0722264006751784,0.0732745677232742,0.0245027889614904,0.4712925336170361
model.layers.20.self_attn.k_proj.weight,attention,attn_k,20.0,114688,0.4919670156087145,6.982062927836692,0.0704615556596171,0.1494921892881393,0.0435209891350061,0.471264267589791
model.layers.21.self_attn.k_proj.weight,attention,attn_k,21.0,114688,0.5138416662370552,6.564727986286679,0.0782731085447012,0.1717436015605926,0.0509136828845323,0.4674531962574446
model.layers.18.self_attn.k_proj.weight,attention,attn_k,18.0,114688,0.4803700694650802,7.533406688816908,0.0637653175127494,0.217213824391365,0.0600233332009389,0.465797619566639
model.layers.11.self_attn.k_proj.weight,attention,attn_k,11.0,114688,0.4961156464798133,7.417595394435239,0.0668836219958835,0.2416817247867584,0.0656746470319108,0.4644308411377945
model.layers.13.self_attn.k_proj.weight,attention,attn_k,13.0,114688,0.4828226224214714,7.574021571456776,0.0637471939928217,0.2159950733184814,0.0590649304738513,0.4642878942457774
model.layers.16.self_attn.q_proj.weight,attention,attn_q,16.0,802816,1.7682163498366683,21.33995994328151,0.0828594034167041,3.535118103027344,0.0936860493717681,0.4623281272188685
model.layers.9.self_attn.k_proj.weight,attention,attn_k,9.0,114688,0.4886758964245035,8.113443930422479,0.0602303905240715,0.3066586852073669,0.0773444422111628,0.4607221645753948
model.layers.22.self_attn.q_proj.weight,attention,attn_q,22.0,802816,2.0225104487541774,21.212848095350285,0.0953436539809804,5.305927276611328,0.1236720435938707,0.4597553532056951
model.layers.14.self_attn.k_proj.weight,attention,attn_k,14.0,114688,0.4326008778548185,7.26182171121198,0.0595719497198477,0.2509149014949798,0.0798718007126149,0.4594476756860454
model.layers.23.self_attn.q_proj.weight,attention,attn_q,23.0,802816,2.0518807506451644,23.37488511001177,0.0877814261327135,6.512060642242432,0.1357740691460345,0.4583356170185202
model.layers.5.self_attn.k_proj.weight,attention,attn_k,5.0,114688,0.4621091112279583,8.163559718369838,0.0566063245900081,0.2998524308204651,0.0794846870049959,0.45759578660993
model.layers.15.self_attn.k_proj.weight,attention,attn_k,15.0,114688,0.4706871853104176,7.5845927216251825,0.0620583335962648,0.2751288414001465,0.0770675370296739,0.4573033022035036
model.layers.19.self_attn.k_proj.weight,attention,attn_k,19.0,114688,0.5061094041731117,7.635215544990006,0.0662861973170102,0.3193261623382568,0.082635905945378,0.4564462968452993
model.layers.4.self_attn.k_proj.weight,attention,attn_k,4.0,114688,0.5092797722763136,9.38386909576977,0.0542718325542175,0.3889321386814117,0.0813833314565661,0.4553136199935471
model.layers.17.self_attn.q_proj.weight,attention,attn_q,17.0,802816,1.9612947419741964,21.533239884464088,0.0910821944350901,4.7482500076293945,0.1124297733147643,0.4548705702978733
model.layers.0.self_attn.v_proj.weight,attention,attn_v,0.0,114688,0.3432251434592059,4.67849762170912,0.0733622566925279,0.1873131692409515,0.1166494790768333,0.4544352693947664
model.layers.7.self_attn.k_proj.weight,attention,attn_k,7.0,114688,0.4699242348425411,8.81684714158448,0.0532984441372645,0.3394458293914795,0.0819274283159462,0.4543187268367124
model.layers.21.self_attn.q_proj.weight,attention,attn_q,21.0,802816,1.811998100507132,21.662021236775207,0.0836486161979629,5.13123893737793,0.1307270686185624,0.4542464934353123
model.layers.12.self_attn.k_proj.weight,attention,attn_k,12.0,114688,0.4862779951494714,7.621356531380615,0.0638046511991982,0.3296173810958862,0.0889391978767993,0.4538716428322288
model.layers.13.self_attn.q_proj.weight,attention,attn_q,13.0,802816,1.7172555148094035,20.398712775813973,0.0841845038793571,3.9540302753448486,0.1128761810956683,0.4535236567203223
model.layers.6.self_attn.k_proj.weight,attention,attn_k,6.0,114688,0.5027982966074772,9.057666410327842,0.0555107986792459,0.4289727807044983,0.0941932141614596,0.4534047210038455
model.layers.20.self_attn.q_proj.weight,attention,attn_q,20.0,802816,1.872830598216368,21.63029635624497,0.0865836772354557,5.079185962677002,0.1253814095299551,0.4523968196035591
model.layers.3.self_attn.k_proj.weight,attention,attn_k,3.0,114688,0.4814671169086678,9.453351785761049,0.0509308367889016,0.4413750171661377,0.0969739970870486,0.4516345625615849
model.layers.5.self_attn.q_proj.weight,attention,attn_q,5.0,802816,1.6856592523236889,22.3996276007078,0.0752538962866697,4.187907695770264,0.1109140373361486,0.4515574102332534
model.layers.7.mlp.gate_proj.weight,mlp,mlp_gate,7.0,4358144,3.5673182513234765,48.44407969423999,0.0736378577906524,20.18352699279785,0.1167923761000152,0.4514438538259344
model.layers.10.self_attn.k_proj.weight,attention,attn_k,10.0,114688,0.4975561828854359,8.519295277709805,0.0584034437903872,0.413362443447113,0.0975180968936247,0.4511828257021529
model.layers.18.self_attn.q_proj.weight,attention,attn_q,18.0,802816,1.8102813822335264,20.85245086389727,0.086813842365539,4.265163421630859,0.1129880424792637,0.4511495111961494
model.layers.15.mlp.gate_proj.weight,mlp,mlp_gate,15.0,4358144,3.738620021222528,45.25742881871715,0.0826078749678405,20.290189743041992,0.1199181455740374,0.4511254317375146
model.layers.11.self_attn.q_proj.weight,attention,attn_q,11.0,802816,1.7601303755631577,19.60999905630496,0.0897567802277504,3.724556207656861,0.1079076220178739,0.4508790549007591
model.layers.9.mlp.gate_proj.weight,mlp,mlp_gate,9.0,4358144,3.882496627147853,47.13159457339896,0.0823756688541815,22.44192314147949,0.1226413296344901,0.4508193260534946
model.layers.1.self_attn.q_proj.weight,attention,attn_q,1.0,802816,2.111108251480486,31.1084724881643,0.0678628065805445,7.784104347229004,0.1185275914248673,0.4506304326703887
model.layers.8.mlp.gate_proj.weight,mlp,mlp_gate,8.0,4358144,3.8852461435706194,49.849238040346464,0.0779399304042725,23.957971572875977,0.1237009351604831,0.4505018982527355
model.layers.16.mlp.gate_proj.weight,mlp,mlp_gate,16.0,4358144,3.729096708582776,47.19378838480097,0.0790166849538985,21.369060516357425,0.1214218769185762,0.4504172255105892
model.layers.4.self_attn.q_proj.weight,attention,attn_q,4.0,802816,1.8208161668237404,30.68680187915177,0.0593354815530901,5.229891300201416,0.093599802470597,0.4499526027387022
model.layers.13.mlp.gate_proj.weight,mlp,mlp_gate,13.0,4358144,3.73796426192457,43.23345877914249,0.0864599864891658,20.317951202392575,0.1257259096749543,0.4498839708606579
model.layers.14.mlp.gate_proj.weight,mlp,mlp_gate,14.0,4358144,3.810342772476278,45.25313730059912,0.084200632260381,21.71390914916992,0.1259288615748872,0.4497272472984598
model.layers.14.self_attn.q_proj.weight,attention,attn_q,14.0,802816,1.622840987641748,20.75990665598558,0.0781718826839639,4.089866161346436,0.1213969377419726,0.4495234109129683
model.layers.5.mlp.gate_proj.weight,mlp,mlp_gate,5.0,4358144,3.773775895071882,57.449899623906,0.0656881199058099,25.775415420532227,0.1188886219612869,0.4493302548046938
model.layers.11.mlp.gate_proj.weight,mlp,mlp_gate,11.0,4358144,3.7669418375108927,44.48632190813332,0.0846764055992274,21.22547721862793,0.1266607480531801,0.4493286213567638
