tensor,group,numel,delta_norm,base_norm,relative_norm,mean_abs_delta
model.embed_tokens.weight,model.embed_tokens,233373696,10.84422492980957,384.8148193359375,0.028180371969938278,0.0004790103994309902
model.layers.0.input_layernorm.weight,model.layers.0,1536,0.006176323629915714,18.14301872253418,0.000340424245223403,2.4159749955288135e-05
model.layers.0.mlp.down_proj.weight,model.layers.0,13762560,1.175227403640747,99.38878631591797,0.011824547313153744,0.00024751329328864813
model.layers.0.mlp.gate_proj.weight,model.layers.0,13762560,1.175095558166504,114.17352294921875,0.010292190127074718,0.00024516150006093085
model.layers.0.mlp.up_proj.weight,model.layers.0,13762560,1.1593949794769287,94.82735443115234,0.012226376682519913,0.00024391486658714712
model.layers.0.post_attention_layernorm.weight,model.layers.0,1536,0.0015313448384404182,19.025653839111328,8.048841846175492e-05,3.646186087280512e-06
model.layers.0.self_attn.k_proj.bias,model.layers.0,256,0.013076488859951496,1102.731201171875,1.1858273865072988e-05,0.00033402442932128906
model.layers.0.self_attn.k_proj.weight,model.layers.0,393216,0.21041280031204224,35.0386962890625,0.006005154922604561,0.0002411297318758443
model.layers.0.self_attn.o_proj.weight,model.layers.0,2359296,0.4525846242904663,35.23965835571289,0.012843048200011253,0.00023063670960254967
model.layers.0.self_attn.q_proj.bias,model.layers.0,1536,0.020114345476031303,102.85626220703125,0.00019555780454538763,0.00020723619672935456
model.layers.0.self_attn.q_proj.weight,model.layers.0,2359296,0.4772607386112213,74.64605712890625,0.006393649615347385,0.0002304946829099208
model.layers.0.self_attn.v_proj.bias,model.layers.0,256,0.0027923262678086758,3.62972354888916,0.0007692944491282105,0.00011343229562044144
model.layers.0.self_attn.v_proj.weight,model.layers.0,393216,0.17456600069999695,11.76208209991455,0.014841419644653797,0.00021816231310367584
model.layers.1.input_layernorm.weight,model.layers.1,1536,0.004971486050635576,15.829216003417969,0.0003140702610835433,1.5070040717546362e-05
model.layers.1.mlp.down_proj.weight,model.layers.1,13762560,1.1761102676391602,103.2304458618164,0.011393056251108646,0.00024693465093150735
model.layers.1.mlp.gate_proj.weight,model.layers.1,13762560,1.1794103384017944,119.64582061767578,0.009857513941824436,0.00024585332721471786
model.layers.1.mlp.up_proj.weight,model.layers.1,13762560,1.1466479301452637,106.94762420654297,0.010721583850681782,0.0002401193924015388
model.layers.1.post_attention_layernorm.weight,model.layers.1,1536,0.0001747608184814453,53.901695251464844,3.2422137792309513e-06,1.1377657216371517e-07
model.layers.1.self_attn.k_proj.bias,model.layers.1,256,0.00713772140443325,155.2113800048828,4.5987100747879595e-05,0.00014257431030273438
model.layers.1.self_attn.k_proj.weight,model.layers.1,393216,0.20501743257045746,27.832260131835938,0.007366179954260588,0.00024756757193244994
model.layers.1.self_attn.o_proj.weight,model.layers.1,2359296,0.48130321502685547,36.04487228393555,0.013352889567613602,0.0002451881009619683
model.layers.1.self_attn.q_proj.bias,model.layers.1,1536,0.010397289879620075,35.9261360168457,0.00028940741322003305,9.919268632074818e-05
model.layers.1.self_attn.q_proj.weight,model.layers.1,2359296,0.4928767681121826,51.11970520019531,0.009641620330512524,0.0002477564266882837
model.layers.1.self_attn.v_proj.bias,model.layers.1,256,0.002009259769693017,3.3067758083343506,0.0006076190038584173,7.841270416975021e-05
model.layers.1.self_attn.v_proj.weight,model.layers.1,393216,0.19281594455242157,12.632527351379395,0.015263449400663376,0.00024175252474378794
model.layers.10.input_layernorm.weight,model.layers.10,1536,0.0035672946833074093,38.81736755371094,9.189944830723107e-05,1.2079874977644067e-05
model.layers.10.mlp.down_proj.weight,model.layers.10,13762560,1.2622092962265015,100.18170166015625,0.012599200010299683,0.00026637513656169176
model.layers.10.mlp.gate_proj.weight,model.layers.10,13762560,1.3121579885482788,107.22990417480469,0.012236866168677807,0.0002764342352747917
model.layers.10.mlp.up_proj.weight,model.layers.10,13762560,1.256058692932129,104.03572082519531,0.012073340825736523,0.00026436493499204516
model.layers.10.post_attention_layernorm.weight,model.layers.10,1536,0.005168347619473934,33.17018127441406,0.0001558130607008934,1.786346547305584e-05
model.layers.10.self_attn.k_proj.bias,model.layers.10,256,0.005145404487848282,10.443492889404297,0.0004926900146529078,0.00016708672046661377
model.layers.10.self_attn.k_proj.weight,model.layers.10,393216,0.20188874006271362,18.57317543029785,0.010869910009205341,0.00024981980095617473
model.layers.10.self_attn.o_proj.weight,model.layers.10,2359296,0.4902667701244354,41.46955490112305,0.011822329834103584,0.00024777892394922674
model.layers.10.self_attn.q_proj.bias,model.layers.10,1536,0.006658786907792091,61.470481872558594,0.00010832495172508061,5.797172707389109e-05
model.layers.10.self_attn.q_proj.weight,model.layers.10,2359296,0.5104997158050537,44.63132858276367,0.01143814716488123,0.00025884617934934795
model.layers.10.self_attn.v_proj.bias,model.layers.10,256,0.0017107087187469006,0.9224995970726013,0.0018544276244938374,7.177051156759262e-05
model.layers.10.self_attn.v_proj.weight,model.layers.10,393216,0.2061038315296173,17.409530639648438,0.011838563717901707,0.00025612275931052864
model.layers.11.input_layernorm.weight,model.layers.11,1536,0.004114330746233463,38.91597366333008,0.00010572344035608694,1.52587890625e-05
model.layers.11.mlp.down_proj.weight,model.layers.11,13762560,1.2683597803115845,98.45785522460938,0.012882260605692863,0.00026763390633277595
model.layers.11.mlp.gate_proj.weight,model.layers.11,13762560,1.3467395305633545,109.9813461303711,0.012245163321495056,0.000283646717434749
model.layers.11.mlp.up_proj.weight,model.layers.11,13762560,1.2760026454925537,102.97877502441406,0.012390928342938423,0.0002687207597773522
model.layers.11.post_attention_layernorm.weight,model.layers.11,1536,0.005074378103017807,33.58964157104492,0.00015106973296497017,1.7172851585200988e-05
model.layers.11.self_attn.k_proj.bias,model.layers.11,256,0.006037645507603884,10.068924903869629,0.0005996315740048885,0.0001983768306672573
model.layers.11.self_attn.k_proj.weight,model.layers.11,393216,0.20912782847881317,19.560945510864258,0.010691089555621147,0.00025754235684871674
model.layers.11.self_attn.o_proj.weight,model.layers.11,2359296,0.4827140271663666,39.33597183227539,0.01227156724780798,0.0002441577089484781
model.layers.11.self_attn.q_proj.bias,model.layers.11,1536,0.006747736129909754,64.9441909790039,0.00010390053648734465,6.259294605115429e-05
model.layers.11.self_attn.q_proj.weight,model.layers.11,2359296,0.5221841335296631,44.90913009643555,0.011627571657299995,0.00026410099235363305
model.layers.11.self_attn.v_proj.bias,model.layers.11,256,0.0020211415830999613,1.9898278713226318,0.0010157368378713727,8.091330528259277e-05
model.layers.11.self_attn.v_proj.weight,model.layers.11,393216,0.20405282080173492,16.348976135253906,0.012481076642870903,0.0002539092965889722
model.layers.12.input_layernorm.weight,model.layers.12,1536,0.002944906707853079,44.043060302734375,6.68642605887726e-05,4.76837158203125e-06
model.layers.12.mlp.down_proj.weight,model.layers.12,13762560,1.2705568075180054,98.4585952758789,0.01290447823703289,0.0002682185440789908
model.layers.12.mlp.gate_proj.weight,model.layers.12,13762560,1.3450144529342651,107.00604248046875,0.012569518759846687,0.00028360652504488826
model.layers.12.mlp.up_proj.weight,model.layers.12,13762560,1.2789280414581299,102.60973358154297,0.012464002706110477,0.00026941412943415344
model.layers.12.post_attention_layernorm.weight,model.layers.12,1536,0.006176325958222151,34.020103454589844,0.00018154930148739368,2.2891714252182283e-05
model.layers.12.self_attn.k_proj.bias,model.layers.12,256,0.00425346102565527,9.259308815002441,0.0004593713383655995,0.00013068318367004395
model.layers.12.self_attn.k_proj.weight,model.layers.12,393216,0.20844143629074097,19.36734962463379,0.010762517340481281,0.00025805638870224357
model.layers.12.self_attn.o_proj.weight,model.layers.12,2359296,0.5012074112892151,38.3814582824707,0.01305858138948679,0.000253662234172225
model.layers.12.self_attn.q_proj.bias,model.layers.12,1536,0.006185987964272499,61.035316467285156,0.00010135096090380102,4.6939898311393335e-05
model.layers.12.self_attn.q_proj.weight,model.layers.12,2359296,0.528190553188324,44.94504928588867,0.011751918122172356,0.00026707930373959243
model.layers.12.self_attn.v_proj.bias,model.layers.12,256,0.002085617743432522,0.7018887400627136,0.0029714363627135754,9.308382868766785e-05
model.layers.12.self_attn.v_proj.weight,model.layers.12,393216,0.21432927250862122,15.369901657104492,0.01394473947584629,0.000266745948465541
model.layers.13.input_layernorm.weight,model.layers.13,1536,0.004608053248375654,39.66304397583008,0.00011618001735769212,1.7563501387485303e-05
model.layers.13.mlp.down_proj.weight,model.layers.13,13762560,1.2818559408187866,98.34422302246094,0.013034380041062832,0.0002708010724745691
model.layers.13.mlp.gate_proj.weight,model.layers.13,13762560,1.3420554399490356,104.72814178466797,0.01281465869396925,0.00028328626649454236
model.layers.13.mlp.up_proj.weight,model.layers.13,13762560,1.2836334705352783,102.20738220214844,0.012559107504785061,0.00027052121004089713
model.layers.13.post_attention_layernorm.weight,model.layers.13,1536,0.005859968718141317,34.14934158325195,0.00017159829440061003,2.167092497984413e-05
model.layers.13.self_attn.k_proj.bias,model.layers.13,256,0.005490652285516262,13.633757591247559,0.0004027248069178313,0.00014483928680419922
model.layers.13.self_attn.k_proj.weight,model.layers.13,393216,0.20439137518405914,20.740917205810547,0.00985450018197298,0.0002511770580895245
model.layers.13.self_attn.o_proj.weight,model.layers.13,2359296,0.4832810163497925,38.72779846191406,0.012478917837142944,0.0002446609432809055
model.layers.13.self_attn.q_proj.bias,model.layers.13,1536,0.005757074803113937,77.38775634765625,7.439257751684636e-05,5.117214095662348e-05
model.layers.13.self_attn.q_proj.weight,model.layers.13,2359296,0.5180647969245911,45.7830696105957,0.01131564099341631,0.0002623739419505
model.layers.13.self_attn.v_proj.bias,model.layers.13,256,0.0016602205578237772,0.7056156396865845,0.0023528682067990303,6.748817395418882e-05
model.layers.13.self_attn.v_proj.weight,model.layers.13,393216,0.19822809100151062,15.967667579650879,0.012414342723786831,0.00024658654001541436
model.layers.14.input_layernorm.weight,model.layers.14,1536,0.0032549540046602488,54.52518081665039,5.969634366920218e-05,8.026759132917505e-06
model.layers.14.mlp.down_proj.weight,model.layers.14,13762560,1.3102331161499023,98.08247375488281,0.013358484022319317,0.0002770749561022967
model.layers.14.mlp.gate_proj.weight,model.layers.14,13762560,1.3627070188522339,100.07401275634766,0.01361699216067791,0.0002881800173781812
model.layers.14.mlp.up_proj.weight,model.layers.14,13762560,1.3073174953460693,100.84103393554688,0.012964142486453056,0.0002756915055215359
model.layers.14.post_attention_layernorm.weight,model.layers.14,1536,0.006550980266183615,37.882102966308594,0.00017293074051849544,2.733881956373807e-05
model.layers.14.self_attn.k_proj.bias,model.layers.14,256,0.005125502590090036,9.155838012695312,0.0005598070565611124,0.0001532137393951416
model.layers.14.self_attn.k_proj.weight,model.layers.14,393216,0.19967769086360931,18.065044403076172,0.011053263209760189,0.00024729620781727135
