sweep_capacity_loss_coef,epoch,examples,dispatch_mode,soft_loss_coef,dispatch_loss_coef,capacity_loss_coef,initial_kl_coef,load_balance_coef,capacity_factor,soft_ce,dispatch_ce,initial_kl,load_balance,capacity_overflow,capacity_ratio,total_loss,same_shape_action
0.0,0,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6140858445167542,0.5922739706039428,0.00011135828215628862,1.0578224754333496,0.10745031821727753,1.307937562942505,1.0051548376083375,router_bias_only_capacity_calibration
0.0,1,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6136142935752869,0.5917908983230591,0.0005318389874882997,1.0609630451202392,0.10715674585103989,1.3247995958328247,1.00496026802063,router_bias_only_capacity_calibration
0.0,2,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6132772054672241,0.5924811244010926,0.001012572613544762,1.0639421586990356,0.10859575617313386,1.33471644115448,1.0060202293395997,router_bias_only_capacity_calibration
0.0,3,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6131198644638062,0.5921744723320007,0.0012164069628342986,1.0653510084152222,0.10726226752996444,1.3355112476348876,1.0058776950836181,router_bias_only_capacity_calibration
0.0,4,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6131008439064026,0.592232274055481,0.0011347026475705207,1.0652934122085571,0.10678401243686676,1.3333967370986939,1.0058793869018554,router_bias_only_capacity_calibration
0.0,5,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6131634335517884,0.5927346429824829,0.0009319800459779799,1.0643678007125854,0.10560201179981232,1.3272486295700072,1.0062191190719605,router_bias_only_capacity_calibration
0.0,6,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6132454719543458,0.5927710733413696,0.0007490300997160375,1.063351767539978,0.10346104449033737,1.3166607122421266,1.0061034727096558,router_bias_only_capacity_calibration
0.0,7,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6133096175193786,0.5928412990570069,0.0006379184368997812,1.0625798254013061,0.10248572546243667,1.3129311513900757,1.006073058128357,router_bias_only_capacity_calibration
0.05,0,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6141869063377381,0.5916966695785523,6.631112133618444e-05,1.0583616733551025,0.10789771264791488,1.3030783796310426,1.0070628595352173,router_bias_only_capacity_calibration
0.05,1,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6138639245033264,0.5923656439781189,0.00021908817859366537,1.0589385375976563,0.10426436644792557,1.3101948719024659,1.0076692266464233,router_bias_only_capacity_calibration
0.05,2,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6135568566322327,0.5928329463005066,0.00047752706240862606,1.0608649950027467,0.10417678010463714,1.3170039520263672,1.0084006299972534,router_bias_only_capacity_calibration
0.05,3,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6133856754302979,0.5921056914329529,0.0006511152409948409,1.062040044784546,0.10258699816465378,1.316096028327942,1.0078160934448241,router_bias_only_capacity_calibration
0.05,4,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6133475613594055,0.592823965549469,0.0006508426470682025,1.0621459627151488,0.10150247889757157,1.3124856119155883,1.0085174522399902,router_bias_only_capacity_calibration
0.05,5,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6133949923515319,0.5923835453987122,0.0005479063668753952,1.0614783983230591,0.10006279683113098,1.305466360092163,1.0079082508087158,router_bias_only_capacity_calibration
0.05,6,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6134625701904297,0.5924522223472595,0.00044709696201607587,1.0606757802963256,0.09831702488660812,1.2980842256546021,1.0077836942672729,router_bias_only_capacity_calibration
0.05,7,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6135111055374145,0.5925459299087524,0.0003833596701733768,1.060133644104004,0.09783034431934357,1.2959115152359009,1.0077874298095704,router_bias_only_capacity_calibration
0.1,0,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6141832852363587,0.5914656162261963,6.01933597936295e-05,1.0593868064880372,0.11058884471654892,1.304131799697876,1.0095269556045532,router_bias_only_capacity_calibration
0.1,1,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6140946941375732,0.5914652872085572,8.356137527152896e-05,1.0575526485443114,0.10337060606479645,1.296054898262024,1.0088099241256714,router_bias_only_capacity_calibration
0.1,2,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6138699383735656,0.5924205069541931,0.0001715858563547954,1.0581711349487304,0.10059600132703782,1.2997931146621704,1.0097151985168458,router_bias_only_capacity_calibration
0.1,3,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6136992211341858,0.5929157290458679,0.00032905446086078883,1.0589406375885009,0.09827416282892228,1.299604627609253,1.0102718286514283,router_bias_only_capacity_calibration
0.1,4,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6136115698814392,0.5926804995536804,0.000439078155439347,1.05934557056427,0.09641185766458511,1.296513928413391,1.0100691566467286,router_bias_only_capacity_calibration
0.1,5,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6135943970680237,0.5928135685920716,0.0004651855234988034,1.0592661571502686,0.0944649121761322,1.2885215501785279,1.0100426235198974,router_bias_only_capacity_calibration
0.1,6,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6136184225082397,0.5932736449241638,0.00042948025604709985,1.0589534006118775,0.09336326637864113,1.2842495107650758,1.0103603839874267,router_bias_only_capacity_calibration
0.1,7,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6136649575233459,0.593316379070282,0.00036675137537531553,1.058516092300415,0.09243784302473068,1.2791978578567504,1.0102490854263306,router_bias_only_capacity_calibration
0.25,0,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6141967825889587,0.591805588722229,6.204377062385901e-05,1.0592720460891725,0.10742936623096466,1.2945024328231811,1.0166947145462035,router_bias_only_capacity_calibration
0.25,1,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6144304752349854,0.5933679451942444,0.00017938324657734483,1.0554365453720094,0.09458834874629975,1.2668620319366455,1.0154752550125121,router_bias_only_capacity_calibration
0.25,2,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6144272322654725,0.593114944934845,0.0003198097327258438,1.054489426612854,0.08855293244123459,1.2539662246704102,1.0142631187438964,router_bias_only_capacity_calibration
0.25,3,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6143696050643921,0.5928099365234375,0.0005031226887367666,1.0542710771560668,0.08554362481832505,1.2492704591751098,1.0136748666763307,router_bias_only_capacity_calibration
0.25,4,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6142976179122924,0.5927465991973877,0.0007021476072259247,1.0544295330047608,0.08369464883208275,1.2470163927078246,1.0135318355560303,router_bias_only_capacity_calibration
0.25,5,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6142345089912414,0.5925357556343078,0.0008581590689718723,1.0547189846038818,0.07936705759167671,1.239060567855835,1.0129138870239258,router_bias_only_capacity_calibration
0.25,6,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6141936073303222,0.5930790529251099,0.0009302492099814117,1.054909996986389,0.07896074709296226,1.238011258125305,1.0135245218276978,router_bias_only_capacity_calibration
0.25,7,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6141759481430054,0.5930123233795166,0.0009288554214872419,1.0549596109390258,0.07882962030172348,1.238124207496643,1.0134446620941162,router_bias_only_capacity_calibration
0.5,0,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6141676735877991,0.5921759729385376,7.070152356754988e-05,1.0589960956573485,0.10408735597133636,1.2890013875961304,1.0276960229873657,router_bias_only_capacity_calibration
0.5,1,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6145247282981873,0.5930355215072631,0.00037126052100211384,1.05485755443573,0.09060298842191696,1.252233766555786,1.0229658908843995,router_bias_only_capacity_calibration
0.5,2,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6146789913177491,0.5932861876487732,0.0008273683851584792,1.0534093961715698,0.08251908153295517,1.2318966903686523,1.020555950164795,router_bias_only_capacity_calibration
0.5,3,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6147774596214295,0.5941093945503235,0.0013854100769385696,1.0528320302963257,0.076032081335783,1.2204109725952148,1.0198738889694214,router_bias_only_capacity_calibration
0.5,4,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6148598008155822,0.5947797498703002,0.0019285974372178316,1.0527957429885864,0.07067006725072861,1.206495578765869,1.0197286825180054,router_bias_only_capacity_calibration
0.5,5,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6148879637718201,0.5949653162956238,0.0021792416609823706,1.0529792413711547,0.06999635356664657,1.2027616539001464,1.020025589942932,router_bias_only_capacity_calibration
0.5,6,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6148786096572876,0.5946653237342835,0.002181651363149285,1.0531390628814696,0.07012567898631096,1.2044614610671998,1.019786478996277,router_bias_only_capacity_calibration
