model,method,category,prompt_idx,router,expert_id,top1_count,top1_fraction,topk_count,topk_fraction
base,base,general,0,toy_router,0,233,0.5825,285,0.35625
base,base,general,0,toy_router,1,7,0.0175,121,0.15125
base,base,general,0,toy_router,2,39,0.0975,124,0.155
base,base,general,0,toy_router,3,121,0.3025,270,0.3375
base,base,code,0,toy_router,0,1,0.0025,72,0.09
base,base,code,0,toy_router,1,197,0.4925,223,0.27875
base,base,code,0,toy_router,2,184,0.46,235,0.29375
base,base,code,0,toy_router,3,18,0.045,270,0.3375
general_endpoint,general_endpoint,general,0,toy_router,0,247,0.6175,289,0.36125
general_endpoint,general_endpoint,general,0,toy_router,1,3,0.0075,121,0.15125
general_endpoint,general_endpoint,general,0,toy_router,2,42,0.105,125,0.15625
general_endpoint,general_endpoint,general,0,toy_router,3,108,0.27,265,0.33125
general_endpoint,general_endpoint,code,0,toy_router,0,2,0.005,79,0.09875
general_endpoint,general_endpoint,code,0,toy_router,1,199,0.4975,222,0.2775
general_endpoint,general_endpoint,code,0,toy_router,2,186,0.465,243,0.30375
general_endpoint,general_endpoint,code,0,toy_router,3,13,0.0325,256,0.32
code_endpoint_permuted,code_endpoint_permuted,general,0,toy_router,0,36,0.09,118,0.1475
code_endpoint_permuted,code_endpoint_permuted,general,0,toy_router,1,232,0.58,290,0.3625
code_endpoint_permuted,code_endpoint_permuted,general,0,toy_router,2,124,0.31,268,0.335
code_endpoint_permuted,code_endpoint_permuted,general,0,toy_router,3,8,0.02,124,0.155
code_endpoint_permuted,code_endpoint_permuted,code,0,toy_router,0,161,0.4025,221,0.27625
code_endpoint_permuted,code_endpoint_permuted,code,0,toy_router,1,3,0.0075,80,0.1
code_endpoint_permuted,code_endpoint_permuted,code,0,toy_router,2,28,0.07,273,0.34125
code_endpoint_permuted,code_endpoint_permuted,code,0,toy_router,3,208,0.52,226,0.2825
all_weight_average,all_weight_average,general,0,toy_router,0,82,0.205,272,0.34
all_weight_average,all_weight_average,general,0,toy_router,1,158,0.395,213,0.26625
all_weight_average,all_weight_average,general,0,toy_router,2,137,0.3425,186,0.2325
all_weight_average,all_weight_average,general,0,toy_router,3,23,0.0575,129,0.16125
