source,layer,examples,augmented_dim,trace,condition
general,experts.0.0,500,5,2050.2213872245256,100131961368.75352
general,experts.0.2,500,17,2415.531006201396,13861961.46447233
general,experts.1.0,500,5,2050.2213872245256,100131961368.75352
general,experts.1.2,500,17,2182.343240223784,1214651377.825331
general,experts.2.0,500,5,2050.2213872245256,100131961368.75352
general,experts.2.2,500,17,2591.4859203106803,42713241.968449555
general,experts.3.0,500,5,2050.2213872245256,100131961368.75352
general,experts.3.2,500,17,2131.712575609714,33453413.90699202
code_matched,experts.0.0,500,5,1957.8179032119288,100563771032.88832
code_matched,experts.0.2,500,17,2552.3921914892862,9307199.6654574
code_matched,experts.1.0,500,5,1957.8179032119288,100563771032.88832
code_matched,experts.1.2,500,17,2126.1860921804673,515445002.5253944
code_matched,experts.2.0,500,5,1957.8179032119288,100563771032.88832
code_matched,experts.2.2,500,17,2221.3092855862615,6899542.888167019
code_matched,experts.3.0,500,5,1957.8179032119288,100563771032.88832
code_matched,experts.3.2,500,17,1985.2409607318452,61286401.35826825
