method,tensor,density,drop_rate,source_delta_norm_mean,merged_delta_norm,merged_delta_nonzero_fraction,same_shape_action
expert_matched_ties_average,experts.0.0.weight,0.5,0.0,0.09712277352809906,0.10256636887788773,0.6875,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.0.0.bias,0.5,0.0,0.051367130130529404,0.0546707846224308,0.8125,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.0.2.weight,0.5,0.0,0.08016777783632278,0.07949952781200409,0.8125,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.0.2.bias,0.5,0.0,0.011507557705044746,0.008137166500091553,0.5,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.1.0.weight,0.5,0.0,0.1004551351070404,0.09831395745277405,0.625,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.1.0.bias,0.5,0.0,0.05244046449661255,0.046943724155426025,0.625,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.1.2.weight,0.5,0.0,0.0799170583486557,0.07183271646499634,0.6875,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.1.2.bias,0.5,0.0,0.020272528752684593,0.020275529474020004,1.0,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.2.0.weight,0.5,0.0,0.08799542486667633,0.10198243707418442,0.765625,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.2.0.bias,0.5,0.0,0.047884147614240646,0.0492725670337677,0.75,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.2.2.weight,0.5,0.0,0.07032967358827591,0.07360202819108963,0.75,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.2.2.bias,0.5,0.0,0.013328013010323048,0.013431103900074959,1.0,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.3.0.weight,0.5,0.0,0.08876827359199524,0.1000429317355156,0.75,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.3.0.bias,0.5,0.0,0.04803711175918579,0.04542753845453262,0.625,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.3.2.weight,0.5,0.0,0.0701943039894104,0.06703343987464905,0.625,expert_local_sparse_task_vector_merge
expert_matched_ties_average,experts.3.2.bias,0.5,0.0,0.007368222810328007,0.007850277237594128,1.0,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.0.0.weight,1.0,0.25,0.09712277352809906,0.08839859068393707,0.90625,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.0.0.bias,1.0,0.25,0.051367130130529404,0.04466373100876808,1.0,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.0.2.weight,1.0,0.25,0.08016777783632278,0.0648404136300087,0.9375,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.0.2.bias,1.0,0.25,0.011507557705044746,0.01107239630073309,1.0,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.1.0.weight,1.0,0.25,0.1004551351070404,0.058308474719524384,0.953125,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.1.0.bias,1.0,0.25,0.05244046449661255,0.041652727872133255,1.0,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.1.2.weight,1.0,0.25,0.0799170583486557,0.06375738233327866,0.9375,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.1.2.bias,1.0,0.25,0.020272528752684593,0.009415888227522373,1.0,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.2.0.weight,1.0,0.25,0.08799542486667633,0.07217631489038467,0.96875,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.2.0.bias,1.0,0.25,0.047884147614240646,0.03518622741103172,0.75,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.2.2.weight,1.0,0.25,0.07032967358827591,0.05846219137310982,0.96875,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.2.2.bias,1.0,0.25,0.013328013010323048,0.0015642764046788216,0.5,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.3.0.weight,1.0,0.25,0.08876827359199524,0.08320999145507812,0.9375,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.3.0.bias,1.0,0.25,0.04803711175918579,0.050682444125413895,1.0,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.3.2.weight,1.0,0.25,0.0701943039894104,0.07431173324584961,0.9375,expert_local_sparse_task_vector_merge
expert_matched_dare_average,experts.3.2.bias,1.0,0.25,0.007368222810328007,0.006716620177030563,1.0,expert_local_sparse_task_vector_merge
