left_model,right_model,category,prompt_idx,router,tokens_compared,top1_agreement,topk_jaccard
base,general_endpoint,general,0,toy_router,400,0.9624999761581421,0.9833333333333333
base,general_endpoint,code,0,toy_router,400,0.9750000238418579,0.9516666666666667
base,code_endpoint_permuted,general,0,toy_router,400,0.0024999999441206455,0.2075
base,code_endpoint_permuted,code,0,toy_router,400,0.019999999552965164,0.29416666666666663
base,all_weight_average,general,0,toy_router,400,0.3125,0.475
base,all_weight_average,code,0,toy_router,400,0.6549999713897705,0.63
base,router_frozen_average,general,0,toy_router,400,1.0,1.0
base,router_frozen_average,code,0,toy_router,400,1.0,1.0
base,expert_matched_average,general,0,toy_router,400,0.9775000214576721,0.9866666666666667
base,expert_matched_average,code,0,toy_router,400,0.9825000166893005,0.965
base,matched_router_frozen_average,general,0,toy_router,400,1.0,1.0
base,matched_router_frozen_average,code,0,toy_router,400,1.0,1.0
base,expert_matched_regmean_average,general,0,toy_router,400,1.0,1.0
base,expert_matched_regmean_average,code,0,toy_router,400,1.0,1.0
base,expert_matched_ties_average,general,0,toy_router,400,1.0,1.0
base,expert_matched_ties_average,code,0,toy_router,400,1.0,1.0
base,expert_matched_dare_average,general,0,toy_router,400,1.0,1.0
base,expert_matched_dare_average,code,0,toy_router,400,1.0,1.0
base,expert_matched_ties_dare_average,general,0,toy_router,400,1.0,1.0
base,expert_matched_ties_dare_average,code,0,toy_router,400,1.0,1.0
base,matched_router_weight_search_average,general,0,toy_router,400,0.9800000190734863,0.9833333333333333
base,matched_router_weight_search_average,code,0,toy_router,400,0.949999988079071,0.965
base,matched_router_hessian_average,general,0,toy_router,400,0.9574999809265137,0.98
base,matched_router_hessian_average,code,0,toy_router,400,0.9599999785423279,0.9633333333333333
base,matched_router_kd_average,general,0,toy_router,400,0.9100000262260437,0.8983333333333333
base,matched_router_kd_average,code,0,toy_router,400,0.9300000071525574,0.935
base,matched_router_route_kd_average,general,0,toy_router,400,0.9325000047683716,0.92
base,matched_router_route_kd_average,code,0,toy_router,400,0.9700000286102295,0.865
base,matched_router_calibrated_average,general,0,toy_router,400,0.8949999809265137,0.8883333333333333
base,matched_router_calibrated_average,code,0,toy_router,400,0.824999988079071,0.8366666666666667
base,matched_router_topk_calibrated_average,general,0,toy_router,400,0.7975000143051147,0.895
base,matched_router_topk_calibrated_average,code,0,toy_router,400,0.9175000190734863,0.9016666666666667
base,matched_router_sweep_selected_average,general,0,toy_router,400,0.8949999809265137,0.8883333333333333
base,matched_router_sweep_selected_average,code,0,toy_router,400,0.824999988079071,0.8366666666666667
base,expert_weight_search_average,general,0,toy_router,400,1.0,1.0
base,expert_weight_search_average,code,0,toy_router,400,1.0,1.0
base,expert_weight_search_router_calibrated_average,general,0,toy_router,400,0.887499988079071,0.8966666666666667
base,expert_weight_search_router_calibrated_average,code,0,toy_router,400,0.8324999809265137,0.84
base,expert_output_projection_average,general,0,toy_router,400,1.0,1.0
base,expert_output_projection_average,code,0,toy_router,400,1.0,1.0
base,expert_output_projection_router_calibrated_average,general,0,toy_router,400,0.887499988079071,0.895
base,expert_output_projection_router_calibrated_average,code,0,toy_router,400,0.8125,0.84
base,unified_router_kd_seed_average,general,0,toy_router,400,0.9100000262260437,0.8983333333333333
base,unified_router_kd_seed_average,code,0,toy_router,400,0.9300000071525574,0.935
base,unified_route_kd_seed_average,general,0,toy_router,400,0.9325000047683716,0.92
base,unified_route_kd_seed_average,code,0,toy_router,400,0.9700000286102295,0.865
base,unified_calibrated_seed_average,general,0,toy_router,400,0.887499988079071,0.8966666666666667
base,unified_calibrated_seed_average,code,0,toy_router,400,0.8324999809265137,0.84
base,unified_output_projection_router_kd_seed_average,general,0,toy_router,400,0.9100000262260437,0.8983333333333333
base,unified_output_projection_router_kd_seed_average,code,0,toy_router,400,0.9300000071525574,0.935
base,unified_output_projection_route_kd_seed_average,general,0,toy_router,400,0.9325000047683716,0.92
base,unified_output_projection_route_kd_seed_average,code,0,toy_router,400,0.9700000286102295,0.865
base,unified_output_projection_calibrated_seed_average,general,0,toy_router,400,0.887499988079071,0.895
base,unified_output_projection_calibrated_seed_average,code,0,toy_router,400,0.8125,0.84
base,unified_moe_average,general,0,toy_router,400,0.9200000166893005,0.89
base,unified_moe_average,code,0,toy_router,400,0.9750000238418579,0.8733333333333333
base,unified_output_projection_moe_average,general,0,toy_router,400,0.9474999904632568,0.91
base,unified_output_projection_moe_average,code,0,toy_router,400,0.9549999833106995,0.895
base,unified_moe_bias_capacity_average,general,0,toy_router,400,0.9100000262260437,0.9216666666666667
base,unified_moe_bias_capacity_average,code,0,toy_router,400,0.9200000166893005,0.9483333333333333
base,route_aware_expert_average,general,0,toy_router,400,1.0,1.0
base,route_aware_expert_average,code,0,toy_router,400,1.0,1.0
