method,category,router,tokens,num_experts,top_k,capacity_factor,top1_capacity_per_expert,topk_capacity_per_expert,top1_overflow_tokens,top1_overflow_fraction,topk_overflow_assignments,topk_overflow_fraction,max_top1_capacity_ratio,max_topk_capacity_ratio,capacity_action
base,general,toy_router,400,4,2,1.25,125,250,108,0.27,55,0.06875,1.864,1.14,capacity_overflow_risk
base,code,toy_router,400,4,2,1.25,125,250,131,0.3275,20,0.025,1.576,1.08,capacity_overflow_risk
general_endpoint,general,toy_router,400,4,2,1.25,125,250,122,0.305,54,0.0675,1.976,1.156,capacity_overflow_risk
general_endpoint,code,toy_router,400,4,2,1.25,125,250,135,0.3375,6,0.0075,1.592,1.024,capacity_overflow_risk
code_endpoint_permuted,general,toy_router,400,4,2,1.25,125,250,107,0.2675,58,0.0725,1.856,1.16,capacity_overflow_risk
code_endpoint_permuted,code,toy_router,400,4,2,1.25,125,250,119,0.2975,23,0.02875,1.664,1.092,capacity_overflow_risk
all_weight_average,general,toy_router,400,4,2,1.25,125,250,45,0.1125,22,0.0275,1.264,1.088,capacity_overflow_risk
all_weight_average,code,toy_router,400,4,2,1.25,125,250,69,0.1725,92,0.115,1.552,1.34,capacity_overflow_risk
router_frozen_average,general,toy_router,400,4,2,1.25,125,250,108,0.27,55,0.06875,1.864,1.14,capacity_overflow_risk
router_frozen_average,code,toy_router,400,4,2,1.25,125,250,131,0.3275,20,0.025,1.576,1.08,capacity_overflow_risk
expert_matched_average,general,toy_router,400,4,2,1.25,125,250,116,0.29,57,0.07125,1.928,1.16,capacity_overflow_risk
expert_matched_average,code,toy_router,400,4,2,1.25,125,250,129,0.3225,17,0.02125,1.624,1.068,capacity_overflow_risk
matched_router_frozen_average,general,toy_router,400,4,2,1.25,125,250,108,0.27,55,0.06875,1.864,1.14,capacity_overflow_risk
matched_router_frozen_average,code,toy_router,400,4,2,1.25,125,250,131,0.3275,20,0.025,1.576,1.08,capacity_overflow_risk
expert_matched_regmean_average,general,toy_router,400,4,2,1.25,125,250,108,0.27,55,0.06875,1.864,1.14,capacity_overflow_risk
expert_matched_regmean_average,code,toy_router,400,4,2,1.25,125,250,131,0.3275,20,0.025,1.576,1.08,capacity_overflow_risk
expert_matched_ties_average,general,toy_router,400,4,2,1.25,125,250,108,0.27,55,0.06875,1.864,1.14,capacity_overflow_risk
expert_matched_ties_average,code,toy_router,400,4,2,1.25,125,250,131,0.3275,20,0.025,1.576,1.08,capacity_overflow_risk
expert_matched_dare_average,general,toy_router,400,4,2,1.25,125,250,108,0.27,55,0.06875,1.864,1.14,capacity_overflow_risk
expert_matched_dare_average,code,toy_router,400,4,2,1.25,125,250,131,0.3275,20,0.025,1.576,1.08,capacity_overflow_risk
expert_matched_ties_dare_average,general,toy_router,400,4,2,1.25,125,250,108,0.27,55,0.06875,1.864,1.14,capacity_overflow_risk
expert_matched_ties_dare_average,code,toy_router,400,4,2,1.25,125,250,131,0.3275,20,0.025,1.576,1.08,capacity_overflow_risk
matched_router_weight_search_average,general,toy_router,400,4,2,1.25,125,250,107,0.2675,58,0.0725,1.856,1.16,capacity_overflow_risk
matched_router_weight_search_average,code,toy_router,400,4,2,1.25,125,250,119,0.2975,23,0.02875,1.664,1.092,capacity_overflow_risk
matched_router_hessian_average,general,toy_router,400,4,2,1.25,125,250,122,0.305,54,0.0675,1.976,1.164,capacity_overflow_risk
matched_router_hessian_average,code,toy_router,400,4,2,1.25,125,250,121,0.3025,24,0.03,1.672,1.096,capacity_overflow_risk
matched_router_kd_average,general,toy_router,400,4,2,1.25,125,250,97,0.2425,23,0.02875,1.776,1.092,capacity_overflow_risk
matched_router_kd_average,code,toy_router,400,4,2,1.25,125,250,101,0.2525,26,0.0325,1.552,1.104,capacity_overflow_risk
matched_router_route_kd_average,general,toy_router,400,4,2,1.25,125,250,132,0.33,58,0.0725,2.056,1.232,capacity_overflow_risk
