router_weight_general,router_weight_code,router_anchor_weight,calib_general_loss,calib_code_loss,calib_avg_loss,calib_worst_loss,calib_general_acc,calib_code_acc,calib_avg_acc,calib_worst_acc,test_general_loss,test_code_loss,test_avg_loss,test_worst_loss,test_general_acc,test_code_acc,test_avg_acc,test_worst_acc,min_test_top1_agreement,min_test_topk_jaccard,max_test_top1_fraction,mean_test_router_entropy,eligible_by_route_guard,selected_by_guarded_calib_worst_loss
0.0,0.0,1.0,0.608220947265625,0.6482321472167969,0.628226547241211,0.6482321472167969,0.8,0.74,0.77,0.74,0.6038974952697754,0.633265209197998,0.6185813522338868,0.633265209197998,0.815,0.7875,0.80125,0.7875,1.0,1.0,0.5825,1.3169891238212585,True,False
0.0,0.25,0.75,0.6080379943847656,0.6473091125488282,0.6276735534667969,0.6473091125488282,0.8,0.746,0.773,0.746,0.6037133979797363,0.6323036193847656,0.618008508682251,0.6323036193847656,0.815,0.7975,0.8062499999999999,0.7975,0.9850000143051147,0.9933333333333333,0.5825,1.3166181445121765,True,False
0.0,0.5,0.5,0.6078627624511719,0.6463912963867188,0.6271270294189453,0.6463912963867188,0.802,0.756,0.779,0.756,0.6035364532470703,0.6313484764099121,0.6174424648284912,0.6313484764099121,0.815,0.8,0.8075,0.8,0.9649999737739563,0.985,0.5825,1.316213071346283,True,False
0.0,0.75,0.25,0.6076951293945313,0.6454785461425782,0.6265868377685547,0.6454785461425782,0.804,0.756,0.78,0.756,0.603366470336914,0.6303999137878418,0.6168831920623778,0.6303999137878418,0.8175,0.805,0.81125,0.805,0.949999988079071,0.9783333333333333,0.58,1.315774381160736,True,False
0.0,1.0,0.0,0.6075350646972656,0.6445709533691406,0.626053009033203,0.6445709533691406,0.808,0.758,0.783,0.758,0.6032035446166992,0.629457893371582,0.6163307189941406,0.629457893371582,0.82,0.8175,0.81875,0.8175,0.9424999952316284,0.97,0.58,1.3153021931648254,True,True
0.25,0.0,0.75,0.6074006652832031,0.6478672790527343,0.6276339721679687,0.6478672790527343,0.8,0.742,0.771,0.742,0.6030717468261719,0.6327997398376465,0.6179357433319093,0.6327997398376465,0.815,0.7925,0.80375,0.7925,0.9850000143051147,0.99,0.5975,1.3160595297813416,True,False
0.25,0.25,0.5,0.6072226867675782,0.6469483642578125,0.6270855255126954,0.6469483642578125,0.8,0.75,0.775,0.75,0.6028923606872558,0.6318428230285644,0.6173675918579101,0.6318428230285644,0.8175,0.7975,0.8075,0.7975,0.9900000095367432,0.9866666666666667,0.5925,1.3156814575195312,True,False
0.25,0.5,0.25,0.6070522766113281,0.6460343017578125,0.6265432891845704,0.6460343017578125,0.802,0.756,0.779,0.756,0.6027200126647949,0.6308922576904297,0.6168061351776123,0.6308922576904297,0.8175,0.8,0.8087500000000001,0.8,0.9725000262260437,0.985,0.5925,1.315269947052002,True,False
0.25,0.75,0.0,0.6068895263671875,0.6451255493164062,0.6260075378417969,0.6451255493164062,0.806,0.758,0.782,0.758,0.6025546646118164,0.6299482727050781,0.6162514686584473,0.6299482727050781,0.8175,0.8075,0.8125,0.8075,0.9574999809265137,0.9733333333333333,0.5925,1.314824640750885,True,False
0.5,0.0,0.5,0.6065845336914063,0.6475099487304687,0.6270472412109376,0.6475099487304687,0.8,0.744,0.772,0.744,0.6022497177124023,0.6323403930664062,0.6172950553894043,0.6323403930664062,0.8175,0.795,0.80625,0.795,0.9775000214576721,0.985,0.605,1.3150909543037415,True,False
0.5,0.25,0.25,0.6064114990234375,0.6465947875976562,0.6265031433105468,0.6465947875976562,0.802,0.752,0.777,0.752,0.6020750045776367,0.6313880729675293,0.616731538772583,0.6313880729675293,0.8175,0.7975,0.8075,0.7975,0.9775000214576721,0.9833333333333333,0.605,1.3147064447402954,True,False
0.5,0.5,0.0,0.6062459106445313,0.6456847534179687,0.6259653320312499,0.6456847534179687,0.804,0.756,0.78,0.756,0.6019072341918945,0.6304422187805175,0.6161747264862061,0.6304422187805175,0.8175,0.8,0.8087500000000001,0.8,0.9800000190734863,0.98,0.6025,1.314288318157196,True,False
0.75,0.0,0.25,0.6057728576660156,0.6471597595214844,0.6264663085937501,0.6471597595214844,0.802,0.746,0.774,0.746,0.6014315223693848,0.6318871116638184,0.6166593170166016,0.6318871116638184,0.8175,0.7975,0.8075,0.7975,0.9624999761581421,0.9716666666666667,0.6175,1.3140840530395508,True,False
0.75,0.25,0.0,0.6056044006347656,0.6462484741210938,0.6259264373779296,0.6462484741210938,0.802,0.756,0.779,0.756,0.6012612724304199,0.6309393501281738,0.6161003112792969,0.6309393501281738,0.8175,0.7975,0.8075,0.7975,0.9674999713897705,0.98,0.615,1.313693106174469,True,False
1.0,0.0,0.0,0.60496533203125,0.6468168640136719,0.625891098022461,0.6468168640136719,0.802,0.752,0.777,0.752,0.6006171989440918,0.6314399147033691,0.6160285568237305,0.6314399147033691,0.82,0.7975,0.80875,0.7975,0.9574999809265137,0.965,0.6175,1.3130388259887695,True,False
