method,dispatch_mode,calib_hard_top2_general_loss,calib_hard_top2_code_loss,calib_hard_top2_avg_loss,calib_hard_top2_worst_loss,calib_hard_top2_general_acc,calib_hard_top2_code_acc,calib_hard_top2_avg_acc,calib_hard_top2_worst_acc,calib_max_topk_overflow_fraction,calib_max_top1_overflow_fraction,calib_max_topk_capacity_ratio,calib_capacity_aware_score,select_hard_top2_general_loss,select_hard_top2_code_loss,select_hard_top2_avg_loss,select_hard_top2_worst_loss,select_hard_top2_general_acc,select_hard_top2_code_acc,select_hard_top2_avg_acc,select_hard_top2_worst_acc,select_max_topk_overflow_fraction,select_max_top1_overflow_fraction,select_max_topk_capacity_ratio,select_capacity_aware_score,test_hard_top2_general_loss,test_hard_top2_code_loss,test_hard_top2_avg_loss,test_hard_top2_worst_loss,test_hard_top2_general_acc,test_hard_top2_code_acc,test_hard_top2_avg_acc,test_hard_top2_worst_acc,test_max_topk_overflow_fraction,test_max_top1_overflow_fraction,test_max_topk_capacity_ratio,test_capacity_aware_score,router_seed,state_key,capacity_loss_coef,capacity_factor,selection_metric,selected_by_select_capacity_aware_score
unified_moe_base_router_capacity_0,hard_top2,0.555955322265625,0.6286963195800781,0.5923258209228516,0.6286963195800781,0.824,0.72,0.772,0.72,0.084,0.312,1.268370607028754,0.636,0.5500454139709473,0.6267234230041504,0.5883844184875489,0.6267234230041504,0.8175,0.735,0.77625,0.735,0.08,0.335,1.256,0.655,0.535269889831543,0.6250967025756836,0.5801832962036133,0.6250967025756836,0.8625,0.69,0.77625,0.69,0.08375,0.32,1.268,0.60625,base_router,base_router__capacity_0,0.0,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.025,hard_top2,0.5565870361328125,0.6288934020996094,0.592740219116211,0.6288934020996094,0.822,0.716,0.7689999999999999,0.716,0.081,0.308,1.2587859424920127,0.635,0.5509383010864258,0.6272206497192383,0.5890794754028321,0.6272206497192383,0.815,0.7375,0.77625,0.7375,0.08,0.335,1.256,0.6575000000000001,0.5364649200439453,0.6253469657897949,0.5809059429168701,0.6253469657897949,0.8625,0.69,0.77625,0.69,0.08375,0.315,1.268,0.60625,base_router,base_router__capacity_0.025,0.025,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.05,hard_top2,0.5565504455566406,0.6294148864746094,0.592982666015625,0.6294148864746094,0.824,0.718,0.7709999999999999,0.718,0.08,0.302,1.255591054313099,0.638,0.5507033157348633,0.6280720329284668,0.5893876743316651,0.6280720329284668,0.815,0.735,0.7749999999999999,0.735,0.07625,0.33,1.244,0.65875,0.5384476661682129,0.6259160804748535,0.5821818733215331,0.6259160804748535,0.8575,0.6875,0.7725,0.6875,0.0825,0.31,1.264,0.605,base_router,base_router__capacity_0.05,0.05,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.075,hard_top2,0.5569999084472657,0.6293992614746093,0.5931995849609375,0.6293992614746093,0.82,0.718,0.7689999999999999,0.718,0.078,0.298,1.2492012779552715,0.64,0.5520185661315918,0.6281962394714355,0.5901074028015136,0.6281962394714355,0.81,0.73,0.77,0.73,0.07375,0.325,1.236,0.65625,0.5383127784729004,0.6262166023254394,0.58226469039917,0.6262166023254394,0.8575,0.69,0.7737499999999999,0.69,0.08125,0.305,1.26,0.6087499999999999,base_router,base_router__capacity_0.075,0.075,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.1,hard_top2,0.5577501525878906,0.6295433654785156,0.5936467590332031,0.6295433654785156,0.818,0.718,0.768,0.718,0.076,0.29,1.2428115015974441,0.642,0.5520748710632324,0.6290625,0.5905686855316161,0.6290625,0.81,0.7275,0.76875,0.7275,0.07125,0.3225,1.228,0.65625,0.5391788101196289,0.6271098136901856,0.5831443119049072,0.6271098136901856,0.855,0.6925,0.7737499999999999,0.6925,0.08,0.2925,1.256,0.6125,base_router,base_router__capacity_0.1,0.1,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.25,hard_top2,0.5570413208007813,0.6306388854980469,0.593840103149414,0.6306388854980469,0.796,0.708,0.752,0.708,0.066,0.268,1.2108626198083068,0.6419999999999999,0.5553539657592773,0.6308391380310059,0.5930965518951417,0.6308391380310059,0.8,0.715,0.7575000000000001,0.715,0.06625,0.2775,1.212,0.6487499999999999,0.5402890014648437,0.628952522277832,0.5846207618713379,0.628952522277832,0.845,0.6775,0.76125,0.6775,0.07625,0.27,1.244,0.60125,base_router,base_router__capacity_0.25,0.25,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_hybrid_calibrated_router_capacity_0,hard_top2,0.5493688659667969,0.6286754760742187,0.5890221710205078,0.6286754760742187,0.828,0.702,0.7649999999999999,0.702,0.074,0.318,1.2364217252396166,0.628,0.5438648033142089,0.6251849555969238,0.5845248794555664,0.6251849555969238,0.8275,0.7225,0.775,0.7225,0.075,0.3375,1.24,0.6475000000000001,0.5296487426757812,0.6256128883361817,0.5776308155059815,0.6256128883361817,0.8625,0.675,0.76875,0.675,0.08125,0.325,1.26,0.59375,hybrid_calibrated_router,hybrid_calibrated_router__capacity_0,0.0,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_hybrid_calibrated_router_capacity_0.025,hard_top2,0.5490946960449219,0.6296342163085937,0.5893644561767578,0.6296342163085937,0.826,0.698,0.762,0.698,0.072,0.312,1.2300319488817892,0.626,0.5440125274658203,0.6261310386657715,0.5850717830657959,0.6261310386657715,0.825,0.715,0.77,0.715,0.07375,0.3325,1.236,0.64125,0.5297941398620606,0.626654109954834,0.5782241249084472,0.626654109954834,0.865,0.6775,0.77125,0.6775,0.08125,0.3175,1.26,0.59625,hybrid_calibrated_router,hybrid_calibrated_router__capacity_0.025,0.025,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_hybrid_calibrated_router_capacity_0.05,hard_top2,0.5489242248535157,0.6293796081542968,0.5891519165039063,0.6293796081542968,0.824,0.696,0.76,0.696,0.07,0.308,1.2236421725239617,0.6259999999999999,0.543694019317627,0.6269731330871582,0.5853335762023926,0.6269731330871582,0.82,0.71,0.7649999999999999,0.71,0.07125,0.3325,1.228,0.6387499999999999,0.5310690498352051,0.6265189552307129,0.578794002532959,0.6265189552307129,0.865,0.68,0.7725,0.68,0.08125,0.31,1.26,0.59875,hybrid_calibrated_router,hybrid_calibrated_router__capacity_0.05,0.05,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_hybrid_calibrated_router_capacity_0.075,hard_top2,0.5488829956054687,0.6294999694824219,0.5891914825439453,0.6294999694824219,0.824,0.694,0.7589999999999999,0.694,0.069,0.308,1.220447284345048,0.625,0.5434687423706055,0.6277798652648926,0.5856243038177491,0.6277798652648926,0.8225,0.71,0.76625,0.71,0.07,0.3325,1.224,0.6399999999999999,0.5316693115234375,0.6263751029968262,0.5790222072601319,0.6263751029968262,0.8625,0.68,0.77125,0.68,0.08125,0.3075,1.26,0.59875,hybrid_calibrated_router,hybrid_calibrated_router__capacity_0.075,0.075,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
