method,dispatch_mode,calib_hard_top2_general_loss,calib_hard_top2_code_loss,calib_hard_top2_avg_loss,calib_hard_top2_worst_loss,calib_hard_top2_general_acc,calib_hard_top2_code_acc,calib_hard_top2_avg_acc,calib_hard_top2_worst_acc,calib_max_topk_overflow_fraction,calib_max_top1_overflow_fraction,calib_max_topk_capacity_ratio,calib_capacity_aware_score,select_hard_top2_general_loss,select_hard_top2_code_loss,select_hard_top2_avg_loss,select_hard_top2_worst_loss,select_hard_top2_general_acc,select_hard_top2_code_acc,select_hard_top2_avg_acc,select_hard_top2_worst_acc,select_max_topk_overflow_fraction,select_max_top1_overflow_fraction,select_max_topk_capacity_ratio,select_capacity_aware_score,test_hard_top2_general_loss,test_hard_top2_code_loss,test_hard_top2_avg_loss,test_hard_top2_worst_loss,test_hard_top2_general_acc,test_hard_top2_code_acc,test_hard_top2_avg_acc,test_hard_top2_worst_acc,test_max_topk_overflow_fraction,test_max_top1_overflow_fraction,test_max_topk_capacity_ratio,test_capacity_aware_score,router_seed,state_key,capacity_loss_coef,capacity_factor,selection_metric,selected_by_select_capacity_aware_score
unified_moe_base_router_capacity_0,hard_top2,0.5570508728027344,0.6279227905273438,0.5924868316650391,0.6279227905273438,0.824,0.716,0.77,0.716,0.084,0.312,1.268370607028754,0.632,0.5510802459716797,0.6263464736938477,0.5887133598327636,0.6263464736938477,0.825,0.7375,0.78125,0.7375,0.08,0.335,1.256,0.6575000000000001,0.5368144035339355,0.6239615058898926,0.5803879547119141,0.6239615058898926,0.8625,0.6875,0.775,0.6875,0.08375,0.32,1.268,0.60375,base_router,base_router__capacity_0,0.0,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.025,hard_top2,0.5576827392578125,0.6280615844726563,0.5928721618652344,0.6280615844726563,0.822,0.716,0.7689999999999999,0.716,0.081,0.308,1.2587859424920127,0.635,0.5527091979980469,0.6264773559570312,0.589593276977539,0.6264773559570312,0.82,0.7375,0.77875,0.7375,0.07875,0.335,1.252,0.6587500000000001,0.5387562370300293,0.6242364501953125,0.5814963436126709,0.6242364501953125,0.8625,0.69,0.77625,0.69,0.0825,0.315,1.264,0.6074999999999999,base_router,base_router__capacity_0.025,0.025,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.05,hard_top2,0.5576343383789063,0.6286726989746094,0.5931535186767578,0.6286726989746094,0.824,0.718,0.7709999999999999,0.718,0.08,0.302,1.255591054313099,0.638,0.5523266983032227,0.627718448638916,0.5900225734710693,0.627718448638916,0.815,0.735,0.7749999999999999,0.735,0.075,0.33,1.24,0.66,0.5396029090881348,0.6248158073425293,0.582209358215332,0.6248158073425293,0.86,0.69,0.7749999999999999,0.69,0.0825,0.31,1.264,0.6074999999999999,base_router,base_router__capacity_0.05,0.05,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.075,hard_top2,0.5581070861816406,0.62866162109375,0.5933843536376953,0.62866162109375,0.822,0.716,0.7689999999999999,0.716,0.078,0.298,1.2492012779552715,0.638,0.5530431365966797,0.6278398513793946,0.5904414939880371,0.6278398513793946,0.815,0.7325,0.7737499999999999,0.7325,0.07375,0.325,1.236,0.6587500000000001,0.539487190246582,0.6251076889038086,0.5822974395751953,0.6251076889038086,0.8625,0.6875,0.775,0.6875,0.08125,0.305,1.26,0.60625,base_router,base_router__capacity_0.075,0.075,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.1,hard_top2,0.5588573303222656,0.6288118591308594,0.5938345947265624,0.6288118591308594,0.82,0.716,0.768,0.716,0.076,0.29,1.2428115015974441,0.64,0.5530671119689942,0.6285332870483399,0.590800199508667,0.6285332870483399,0.8125,0.73,0.77125,0.73,0.07125,0.3225,1.228,0.65875,0.5403404808044434,0.6258209800720215,0.5830807304382324,0.6258209800720215,0.8575,0.6925,0.775,0.6925,0.08,0.2925,1.256,0.6125,base_router,base_router__capacity_0.1,0.1,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.25,hard_top2,0.5584794311523438,0.6299385375976563,0.594208984375,0.6299385375976563,0.8,0.712,0.756,0.712,0.066,0.27,1.2108626198083068,0.6459999999999999,0.5563341331481934,0.6305080413818359,0.5934210872650146,0.6305080413818359,0.8025,0.7175,0.76,0.7175,0.06625,0.28,1.212,0.65125,0.5414562034606933,0.6278716468811035,0.5846639251708985,0.6278716468811035,0.845,0.675,0.76,0.675,0.07625,0.27,1.244,0.59875,base_router,base_router__capacity_0.25,0.25,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_expert_search_calibrated_router_capacity_0,hard_top2,0.550597412109375,0.6280923156738282,0.5893448638916016,0.6280923156738282,0.828,0.712,0.77,0.712,0.074,0.318,1.2364217252396166,0.638,0.5449802589416504,0.6246453094482421,0.5848127841949462,0.6246453094482421,0.83,0.72,0.7749999999999999,0.72,0.075,0.3375,1.24,0.645,0.5308994674682617,0.6243852233886719,0.5776423454284667,0.6243852233886719,0.865,0.67,0.7675000000000001,0.67,0.08125,0.325,1.26,0.58875,expert_search_calibrated_router,expert_search_calibrated_router__capacity_0,0.0,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_expert_search_calibrated_router_capacity_0.025,hard_top2,0.5507161560058593,0.6283570861816407,0.58953662109375,0.6283570861816407,0.826,0.708,0.7669999999999999,0.708,0.073,0.312,1.233226837060703,0.635,0.545145378112793,0.6249928665161133,0.5850691223144531,0.6249928665161133,0.8275,0.7175,0.7725,0.7175,0.07375,0.3325,1.236,0.64375,0.5310909080505372,0.6252812767028808,0.578186092376709,0.6252812767028808,0.8675,0.67,0.76875,0.67,0.08125,0.3175,1.26,0.58875,expert_search_calibrated_router,expert_search_calibrated_router__capacity_0.025,0.025,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_expert_search_calibrated_router_capacity_0.05,hard_top2,0.5505491333007813,0.6289241943359375,0.5897366638183594,0.6289241943359375,0.824,0.706,0.7649999999999999,0.706,0.071,0.308,1.2268370607028753,0.635,0.5447849082946777,0.6266467094421386,0.5857158088684082,0.6266467094421386,0.82,0.71,0.7649999999999999,0.71,0.07125,0.3325,1.228,0.6387499999999999,0.5323052024841308,0.6256820678710937,0.5789936351776123,0.6256820678710937,0.8625,0.6725,0.7675000000000001,0.6725,0.08125,0.3125,1.26,0.5912499999999999,expert_search_calibrated_router,expert_search_calibrated_router__capacity_0.05,0.05,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_expert_search_calibrated_router_capacity_0.075,hard_top2,0.5501294555664062,0.62854736328125,0.5893384094238281,0.62854736328125,0.824,0.706,0.7649999999999999,0.706,0.069,0.308,1.220447284345048,0.637,0.5445753479003906,0.6261425590515137,0.5853589534759522,0.6261425590515137,0.825,0.7075,0.76625,0.7075,0.07,0.3325,1.224,0.6375,0.5329183006286621,0.6253359031677246,0.5791271018981934,0.6253359031677246,0.8625,0.6725,0.7675000000000001,0.6725,0.08125,0.3075,1.26,0.5912499999999999,expert_search_calibrated_router,expert_search_calibrated_router__capacity_0.075,0.075,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
