epoch,source,examples,source_weight,dispatch_mode,soft_loss_coef,dispatch_loss_coef,route_kd_coef,output_kd_coef,top1_loss_coef,base_kl_coef,load_balance_coef,capacity_loss_coef,capacity_factor,temperature,soft_ce,dispatch_ce,route_kl,output_kd,top1_ce,base_kl,load_balance,capacity_overflow,capacity_ratio,total_loss,same_shape_action
0,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6088440923690795,0.5533816599845887,0.00038940286007709804,0.0007895685331895947,1.0041702885627746,3.247735055629164e-05,1.0372782287597657,0.10437498432397842,1.3095138511657716,0.7860695295333863,capacity_aware_unified_router_objective_expert_aligned_same_shape
0,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6450999655723572,0.6386771903038025,0.00038283646176569166,0.00024246150790713727,1.0005553889274597,0.00012682214076630772,1.0413006687164306,0.024459854394197462,1.0695598211288453,0.8352439584732055,capacity_aware_unified_router_objective_expert_aligned_same_shape
1,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6059094452857972,0.5531599488258362,0.00031728386972099544,0.0007331224628724157,0.9741579160690308,0.0007727744597941637,1.0461706867218017,0.11541715848445892,1.3693348960876466,0.779239339351654,capacity_aware_unified_router_objective_expert_aligned_same_shape
1,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6428010396957398,0.6351440739631653,0.0009672517869621515,0.0001832573991268873,0.9797459063529969,0.000711529626045376,1.0443873233795167,0.04225393715500832,1.1115098819732665,0.8286702709197998,capacity_aware_unified_router_objective_expert_aligned_same_shape
2,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6036285037994384,0.5554863786697388,0.0010738490922376513,0.0007885301252827049,0.9517058210372925,0.0021583191119134426,1.0527035007476806,0.12759962368011474,1.4083187713623047,0.7761827268600464,capacity_aware_unified_router_objective_expert_aligned_same_shape
2,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6406544570922852,0.6327223982810974,0.002217556929215789,0.00014452808781061321,0.9588801102638245,0.0019568917341530323,1.0487025957107543,0.061153365075588224,1.1487369432449341,0.8234637193679809,capacity_aware_unified_router_objective_expert_aligned_same_shape
3,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6016041588783264,0.556326545715332,0.002377758488059044,0.0008923704605549574,0.9317399492263794,0.004002593521028757,1.058931552886963,0.13666211247444152,1.437318736076355,0.7733205118179322,capacity_aware_unified_router_objective_expert_aligned_same_shape
3,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6387011847496032,0.6314114055633545,0.0039777555279433725,0.00012866300239693372,0.9393860092163085,0.0037217880822718145,1.0534886379241943,0.07911807084083557,1.1818024425506592,0.8197490077018738,capacity_aware_unified_router_objective_expert_aligned_same_shape
4,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.5997718029022217,0.5569716577529907,0.004045242391526699,0.0010300929797813297,0.9136409978866578,0.006134595241397619,1.0648778400421142,0.1437355031967163,1.459953598022461,0.771028344154358,capacity_aware_unified_router_objective_expert_aligned_same_shape
4,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.636964506149292,0.6299356570243836,0.006043868318200111,0.00013361230643931776,0.9217392148971557,0.005807694502174854,1.058271514892578,0.09290708804130554,1.201290717124939,0.8166776266098023,capacity_aware_unified_router_objective_expert_aligned_same_shape
5,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.5981127395629883,0.5573186774253845,0.005929681535810232,0.001191698295995593,0.8972648286819458,0.008411686934530736,1.0704207620620727,0.14681466460227965,1.4698069372177125,0.7689348092079162,capacity_aware_unified_router_objective_expert_aligned_same_shape
5,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6354439430236817,0.629438494682312,0.008193671621382237,0.00015643548697698862,0.9062237920761108,0.007999210394918918,1.0626273956298828,0.0999241469502449,1.209026915550232,0.8144947414398194,capacity_aware_unified_router_objective_expert_aligned_same_shape
6,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.5966050362586975,0.5588105111122131,0.007915261492133141,0.0013637821394950152,0.882582896232605,0.010728532746434212,1.0755293130874635,0.14898173213005067,1.4767415189743043,0.7678382349014282,capacity_aware_unified_router_objective_expert_aligned_same_shape
6,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6341448397636413,0.6287855553627014,0.010266420908272266,0.0001933885799953714,0.8928105611801147,0.01013186589628458,1.0663734273910523,0.10527378857135773,1.20846439743042,0.8126532697677612,capacity_aware_unified_router_objective_expert_aligned_same_shape
7,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.5952403030395508,0.5583000059127807,0.00990344201028347,0.0015366208367049695,0.8696207962036133,0.012994443252682685,1.0801338109970093,0.15004155123233795,1.4801329278945923,0.7660856461524963,capacity_aware_unified_router_objective_expert_aligned_same_shape
7,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6330583233833313,0.6287473683357239,0.012168255604803562,0.00024060320504941046,0.8813293714523316,0.012105256929993629,1.0694996576309204,0.10696702736616134,1.2098003797531127,0.8113196125030517,capacity_aware_unified_router_objective_expert_aligned_same_shape
