method,dispatch_mode,calib_hard_top2_general_loss,calib_hard_top2_code_loss,calib_hard_top2_avg_loss,calib_hard_top2_worst_loss,calib_hard_top2_general_acc,calib_hard_top2_code_acc,calib_hard_top2_avg_acc,calib_hard_top2_worst_acc,calib_max_topk_overflow_fraction,calib_max_top1_overflow_fraction,calib_max_topk_capacity_ratio,calib_capacity_aware_score,select_hard_top2_general_loss,select_hard_top2_code_loss,select_hard_top2_avg_loss,select_hard_top2_worst_loss,select_hard_top2_general_acc,select_hard_top2_code_acc,select_hard_top2_avg_acc,select_hard_top2_worst_acc,select_max_topk_overflow_fraction,select_max_top1_overflow_fraction,select_max_topk_capacity_ratio,select_capacity_aware_score,test_hard_top2_general_loss,test_hard_top2_code_loss,test_hard_top2_avg_loss,test_hard_top2_worst_loss,test_hard_top2_general_acc,test_hard_top2_code_acc,test_hard_top2_avg_acc,test_hard_top2_worst_acc,test_max_topk_overflow_fraction,test_max_top1_overflow_fraction,test_max_topk_capacity_ratio,test_capacity_aware_score,router_seed,state_key,capacity_loss_coef,capacity_factor,selection_metric,selected_by_select_capacity_aware_score
unified_moe_base_router_capacity_0,hard_top2,0.5536001281738281,0.6311957397460938,0.592397933959961,0.6311957397460938,0.824,0.708,0.766,0.708,0.084,0.312,1.268370607028754,0.624,0.5481521034240723,0.6286311149597168,0.5883916091918946,0.6286311149597168,0.815,0.7275,0.77125,0.7275,0.08,0.335,1.256,0.6475000000000001,0.5335329627990723,0.6284971618652344,0.5810150623321533,0.6284971618652344,0.86,0.6825,0.77125,0.6825,0.08375,0.3175,1.268,0.59875,base_router,base_router__capacity_0,0.0,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.025,hard_top2,0.5539897155761718,0.6315496215820312,0.5927696685791015,0.6315496215820312,0.822,0.71,0.766,0.71,0.08,0.308,1.255591054313099,0.63,0.5497572326660156,0.6290700912475586,0.5894136619567871,0.6290700912475586,0.81,0.7275,0.76875,0.7275,0.07875,0.335,1.252,0.64875,0.5347423362731933,0.6287458038330078,0.5817440700531006,0.6287458038330078,0.86,0.6825,0.77125,0.6825,0.08375,0.315,1.268,0.59875,base_router,base_router__capacity_0.025,0.025,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.05,hard_top2,0.554194091796875,0.6317398071289062,0.5929669494628906,0.6317398071289062,0.824,0.71,0.7669999999999999,0.71,0.08,0.302,1.255591054313099,0.63,0.5494304466247558,0.6296868515014649,0.5895586490631104,0.6296868515014649,0.81,0.7275,0.76875,0.7275,0.075,0.33,1.24,0.6525000000000001,0.5366900253295899,0.6290749740600586,0.5828824996948243,0.6290749740600586,0.855,0.68,0.7675000000000001,0.68,0.0825,0.31,1.264,0.5975,base_router,base_router__capacity_0.05,0.05,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.075,hard_top2,0.5546405334472656,0.6318694152832032,0.5932549743652344,0.6318694152832032,0.82,0.712,0.766,0.712,0.078,0.298,1.2492012779552715,0.634,0.5497954368591309,0.6301357841491699,0.5899656105041504,0.6301357841491699,0.81,0.72,0.765,0.72,0.07375,0.325,1.236,0.64625,0.5365323638916015,0.6293805313110351,0.5829564476013183,0.6293805313110351,0.855,0.6775,0.76625,0.6775,0.08125,0.305,1.26,0.59625,base_router,base_router__capacity_0.075,0.075,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.1,hard_top2,0.5553536682128907,0.632095703125,0.5937246856689453,0.632095703125,0.818,0.712,0.7649999999999999,0.712,0.076,0.29,1.2428115015974441,0.636,0.550176830291748,0.6309649848937988,0.5905709075927734,0.6309649848937988,0.81,0.7175,0.76375,0.7175,0.07125,0.3225,1.228,0.64625,0.5373736381530761,0.6303965950012207,0.5838851165771484,0.6303965950012207,0.8525,0.6775,0.765,0.6775,0.08,0.2925,1.256,0.5975,base_router,base_router__capacity_0.1,0.1,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.25,hard_top2,0.5548626403808594,0.6330687866210938,0.5939657135009766,0.6330687866210938,0.79,0.708,0.749,0.708,0.066,0.266,1.2108626198083068,0.6419999999999999,0.5535774993896484,0.6321692085266113,0.5928733539581299,0.6321692085266113,0.7975,0.7125,0.755,0.7125,0.06625,0.275,1.212,0.64625,0.539182357788086,0.631290283203125,0.5852363204956055,0.631290283203125,0.84,0.675,0.7575000000000001,0.675,0.075,0.27,1.24,0.6000000000000001,base_router,base_router__capacity_0.25,0.25,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_output_projection_calibrated_router_capacity_0,hard_top2,0.5471686706542969,0.6321163635253906,0.5896425170898437,0.6321163635253906,0.828,0.692,0.76,0.692,0.075,0.316,1.2396166134185302,0.617,0.5414493942260742,0.6271870613098145,0.5843182277679444,0.6271870613098145,0.8225,0.705,0.7637499999999999,0.705,0.075,0.3375,1.24,0.63,0.5280680084228515,0.6286471557617187,0.578357582092285,0.6286471557617187,0.8625,0.67,0.7662500000000001,0.67,0.08125,0.325,1.26,0.58875,output_projection_calibrated_router,output_projection_calibrated_router__capacity_0,0.0,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_output_projection_calibrated_router_capacity_0.025,hard_top2,0.5471651916503906,0.63245458984375,0.5898098907470704,0.63245458984375,0.826,0.69,0.758,0.69,0.073,0.314,1.233226837060703,0.617,0.542219123840332,0.628595027923584,0.5854070758819581,0.628595027923584,0.8175,0.7,0.75875,0.7,0.07375,0.3325,1.236,0.62625,0.5283353614807129,0.629641227722168,0.5789882946014404,0.629641227722168,0.8625,0.67,0.7662500000000001,0.67,0.08125,0.315,1.26,0.58875,output_projection_calibrated_router,output_projection_calibrated_router__capacity_0.025,0.025,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_output_projection_calibrated_router_capacity_0.05,hard_top2,0.5465973205566407,0.6319242248535156,0.5892607727050782,0.6319242248535156,0.824,0.69,0.7569999999999999,0.69,0.07,0.308,1.2236421725239617,0.6199999999999999,0.5418143463134766,0.6297735214233399,0.5857939338684082,0.6297735214233399,0.815,0.7,0.7575,0.7,0.07125,0.3325,1.228,0.6287499999999999,0.5291333389282227,0.6294250297546387,0.5792791843414307,0.6294250297546387,0.8625,0.6725,0.7675000000000001,0.6725,0.08125,0.31,1.26,0.5912499999999999,output_projection_calibrated_router,output_projection_calibrated_router__capacity_0.05,0.05,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_output_projection_calibrated_router_capacity_0.075,hard_top2,0.5465901489257813,0.6321129760742188,0.5893515625000001,0.6321129760742188,0.824,0.688,0.756,0.688,0.069,0.306,1.220447284345048,0.619,0.5423182678222657,0.6295371627807618,0.5859277153015137,0.6295371627807618,0.8175,0.7025,0.76,0.7025,0.07125,0.33,1.228,0.63125,0.5296006584167481,0.6292706871032715,0.5794356727600098,0.6292706871032715,0.86,0.675,0.7675000000000001,0.675,0.08,0.3075,1.256,0.5950000000000001,output_projection_calibrated_router,output_projection_calibrated_router__capacity_0.075,0.075,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
