domain,probe,value,threshold,decision_signal,evidence
dense,curvature_law_general,42.8604013656617,5.0,high_nonlocal_barrier,actual/predicted general degradation = 42.8604; uniform worst NLL = 5.9109; fisher worst NLL = 5.2492
dense,curvature_law_code,26.657526023465977,5.0,high_nonlocal_barrier,actual/predicted code degradation = 26.6575
dense,heldout_unified_selector,5.182952077765214,8.947735033537212,allow_endpoint_or_anchor_fallback,unified test worst NLL = 5.1830; linear = 8.9477; TIES = 9.1097; best endpoint = 5.1510
dense,dense_lambda_connectivity,6.039756754956215,3.072743579141455,straight_line_midpoint_rejected,"linear midpoint worst NLL = 6.0398; best lambda-family worst NLL = 3.0727; best config = {""code"": 0.5414439073133305, ""general"": 3.072743579141455, ""lambda"": 0.0, ""mode"": ""uniform"", ""worst"": 3.072743579141455}; best source endpoint worst NLL = 3.1737"
dense,generation_smoke,0.0,0.5,linear_generation_regression,linear avg accuracy = 0.0000; unified avg accuracy = 0.5000; best smoke method = coder
moe,controlled_expert_gauge,7.66403245730453e-16,1e-09,expert_permutation_is_function_preserving,gauge-equivalent B MSE = 0.00000000; same-name worst = 0.5105; aligned worst = 0.1252
moe,real_olmoe_gauge_selfmerge,5.490968298724317,1.0,reject_same_name_average_without_alignment,baseline NLL = 4.1678; same-name average NLL = 9.6588; aligned average NLL = 4.1678; layers recovered = 16/16
moe,qwen3_expert_identity,1.0,1.0,identity_alignment_is_allowed_for_this_pair,identity-optimal layer fraction = 1.0000; argmax identity fraction = 1.0000
moe,qwen3_router_move_gate,0.0,48.0,freeze_router_or_train_route_kd_delta,allowed router layers = 0/48; top-k Jaccard mean/min = 0.4539/0.2422; top1 agreement mean/min = 0.4125/0.0690
moe,qwen3_router_margin_fragility,0.7522782693160674,0.62,topk_boundary_lambda_cap_rejects_direct_router_average,high-fragility layers = 24/48; top layer = L17 score 0.7523; top category = long_context score 0.7329; min safe-lambda proxy = 0.0197
moe,qwen3_straight_line_connectivity,0.11892671273424771,0.0,reject_source_to_source_linear_interpolation,best interior worst NLL = 2.5947; best endpoint worst NLL = 2.4757; interior gap = 0.1189; general barrier = 0.1097; task-vector cosine vs base = 0.1799
moe,qwen3_complementary_pair_connectivity,0.0,0.0,do_not_assume_specialist_complementarity_is_averageable,best merge avg NLL = 0.5659; best source avg NLL = 0.5659; merge-source gap = 0.0000; best merge t = 0.0000; merge beats both sources = False
moe,qwen3_base_to_coder_connectivity,0.10575581968220238,0.0,source_delta_from_base_is_not_safe_without_gate,best interior worst NLL = 2.4661; best endpoint worst NLL = 2.3603; interior gap = 0.1058; general barrier = 0.0728; task-vector norm = 4379.0027
moe,qwen3_unified_mechanism_optimizer,0.22470816127139095,0.65,use_router_evidence_geometry_subspace_risk_caps,selected = subspace_cap_s1.00; family = subspace_weighted_cap; retention = 0.9763; risk-weighted predicted rel delta = 0.2247; geometry-weighted predicted rel delta = 0.2184; subspace-weighted predicted rel delta = 0.2148; high-subspace mean scale = 0.9614
moe,qwen3_unified_materialized_audit,0.2403784248994999,0.24345430032224707,materialized_same_shape_tail_reduction,rule status = fresh; audit status = passed; total relative norm = 0.2404; router changed = 0/48; layer/chunk->unified norm reduction = 0.0031; routed >0.65 reduction = 89
moe,qwen3_subspace_scaled_materialized_audit,0.2395294198409091,0.2403784248994999,test_uncovered_subspace_conflict_shrink,subspace total relative norm = 0.2395; mechanistic->subspace norm delta = 0.001304; subspace routed >0.65 = 0; router changed = 0
moe,qwen3_router_calibration_nll_probe,0.22142744874642561,0.0,router_dispatch_is_real_optimization_lever,status = router_calibration_improves_linear_merge_but_needs_downstream_gate; linear worst NLL = 2.6355; router-cal worst NLL = 2.4140; worst reduction = 0.2214; code gap to best source = -0.0139
moe,qwen3_generation_downstream_routercal_matrix,0.03333333333333344,0.0,router_calibration_recovers_generation_interference_but_not_endpoint_dominance,status = generation_downstream_matrix_ready; Instruct+Coder avg = 0.7944; +router-cal avg = 0.8278; avg gain = 0.0333; HumanEval gain = 0.0750; gap to best parent avg = -0.0694
moe,qwen3_generation_routercal_effect_attribution,0.32432432432432545,1.0,router_calibration_is_repair_not_acceptance_rule,status = generation_mechanism_attribution_ready; avg naive drop = 0.1028; avg recovery fraction = 0.3243; HumanEval recovery = 0.5000; beats pair frontier = 0/5
moe,qwen3_generation_confidence_audit,0.0,3.0,generation_gain_directional_not_confident_or_source_dominant,"status = generation_confidence_audit_ready; positive tasks vs naive = 2/3; confident positive tasks = 0/3; confident source-frontier wins = 0/3; avg gain interval = [-0.1703, 0.2312]"
moe,qwen3_router_calibration_gate,0.0,4.0,do_not_accept_router_delta_without_baseline_eval,status = awaiting_baseline_eval; eligible router-cal candidates = 0/4; reason = Run the frozen-router searched_no_gt065 baseline eval before deciding whether router calibration helps.
moe,qwen3_final_candidate_selection,0.0,11.0,await_matched_vllm_before_accepting_average,status = awaiting_source_eval; eligible candidates = 0/11; reason = Both Qwen3 source endpoints must complete audited vLLM eval before final candidate selection.
moe,qwen3_final_selector_confidence_band,0.0,0.0,use_structural_tiebreak_only_when_downstream_scores_are_statistically_tied,confidence tie band = True; rank mode = None; point leader = None; band size = 0; structural-frontier eligible = 0; rank band methods = []
